Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-1 11:33:09,Apr,2018,"Apr, 2018",22.14,1.22,0.00,0.72,1.94,0.10088
2018-5-22 00:01:23,May,2018,"May, 2018",22.14,0.97,0.00,0.82,1.79,0.09308
2018-6-15 10:31:00,Jun,2018,"Jun, 2018",22.14,0.60,0.00,1.37,1.97,0.10244
2018-7-28 09:15:11,Jul,2018,"Jul, 2018",22.14,0.76,0.00,1.59,2.35,0.1222
2018-8-29 05:45:25,Aug,2018,"Aug, 2018",22.14,0.88,0.00,1.61,2.49,0.12948
2018-9-25 04:29:02,Sep,2018,"Sep, 2018",22.14,1.06,0.00,1.89,2.95,0.1534
2018-10-6 18:14:21,Oct,2018,"Oct, 2018",22.14,0.96,0.00,1.96,2.92,0.15184
2018-11-10 01:52:32,Nov,2018,"Nov, 2018",22.14,1.11,0.00,1.77,2.88,0.14976
2018-12-9 17:04:09,Dec,2018,"Dec, 2018",22.14,1.09,0.00,1.67,2.76,0.14352
2019-1-21 01:05:30,Jan,2019,"Jan, 2019",21.22,1.44,0.00,1.12,2.56,0.13312
2019-2-27 21:48:22,Feb,2019,"Feb, 2019",21.22,1.72,0.00,0.99,2.71,0.14092
2019-3-24 02:22:53,Mar,2019,"Mar, 2019",21.22,2.05,0.00,1.07,3.12,0.16224
2019-4-6 18:10:11,Apr,2019,"Apr, 2019",21.22,1.94,0.00,0.63,2.57,0.13364
2019-5-27 21:36:45,May,2019,"May, 2019",21.22,1.65,0.00,0.13,1.78,0.09256
2019-6-4 14:29:19,Jun,2019,"Jun, 2019",21.22,1.17,0.00,0.04,1.21,0.06292
2019-7-27 10:59:30,Jul,2019,"Jul, 2019",21.22,1.01,0.00,0,1.01,0.05252
2019-8-30 16:48:20,Aug,2019,"Aug, 2019",21.22,0.46,0.00,0,0.46,0.02392
2019-9-24 07:09:09,Sep,2019,"Sep, 2019",21.22,0.58,0.00,0.07,0.65,0.0338
2019-10-1 19:00:27,Oct,2019,"Oct, 2019",21.22,0.80,0.00,0.94,1.74,0.09048
2019-11-10 06:36:58,Nov,2019,"Nov, 2019",21.22,0.16,0.00,1.51,1.67,0.08684
2019-12-18 04:29:24,Dec,2019,"Dec, 2019",21.22,0.75,0.00,1.05,1.80,0.0936
2020-1-10 18:23:07,Jan,2020,"Jan, 2020",22.38,0.90,0.00,0.74,1.64,0.08528
2020-2-17 02:53:18,Feb,2020,"Feb, 2020",22.38,0.86,0.00,0.29,1.15,0.0598
2020-3-7 21:27:54,Mar,2020,"Mar, 2020",22.38,0.86,0.00,0.29,1.15,0.0598
2020-4-12 06:38:34,Apr,2020,"Apr, 2020",22.38,0.86,0.00,0.29,1.15,0.0598
2020-5-21 00:25:08,May,2020,"May, 2020",22.38,0.93,0.00,0.1,1.03,0.05356
2020-6-13 11:56:39,Jun,2020,"Jun, 2020",22.38,1.01,0.00,0.68,1.69,0.08788
2020-7-19 18:22:44,Jul,2020,"Jul, 2020",22.38,1.39,0.00,0.69,2.08,0.10816
2020-8-18 00:43:52,Aug,2020,"Aug, 2020",22.38,1.41,0.00,1.6,3.01,0.15652
2020-9-5 17:30:22,Sep,2020,"Sep, 2020",22.38,7.61,0.00,4.81,12.42,0.64584
2020-10-19 23:23:31,Oct,2020,"Oct, 2020",22.38,1.41,0.00,1.74,3.15,0.1638
2020-11-11 22:34:25,Nov,2020,"Nov, 2020",22.38,1.41,0.00,1.74,3.15,0.1638
2020-12-8 23:40:46,Dec,2020,"Dec, 2020",22.38,1.97,0.00,0.99,2.96,0.15392
2021-1-17 02:54:22,Jan,2021,"Jan, 2021",20.43,2.12,0.00,0.72,2.84,0.14768
2021-2-30 21:41:19,Feb,2021,"Feb, 2021",20.43,1.87,0.00,0.73,2.60,0.1352
2021-3-6 04:05:06,Mar,2021,"Mar, 2021",20.43,2.84,0.00,0.6,3.44,0.17888
2021-4-27 21:23:01,Apr,2021,"Apr, 2021",20.43,2.49,0.00,0.39,2.88,0.14976
2021-5-30 23:10:44,May,2021,"May, 2021",20.43,1.60,0.00,0.44,2.04,0.10608
2021-6-17 21:20:26,Jun,2021,"Jun, 2021",20.43,1.82,0.00,0.93,2.75,0.143
2021-7-2 23:17:56,Jul,2021,"Jul, 2021",20.43,1.15,0.00,1.47,2.62,0.13624
2021-8-11 21:00:07,Aug,2021,"Aug, 2021",20.43,1.34,0.00,1.69,3.03,0.15756
2021-9-18 04:38:35,Sep,2021,"Sep, 2021",20.43,1.34,0.00,1.69,3.03,0.15756
2021-10-30 15:58:50,Oct,2021,"Oct, 2021",20.43,1.86,0.00,1.65,3.51,0.18252
2021-11-28 18:58:33,Nov,2021,"Nov, 2021",20.43,1.88,0.00,1.46,3.34,0.17368
2021-12-10 12:21:10,Dec,2021,"Dec, 2021",20.43,2.14,0.00,1.21,3.35,0.1742
2022-1-26 10:17:39,Jan,2022,"Jan, 2022",21.54,1.89,0.00,0.86,2.75,0.143
2022-2-2 04:45:09,Feb,2022,"Feb, 2022",21.54,1.80,0.00,0.66,2.46,0.12792
2022-3-24 12:35:06,Mar,2022,"Mar, 2022",21.54,2.21,0.00,0.82,3.03,0.15756
2022-4-30 20:48:54,Apr,2022,"Apr, 2022",21.54,2.69,0.00,0.73,3.42,0.17784
2022-5-6 09:21:21,May,2022,"May, 2022",21.54,2.69,0.00,0.73,3.42,0.17784
