Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-15 10:20:55,Apr,2018,"Apr, 2018",4672.93,434.23,369.77,59.69,863.69,44.91188
2018-5-28 04:52:27,May,2018,"May, 2018",4672.93,435.53,404.73,50.32,890.58,46.31016
2018-6-6 08:24:42,Jun,2018,"Jun, 2018",4672.93,378.28,1269.47,51.83,1699.58,88.37816
2018-7-11 05:19:15,Jul,2018,"Jul, 2018",4672.93,354.54,1837.24,49.49,2241.27,116.54604
2018-8-12 05:27:36,Aug,2018,"Aug, 2018",4672.93,372.83,1928.40,61.96,2363.19,122.88588
2018-9-20 13:31:15,Sep,2018,"Sep, 2018",4672.93,441.68,618.32,58.75,1118.75,58.175
2018-10-9 04:42:43,Oct,2018,"Oct, 2018",4672.93,431.50,382.16,70.45,884.11,45.97372
2018-11-20 02:11:26,Nov,2018,"Nov, 2018",4672.93,361.72,390.52,59.44,811.68,42.20736
2018-12-30 18:53:51,Dec,2018,"Dec, 2018",4672.93,336.08,392.06,83.39,811.53,42.19956
2019-1-9 14:06:29,Jan,2019,"Jan, 2019",5278.47,394.84,367.77,77.13,839.74,43.66648
2019-2-3 17:55:28,Feb,2019,"Feb, 2019",5278.47,431.49,478.49,49.78,959.76,49.90752
2019-3-14 21:30:27,Mar,2019,"Mar, 2019",5278.47,593.25,430.92,42.46,1066.63,55.46476
2019-4-10 18:13:25,Apr,2019,"Apr, 2019",5278.47,547.62,401.42,34.55,983.59,51.14668
2019-5-13 18:23:48,May,2019,"May, 2019",5278.47,579.58,681.94,18.23,1279.75,66.547
2019-6-19 18:31:39,Jun,2019,"Jun, 2019",5278.47,532.35,1133.54,21.78,1687.67,87.75884
2019-7-10 15:03:31,Jul,2019,"Jul, 2019",5278.47,451.40,1474.82,20.49,1946.71,101.22892
2019-8-19 11:06:00,Aug,2019,"Aug, 2019",5278.47,423.71,1546.76,31.79,2002.26,104.11752
2019-9-9 19:09:51,Sep,2019,"Sep, 2019",5278.47,403.74,716.62,45.33,1165.69,60.61588
2019-10-16 19:45:36,Oct,2019,"Oct, 2019",5278.47,349.13,166.88,57,573.01,29.79652
2019-11-1 09:12:23,Nov,2019,"Nov, 2019",5278.47,461.65,269.99,57.32,788.96,41.02592
2019-12-7 00:04:15,Dec,2019,"Dec, 2019",5278.47,375.45,242.02,66.07,683.54,35.54408
2020-1-4 06:19:32,Jan,2020,"Jan, 2020",5462.82,506.42,217.35,55.24,779.01,40.50852
2020-2-19 12:25:10,Feb,2020,"Feb, 2020",5462.82,579.23,367.73,60.93,1007.89,52.41028
2020-3-7 15:05:02,Mar,2020,"Mar, 2020",5462.82,644.84,407.57,42.72,1095.13,56.94676
2020-4-8 14:36:29,Apr,2020,"Apr, 2020",5462.82,601.54,383.76,20.79,1006.09,52.31668
2020-5-1 18:55:05,May,2020,"May, 2020",5462.82,670.65,552.05,35.91,1258.61,65.44772
2020-6-20 20:55:19,Jun,2020,"Jun, 2020",5462.82,519.57,891.15,25.45,1436.17,74.68084
2020-7-12 04:18:39,Jul,2020,"Jul, 2020",5462.82,528.22,711.86,25.79,1265.87,65.82524
2020-8-10 15:44:34,Aug,2020,"Aug, 2020",5462.82,492.56,1182.13,36.49,1711.18,88.98136
2020-9-19 01:14:24,Sep,2020,"Sep, 2020",5462.82,479.37,592.27,56.27,1127.91,58.65132
2020-10-1 22:21:08,Oct,2020,"Oct, 2020",5462.82,511.40,370.26,65.03,946.69,49.22788
2020-11-21 07:42:07,Nov,2020,"Nov, 2020",5462.82,477.60,314.91,65.8,858.31,44.63212
2020-12-12 16:13:22,Dec,2020,"Dec, 2020",5462.82,555.55,390.83,69.75,1016.13,52.83876
2021-1-13 00:43:21,Jan,2021,"Jan, 2021",4951.20,636.57,354.57,81.07,1072.21,55.75492
2021-2-7 17:28:42,Feb,2021,"Feb, 2021",4951.20,689.28,366.14,73.3,1128.72,58.69344
2021-3-24 18:09:12,Mar,2021,"Mar, 2021",4951.20,794.43,447.82,64.33,1306.58,67.94216
2021-4-28 15:31:47,Apr,2021,"Apr, 2021",4951.20,740.65,362.88,45.53,1149.06,59.75112
2021-5-22 04:34:11,May,2021,"May, 2021",4951.20,738.28,617.07,36.21,1391.56,72.36112
2021-6-13 20:55:23,Jun,2021,"Jun, 2021",4951.20,731.04,1198.05,34.21,1963.30,102.0916
2021-7-21 22:59:23,Jul,2021,"Jul, 2021",4951.20,546.56,1107.30,37.75,1691.61,87.96372
2021-8-21 23:27:52,Aug,2021,"Aug, 2021",4951.20,604.15,1041.51,48.76,1694.42,88.10984
2021-9-29 07:40:44,Sep,2021,"Sep, 2021",4951.20,608.91,983.12,54.18,1646.21,85.60292
2021-10-29 19:50:47,Oct,2021,"Oct, 2021",4951.20,632.52,195.38,69.26,897.16,46.65232
2021-11-6 20:45:19,Nov,2021,"Nov, 2021",4951.20,410.68,273.20,59.23,743.11,38.64172
2021-12-30 20:43:24,Dec,2021,"Dec, 2021",4951.20,631.85,296.49,79.56,1007.90,52.4108
2022-1-23 09:38:28,Jan,2022,"Jan, 2022",5091.36,691.03,323.16,80.15,1094.34,56.90568
2022-2-26 19:13:48,Feb,2022,"Feb, 2022",5091.36,732.32,348.48,71.74,1152.54,59.93208
2022-3-1 04:53:47,Mar,2022,"Mar, 2022",5091.36,482.36,387.94,78.93,949.23,49.35996
2022-4-15 11:22:25,Apr,2022,"Apr, 2022",5091.36,786.31,361.40,74.38,1222.09,63.54868
2022-5-21 07:29:43,May,2022,"May, 2022",5091.36,673.60,939.36,49.89,1662.85,86.4682
2022-6-25 21:49:16,Jun,2022,"Jun, 2022",5091.36,974.95,998.00,44.74,2017.69,104.91988
2022-7-11 07:07:07,Jul,2022,"Jul, 2022",5091.36,571.47,1375.98,46.27,1993.72,103.67344
2022-8-27 01:41:44,Aug,2022,"Aug, 2022",5091.36,385.80,1062.68,64.41,1512.89,78.67028
2022-9-7 20:49:18,Sep,2022,"Sep, 2022",5091.36,618.36,741.12,79.78,1439.26,74.84152
2022-10-25 06:02:57,Oct,2022,"Oct, 2022",5091.36,634.24,273.67,84.08,991.99,51.58348
2022-11-17 05:27:19,Nov,2022,"Nov, 2022",5091.36,573.19,207.39,80.02,860.60,44.7512
2022-12-14 21:04:35,Dec,2022,"Dec, 2022",5091.36,577.00,323.57,82.59,983.16,51.12432
