Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-28 05:13:01,Apr,2018,"Apr, 2018",36.41,0.09,0.00,0.03,0.12,0.00624
2018-5-13 02:58:15,May,2018,"May, 2018",36.41,0.11,0.00,0.03,0.14,0.00728
2018-6-28 11:18:23,Jun,2018,"Jun, 2018",36.41,0.08,0.00,0.03,0.11,0.00572
2018-7-21 18:42:53,Jul,2018,"Jul, 2018",36.41,0.09,0.00,0.02,0.11,0.00572
2018-8-14 12:22:23,Aug,2018,"Aug, 2018",36.41,0.10,0.00,0.05,0.15,0.0078
2018-9-9 15:41:17,Sep,2018,"Sep, 2018",36.41,0.09,0.00,0.06,0.15,0.0078
2018-10-22 16:41:19,Oct,2018,"Oct, 2018",36.41,0.12,0.00,0.05,0.17,0.00884
2018-11-27 01:59:46,Nov,2018,"Nov, 2018",36.41,0.10,0.00,0.06,0.16,0.00832
2018-12-15 21:37:34,Dec,2018,"Dec, 2018",36.41,0.10,0.00,0.06,0.16,0.00832
2019-1-14 06:01:12,Jan,2019,"Jan, 2019",37.21,0.12,0.00,0.06,0.18,0.00936
2019-2-2 06:41:37,Feb,2019,"Feb, 2019",37.21,0.10,0.00,0.05,0.15,0.0078
2019-3-1 18:00:37,Mar,2019,"Mar, 2019",37.21,0.10,0.00,0.05,0.15,0.0078
2019-4-28 18:44:04,Apr,2019,"Apr, 2019",37.21,0.11,0.00,0.05,0.16,0.00832
2019-5-13 12:49:06,May,2019,"May, 2019",37.21,0.09,0.00,0.13,0.22,0.01144
2019-6-19 15:38:18,Jun,2019,"Jun, 2019",37.21,0.02,0.00,0.05,0.07,0.00364
2019-7-4 17:00:35,Jul,2019,"Jul, 2019",37.21,0.11,0.00,0.05,0.16,0.00832
2019-8-2 14:10:37,Aug,2019,"Aug, 2019",37.21,0.15,0.00,0.05,0.20,0.0104
2019-9-12 20:40:16,Sep,2019,"Sep, 2019",37.21,0.12,0.00,0.05,0.17,0.00884
2019-10-10 04:44:08,Oct,2019,"Oct, 2019",37.21,0.14,0.00,0.05,0.19,0.00988
2019-11-15 11:35:37,Nov,2019,"Nov, 2019",37.21,0.17,0.00,0.05,0.22,0.01144
2019-12-7 15:42:41,Dec,2019,"Dec, 2019",37.21,0.18,0.00,0.04,0.22,0.01144
2020-1-20 09:47:12,Jan,2020,"Jan, 2020",34.89,0.16,0.00,0.04,0.20,0.0104
2020-2-4 18:43:51,Feb,2020,"Feb, 2020",34.89,0.17,0.00,0.05,0.22,0.01144
2020-3-10 16:48:17,Mar,2020,"Mar, 2020",34.89,0.17,0.00,0.05,0.22,0.01144
2020-4-16 14:45:34,Apr,2020,"Apr, 2020",34.89,0.17,0.00,0.05,0.22,0.01144
