Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-19 13:54:26,Apr,2018,"Apr, 2018",675.73,0.53,0.00,1.07,1.60,0.0832
2018-5-1 14:22:44,May,2018,"May, 2018",675.73,0.55,0.00,0.56,1.11,0.05772
2018-6-16 01:09:35,Jun,2018,"Jun, 2018",675.73,0.48,0.00,1.01,1.49,0.07748
2018-7-3 14:54:47,Jul,2018,"Jul, 2018",675.73,0.47,0.00,1.61,2.08,0.10816
2018-8-24 19:58:57,Aug,2018,"Aug, 2018",675.73,0.53,0.00,1.68,2.21,0.11492
2018-9-7 00:18:48,Sep,2018,"Sep, 2018",675.73,0.47,0.00,1.99,2.46,0.12792
2018-10-22 15:30:16,Oct,2018,"Oct, 2018",675.73,0.63,0.00,1.06,1.69,0.08788
2018-11-29 21:06:24,Nov,2018,"Nov, 2018",675.73,0.61,0.00,1.74,2.35,0.1222
2018-12-8 09:20:00,Dec,2018,"Dec, 2018",675.73,0.63,0.00,1.6,2.23,0.11596
2019-1-23 03:34:41,Jan,2019,"Jan, 2019",721.47,0.66,0.00,1.04,1.70,0.0884
2019-2-10 20:51:59,Feb,2019,"Feb, 2019",721.47,0.51,0.00,0.7,1.21,0.06292
2019-3-24 10:25:19,Mar,2019,"Mar, 2019",721.47,0.60,0.00,0.66,1.26,0.06552
2019-4-15 13:26:39,Apr,2019,"Apr, 2019",721.47,0.49,0.00,1.53,2.02,0.10504
2019-5-11 14:31:24,May,2019,"May, 2019",721.47,0.38,0.00,2.52,2.90,0.1508
2019-6-3 12:21:13,Jun,2019,"Jun, 2019",721.47,0.43,0.00,3.3,3.73,0.19396
2019-7-13 20:58:46,Jul,2019,"Jul, 2019",721.47,0.38,0.00,3.76,4.14,0.21528
2019-8-12 01:54:26,Aug,2019,"Aug, 2019",721.47,0.58,0.00,3.82,4.40,0.2288
2019-9-27 10:30:32,Sep,2019,"Sep, 2019",721.47,0.47,0.00,4.32,4.79,0.24908
2019-10-9 08:40:45,Oct,2019,"Oct, 2019",721.47,0.54,0.00,3.83,4.37,0.22724
