Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-21 04:33:40,Apr,2018,"Apr, 2018",1587.77,19.22,0.00,25.73,44.95,2.3374
2018-5-25 14:01:06,May,2018,"May, 2018",1587.77,17.91,0.00,17.15,35.06,1.82312
2018-6-10 19:42:31,Jun,2018,"Jun, 2018",1587.77,0.00,12.28,16.98,29.26,1.52152
2018-7-16 00:25:32,Jul,2018,"Jul, 2018",1587.77,11.59,0.00,9.41,21.00,1.092
2018-8-20 09:22:58,Aug,2018,"Aug, 2018",1587.77,14.01,0.00,2.68,16.69,0.86788
2018-9-23 23:07:03,Sep,2018,"Sep, 2018",1587.77,15.64,0.00,1.31,16.95,0.8814
2018-10-13 00:55:54,Oct,2018,"Oct, 2018",1587.77,17.45,0.00,0.12,17.57,0.91364
2018-11-10 01:19:00,Nov,2018,"Nov, 2018",1587.77,16.11,0.00,0.66,16.77,0.87204
2018-12-17 18:16:55,Dec,2018,"Dec, 2018",1587.77,13.84,0.00,34.34,48.18,2.50536
2019-1-3 05:42:52,Jan,2019,"Jan, 2019",1766.48,15.41,0.00,41.26,56.67,2.94684
2019-2-26 02:10:29,Feb,2019,"Feb, 2019",1766.48,16.29,0.00,39.64,55.93,2.90836
2019-3-30 19:39:17,Mar,2019,"Mar, 2019",1766.48,22.42,0.00,106.69,129.11,6.71372
2019-4-19 16:36:19,Apr,2019,"Apr, 2019",1766.48,17.86,0.00,28.71,46.57,2.42164
2019-5-5 12:26:35,May,2019,"May, 2019",1766.48,2.73,0.00,3.24,5.97,0.31044
2019-6-6 09:33:27,Jun,2019,"Jun, 2019",1766.48,17.36,0.00,3.79,21.15,1.0998
2019-7-3 22:01:34,Jul,2019,"Jul, 2019",1766.48,14.11,0.00,5.76,19.87,1.03324
2019-8-28 19:58:33,Aug,2019,"Aug, 2019",1766.48,14.11,0.00,5.76,19.87,1.03324
2019-9-1 06:03:15,Sep,2019,"Sep, 2019",1766.48,13.78,0.00,2.07,15.85,0.8242
2019-10-21 15:56:14,Oct,2019,"Oct, 2019",1766.48,13.78,0.00,2.16,15.94,0.82888
2019-11-20 13:24:53,Nov,2019,"Nov, 2019",1766.48,14.95,0.00,12.26,27.21,1.41492
2019-12-24 01:39:43,Dec,2019,"Dec, 2019",1766.48,10.79,0.00,34.77,45.56,2.36912
2020-1-22 02:31:18,Jan,2020,"Jan, 2020",1931.42,10.79,0.00,34.77,45.56,2.36912
2020-2-18 02:24:03,Feb,2020,"Feb, 2020",1931.42,12.92,0.00,37.06,49.98,2.59896
2020-3-24 16:30:45,Mar,2020,"Mar, 2020",1931.42,16.99,0.00,28.25,45.24,2.35248
2020-4-7 04:04:26,Apr,2020,"Apr, 2020",1931.42,16.26,0.00,0.71,16.97,0.88244
2020-5-7 17:34:45,May,2020,"May, 2020",1931.42,20.17,0.00,1.96,22.13,1.15076
2020-6-28 21:15:24,Jun,2020,"Jun, 2020",1931.42,16.31,0.00,6.89,23.20,1.2064
2020-7-11 18:08:28,Jul,2020,"Jul, 2020",1931.42,11.60,0.00,41.23,52.83,2.74716
2020-8-13 18:24:13,Aug,2020,"Aug, 2020",1931.42,12.53,0.00,1.66,14.19,0.73788
2020-9-14 18:05:28,Sep,2020,"Sep, 2020",1931.42,12.53,0.00,1.66,14.19,0.73788
2020-10-27 07:16:27,Oct,2020,"Oct, 2020",1931.42,12.53,0.00,1.66,14.19,0.73788
2020-11-22 03:01:41,Nov,2020,"Nov, 2020",1931.42,12.53,0.00,1.66,14.19,0.73788
2020-12-22 06:55:05,Dec,2020,"Dec, 2020",1931.42,11.55,0.00,2.14,13.69,0.71188
2021-1-20 22:25:27,Jan,2021,"Jan, 2021",2051.18,11.55,0.00,2.14,13.69,0.71188
2021-2-10 06:31:44,Feb,2021,"Feb, 2021",2051.18,11.55,0.00,2.14,13.69,0.71188
2021-3-29 11:28:19,Mar,2021,"Mar, 2021",2051.18,11.55,0.00,2.14,13.69,0.71188
2021-4-13 09:29:16,Apr,2021,"Apr, 2021",2051.18,11.55,0.00,2.14,13.69,0.71188
2021-5-9 11:51:45,May,2021,"May, 2021",2051.18,14.59,0.00,0,14.59,0.75868
2021-6-18 15:10:23,Jun,2021,"Jun, 2021",2051.18,12.44,0.00,0,12.44,0.64688
2021-7-3 20:16:13,Jul,2021,"Jul, 2021",2051.18,12.21,0.00,1.08,13.29,0.69108
2021-8-26 13:50:50,Aug,2021,"Aug, 2021",2051.18,16.20,0.00,1.08,17.28,0.89856
2021-9-2 23:14:10,Sep,2021,"Sep, 2021",2051.18,12.77,0.00,2,14.77,0.76804
2021-10-27 16:01:23,Oct,2021,"Oct, 2021",2051.18,14.18,0.00,0,14.18,0.73736
2021-11-30 23:56:37,Nov,2021,"Nov, 2021",2051.18,12.92,0.00,10.7,23.62,1.22824
2021-12-19 21:21:50,Dec,2021,"Dec, 2021",2051.18,11.92,0.00,12.16,24.08,1.25216
2022-1-27 11:23:22,Jan,2022,"Jan, 2022",1834.21,11.43,0.00,21.78,33.21,1.72692
2022-2-25 13:34:32,Feb,2022,"Feb, 2022",1834.21,14.71,0.00,16.08,30.79,1.60108
2022-3-13 22:40:25,Mar,2022,"Mar, 2022",1834.21,18.17,0.00,9.74,27.91,1.45132
2022-4-16 23:18:15,Apr,2022,"Apr, 2022",1834.21,15.85,0.00,0,15.85,0.8242
2022-5-16 01:36:03,May,2022,"May, 2022",1834.21,16.43,0.00,0,16.43,0.85436
2022-6-3 13:33:42,Jun,2022,"Jun, 2022",1834.21,13.93,0.00,0.46,14.39,0.74828
2022-7-26 04:41:15,Jul,2022,"Jul, 2022",1834.21,15.28,0.00,2.62,17.90,0.9308
2022-8-23 20:23:51,Aug,2022,"Aug, 2022",1834.21,15.28,0.00,2.62,17.90,0.9308
2022-9-25 17:07:21,Sep,2022,"Sep, 2022",1834.21,9.98,0.00,2.68,12.66,0.65832
2022-10-19 00:55:12,Oct,2022,"Oct, 2022",1834.21,14.89,0.00,1.48,16.37,0.85124
2022-11-29 03:55:35,Nov,2022,"Nov, 2022",1834.21,12.99,0.00,10.57,23.56,1.22512
2022-12-14 23:13:37,Dec,2022,"Dec, 2022",0.00,12.29,0.00,25.1,37.39,1.94428
