Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-2 18:00:40,Apr,2018,"Apr, 2018",131.26,1.69,0.00,0,1.69,0.08788
2018-5-25 17:01:50,May,2018,"May, 2018",131.26,0.27,0.00,0,0.27,0.01404
2018-6-26 10:01:50,Jun,2018,"Jun, 2018",131.26,3.05,0.00,0,3.05,0.1586
2018-7-17 17:18:25,Jul,2018,"Jul, 2018",131.26,0.26,0.00,0,0.26,0.01352
2018-8-10 06:47:08,Aug,2018,"Aug, 2018",131.26,3.49,0.00,0,3.49,0.18148
2018-9-12 16:03:53,Sep,2018,"Sep, 2018",131.26,0.26,0.00,0,0.26,0.01352
2018-10-10 01:20:47,Oct,2018,"Oct, 2018",131.26,0.47,0.00,0,0.47,0.02444
2018-11-6 05:37:32,Nov,2018,"Nov, 2018",131.26,0.66,0.00,0,0.66,0.03432
2018-12-24 15:56:31,Dec,2018,"Dec, 2018",131.26,1.41,0.00,0,1.41,0.07332
2019-1-12 05:46:56,Jan,2019,"Jan, 2019",127.97,0.23,0.00,0,0.23,0.01196
2019-2-1 00:13:36,Feb,2019,"Feb, 2019",127.97,1.46,0.00,0,1.46,0.07592
2019-3-16 15:14:23,Mar,2019,"Mar, 2019",127.97,0.26,0.00,0,0.26,0.01352
2019-4-13 19:40:13,Apr,2019,"Apr, 2019",127.97,2.32,0.00,0,2.32,0.12064
2019-5-17 03:07:43,May,2019,"May, 2019",127.97,0.34,0.00,0,0.34,0.01768
2019-6-2 06:33:25,Jun,2019,"Jun, 2019",127.97,2.21,0.00,0,2.21,0.11492
2019-7-8 05:38:44,Jul,2019,"Jul, 2019",127.97,0.23,0.00,0,0.23,0.01196
2019-8-2 02:35:06,Aug,2019,"Aug, 2019",127.97,1.48,0.00,0,1.48,0.07696
2019-9-2 22:15:53,Sep,2019,"Sep, 2019",127.97,0.16,0.00,0,0.16,0.00832
2019-10-19 19:22:49,Oct,2019,"Oct, 2019",127.97,1.28,0.00,0,1.28,0.06656
2019-11-21 08:37:45,Nov,2019,"Nov, 2019",127.97,0.24,0.00,0,0.24,0.01248
2019-12-15 00:32:25,Dec,2019,"Dec, 2019",127.97,1.78,0.00,0,1.78,0.09256
2020-1-16 21:05:17,Jan,2020,"Jan, 2020",133.79,0.18,0.00,0,0.18,0.00936
2020-2-22 19:10:57,Feb,2020,"Feb, 2020",133.79,1.56,0.00,0,1.56,0.08112
2020-3-5 19:49:54,Mar,2020,"Mar, 2020",133.79,1.56,0.00,0,1.56,0.08112
2020-4-3 01:41:46,Apr,2020,"Apr, 2020",133.79,2.67,0.00,0,2.67,0.13884
2020-5-24 20:26:53,May,2020,"May, 2020",133.79,0.21,0.00,0,0.21,0.01092
2020-6-17 16:03:19,Jun,2020,"Jun, 2020",133.79,1.96,0.00,0,1.96,0.10192
2020-7-29 17:41:06,Jul,2020,"Jul, 2020",133.79,0.28,0.00,0,0.28,0.01456
2020-8-17 16:43:23,Aug,2020,"Aug, 2020",133.79,0.28,0.00,0,0.28,0.01456
2020-9-27 00:38:09,Sep,2020,"Sep, 2020",133.79,0.29,0.00,0,0.29,0.01508
2020-10-5 20:38:10,Oct,2020,"Oct, 2020",133.79,0.29,0.00,0,0.29,0.01508
2020-11-23 02:05:23,Nov,2020,"Nov, 2020",133.79,0.29,0.00,0,0.29,0.01508
2020-12-26 05:32:16,Dec,2020,"Dec, 2020",133.79,0.29,0.00,0,0.29,0.01508
2021-1-27 20:54:58,Jan,2021,"Jan, 2021",112.80,0.17,0.00,0,0.17,0.00884
2021-2-25 00:00:00,Feb,2021,"Feb, 2021",112.80,1.71,0.00,0,1.71,0.08892
2021-3-19 21:33:12,Mar,2021,"Mar, 2021",112.80,1.71,0.00,0,1.71,0.08892
2021-4-19 04:35:45,Apr,2021,"Apr, 2021",112.80,1.71,0.00,0,1.71,0.08892
2021-5-24 14:42:19,May,2021,"May, 2021",112.80,0.27,0.00,0,0.27,0.01404
2021-6-13 13:57:54,Jun,2021,"Jun, 2021",112.80,2.31,0.00,0,2.31,0.12012
2021-7-27 06:54:09,Jul,2021,"Jul, 2021",112.80,0.24,0.00,0,0.24,0.01248
2021-8-27 22:57:17,Aug,2021,"Aug, 2021",112.80,2.53,0.00,0,2.53,0.13156
2021-9-14 20:59:44,Sep,2021,"Sep, 2021",112.80,0.22,0.00,0,0.22,0.01144
