Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-24 17:06:52,Apr,2018,"Apr, 2018",3048.30,31.71,0.00,58.25,89.96,4.67792
2018-5-15 01:29:33,May,2018,"May, 2018",3048.30,32.10,0.00,69.57,101.67,5.28684
2018-6-2 04:42:21,Jun,2018,"Jun, 2018",3048.30,28.25,0.00,101.29,129.54,6.73608
2018-7-16 15:17:44,Jul,2018,"Jul, 2018",3048.30,19.83,0.00,60.42,80.25,4.173
2018-8-3 23:35:02,Aug,2018,"Aug, 2018",3048.30,17.91,0.00,49.16,67.07,3.48764
2018-9-17 08:22:15,Sep,2018,"Sep, 2018",3048.30,27.26,0.00,48.39,75.65,3.9338
2018-10-18 12:54:00,Oct,2018,"Oct, 2018",3048.30,32.54,0.00,34.49,67.03,3.48556
2018-11-28 14:00:04,Nov,2018,"Nov, 2018",3048.30,30.30,0.00,33.11,63.41,3.29732
2018-12-25 09:35:36,Dec,2018,"Dec, 2018",3048.30,23.06,0.00,46.75,69.81,3.63012
2019-1-28 21:55:53,Jan,2019,"Jan, 2019",3729.12,29.55,0.00,30.05,59.60,3.0992
2019-2-30 09:56:53,Feb,2019,"Feb, 2019",3729.12,31.17,0.00,35.95,67.12,3.49024
2019-3-28 00:02:10,Mar,2019,"Mar, 2019",3729.12,31.47,0.00,42.54,74.01,3.84852
2019-4-22 22:12:12,Apr,2019,"Apr, 2019",3729.12,34.81,0.00,52.08,86.89,4.51828
2019-5-7 15:42:59,May,2019,"May, 2019",3729.12,11.63,0.00,30.1,41.73,2.16996
2019-6-13 15:10:59,Jun,2019,"Jun, 2019",3729.12,30.86,0.00,24.12,54.98,2.85896
2019-7-15 13:28:55,Jul,2019,"Jul, 2019",3729.12,24.58,0.00,106.28,130.86,6.80472
2019-8-19 14:25:18,Aug,2019,"Aug, 2019",3729.12,24.00,0.00,63.63,87.63,4.55676
2019-9-3 11:26:45,Sep,2019,"Sep, 2019",3729.12,20.65,0.00,62.84,83.49,4.34148
2019-10-7 10:43:37,Oct,2019,"Oct, 2019",3729.12,28.39,0.00,111.7,140.09,7.28468
2019-11-10 06:37:08,Nov,2019,"Nov, 2019",3729.12,30.61,0.00,58.68,89.29,4.64308
2019-12-28 13:14:39,Dec,2019,"Dec, 2019",3729.12,27.81,0.00,57.69,85.50,4.446
2020-1-8 18:07:40,Jan,2020,"Jan, 2020",3939.85,30.38,0.00,49.29,79.67,4.14284
2020-2-29 08:33:24,Feb,2020,"Feb, 2020",3939.85,29.42,0.00,87.86,117.28,6.09856
2020-3-1 05:48:36,Mar,2020,"Mar, 2020",3939.85,33.28,0.00,77.18,110.46,5.74392
2020-4-30 22:10:27,Apr,2020,"Apr, 2020",3939.85,33.14,0.00,100.45,133.59,6.94668
2020-5-14 15:56:06,May,2020,"May, 2020",3939.85,35.18,0.00,102.63,137.81,7.16612
2020-6-14 05:21:26,Jun,2020,"Jun, 2020",3939.85,24.91,0.00,114.39,139.30,7.2436
2020-7-15 21:52:48,Jul,2020,"Jul, 2020",3939.85,27.28,0.00,108.93,136.21,7.08292
2020-8-4 01:52:11,Aug,2020,"Aug, 2020",3939.85,21.96,0.00,36.84,58.80,3.0576
2020-9-19 02:05:36,Sep,2020,"Sep, 2020",3939.85,29.23,0.00,95.97,125.20,6.5104
2020-10-6 06:34:32,Oct,2020,"Oct, 2020",3939.85,29.86,0.00,89.3,119.16,6.19632
2020-11-26 13:47:40,Nov,2020,"Nov, 2020",3939.85,32.95,0.00,105.42,138.37,7.19524
2020-12-16 17:46:48,Dec,2020,"Dec, 2020",3939.85,33.28,0.00,110.21,143.49,7.46148
2021-1-22 23:39:50,Jan,2021,"Jan, 2021",4022.41,33.08,0.00,133.32,166.40,8.6528
2021-2-10 09:09:51,Feb,2021,"Feb, 2021",4022.41,34.95,0.00,132.82,167.77,8.72404
2021-3-21 19:00:34,Mar,2021,"Mar, 2021",4022.41,34.95,0.00,132.82,167.77,8.72404
2021-4-5 13:42:32,Apr,2021,"Apr, 2021",4022.41,29.53,0.00,102.28,131.81,6.85412
2021-5-9 23:29:58,May,2021,"May, 2021",4022.41,37.46,0.00,110.84,148.30,7.7116
2021-6-22 11:32:05,Jun,2021,"Jun, 2021",4022.41,29.12,0.00,131.62,160.74,8.35848
2021-7-13 00:16:50,Jul,2021,"Jul, 2021",4022.41,26.37,0.00,134.33,160.70,8.3564
2021-8-22 23:20:03,Aug,2021,"Aug, 2021",4022.41,35.53,0.00,162.28,197.81,10.28612
2021-9-4 07:23:10,Sep,2021,"Sep, 2021",4022.41,32.96,0.00,133.98,166.94,8.68088
2021-10-17 07:07:29,Oct,2021,"Oct, 2021",4022.41,43.40,0.00,100.83,144.23,7.49996
2021-11-25 13:51:35,Nov,2021,"Nov, 2021",4022.41,35.41,0.00,117.79,153.20,7.9664
2021-12-24 22:38:16,Dec,2021,"Dec, 2021",4022.41,37.22,0.00,124.4,161.62,8.40424
2022-1-28 06:32:01,Jan,2022,"Jan, 2022",3684.92,36.53,0.00,132.3,168.83,8.77916
2022-2-8 02:00:35,Feb,2022,"Feb, 2022",3684.92,44.13,0.00,106.4,150.53,7.82756
2022-3-25 08:25:52,Mar,2022,"Mar, 2022",3684.92,48.89,0.00,144.69,193.58,10.06616
2022-4-24 02:59:05,Apr,2022,"Apr, 2022",3684.92,43.51,0.00,130.57,174.08,9.05216
2022-5-21 12:21:31,May,2022,"May, 2022",3684.92,46.10,0.00,123.76,169.86,8.83272
2022-6-13 21:19:48,Jun,2022,"Jun, 2022",3684.92,39.36,0.00,124.33,163.69,8.51188
2022-7-18 20:47:32,Jul,2022,"Jul, 2022",3684.92,30.73,0.00,82.13,112.86,5.86872
2022-8-16 18:55:08,Aug,2022,"Aug, 2022",3684.92,39.54,0.00,94.57,134.11,6.97372
