Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-16 18:07:51,Apr,2018,"Apr, 2018",475.05,0.62,0.00,0,0.62,0.03224
2018-5-14 04:38:48,May,2018,"May, 2018",475.05,0.52,0.00,0,0.52,0.02704
2018-6-9 05:01:15,Jun,2018,"Jun, 2018",475.05,0.38,0.00,0,0.38,0.01976
2018-7-14 02:38:45,Jul,2018,"Jul, 2018",475.05,0.19,0.00,0,0.19,0.00988
2018-8-19 06:07:35,Aug,2018,"Aug, 2018",475.05,0.29,0.00,0,0.29,0.01508
2018-9-28 06:14:33,Sep,2018,"Sep, 2018",475.05,0.43,0.00,0,0.43,0.02236
2018-10-27 05:08:19,Oct,2018,"Oct, 2018",475.05,0.52,0.00,0,0.52,0.02704
2018-11-26 20:21:54,Nov,2018,"Nov, 2018",475.05,0.46,0.00,0,0.46,0.02392
2018-12-27 23:18:06,Dec,2018,"Dec, 2018",475.05,0.48,0.00,0,0.48,0.02496
2019-1-26 21:52:49,Jan,2019,"Jan, 2019",505.83,0.57,0.00,0,0.57,0.02964
2019-2-10 00:44:02,Feb,2019,"Feb, 2019",505.83,0.59,0.00,0,0.59,0.03068
2019-3-5 11:27:53,Mar,2019,"Mar, 2019",505.83,0.71,0.00,0,0.71,0.03692
2019-4-4 16:46:37,Apr,2019,"Apr, 2019",505.83,0.70,0.00,0,0.70,0.0364
2019-5-24 06:22:23,May,2019,"May, 2019",505.83,0.66,0.00,0,0.66,0.03432
2019-6-6 15:01:57,Jun,2019,"Jun, 2019",505.83,0.49,0.00,0,0.49,0.02548
2019-7-21 21:16:56,Jul,2019,"Jul, 2019",505.83,0.34,0.00,0,0.34,0.01768
2019-8-17 14:16:24,Aug,2019,"Aug, 2019",505.83,0.35,0.00,0,0.35,0.0182
2019-9-23 20:16:43,Sep,2019,"Sep, 2019",505.83,0.00,0.35,0,0.35,0.0182
2019-10-10 15:51:50,Oct,2019,"Oct, 2019",505.83,0.51,0.00,0,0.51,0.02652
2019-11-11 13:58:05,Nov,2019,"Nov, 2019",505.83,0.51,0.00,0,0.51,0.02652
2019-12-2 01:36:19,Dec,2019,"Dec, 2019",505.83,0.47,0.00,0,0.47,0.02444
2020-1-5 06:05:05,Jan,2020,"Jan, 2020",525.88,0.56,0.00,0,0.56,0.02912
2020-2-5 13:29:43,Feb,2020,"Feb, 2020",525.88,0.58,0.00,0,0.58,0.03016
2020-3-13 01:40:47,Mar,2020,"Mar, 2020",525.88,0.68,0.00,0,0.68,0.03536
2020-4-25 05:09:25,Apr,2020,"Apr, 2020",525.88,0.64,0.00,0,0.64,0.03328
2020-5-13 05:12:35,May,2020,"May, 2020",525.88,0.68,0.00,0,0.68,0.03536
2020-6-5 12:58:21,Jun,2020,"Jun, 2020",525.88,0.45,0.00,0,0.45,0.0234
2020-7-19 03:34:53,Jul,2020,"Jul, 2020",525.88,0.44,0.00,0,0.44,0.02288
2020-8-29 07:36:10,Aug,2020,"Aug, 2020",525.88,0.28,0.00,0,0.28,0.01456
2020-9-24 14:24:02,Sep,2020,"Sep, 2020",525.88,0.38,0.00,0,0.38,0.01976
2020-10-19 14:34:04,Oct,2020,"Oct, 2020",525.88,0.38,0.00,0,0.38,0.01976
2020-11-6 12:28:04,Nov,2020,"Nov, 2020",525.88,0.38,0.00,0,0.38,0.01976
2020-12-2 05:38:10,Dec,2020,"Dec, 2020",525.88,0.38,0.00,0,0.38,0.01976
2021-1-28 08:43:58,Jan,2021,"Jan, 2021",442.39,3.29,0.00,0,3.29,0.17108
2021-2-9 21:27:38,Feb,2021,"Feb, 2021",442.39,3.92,0.00,0,3.92,0.20384
2021-3-15 01:21:43,Mar,2021,"Mar, 2021",442.39,0.74,0.00,0,0.74,0.03848
2021-4-13 05:25:42,Apr,2021,"Apr, 2021",442.39,0.65,0.00,0,0.65,0.0338
2021-5-11 06:56:36,May,2021,"May, 2021",442.39,4.42,0.00,0,4.42,0.22984
2021-6-19 01:44:45,Jun,2021,"Jun, 2021",442.39,4.78,0.00,0,4.78,0.24856
2021-7-23 11:09:22,Jul,2021,"Jul, 2021",442.39,4.78,0.00,0,4.78,0.24856
2021-8-17 15:03:46,Aug,2021,"Aug, 2021",442.39,3.03,0.00,0,3.03,0.15756
2021-9-25 16:24:56,Sep,2021,"Sep, 2021",442.39,2.89,0.00,0,2.89,0.15028
2021-10-11 21:42:17,Oct,2021,"Oct, 2021",442.39,4.61,0.00,0,4.61,0.23972
2021-11-30 04:22:27,Nov,2021,"Nov, 2021",442.39,5.10,0.00,0,5.10,0.2652
2021-12-13 04:36:31,Dec,2021,"Dec, 2021",442.39,3.84,0.00,0,3.84,0.19968
2022-1-9 01:09:35,Jan,2022,"Jan, 2022",487.29,4.36,0.00,0,4.36,0.22672
2022-2-19 03:52:52,Feb,2022,"Feb, 2022",487.29,4.91,0.00,0,4.91,0.25532
2022-3-17 06:30:46,Mar,2022,"Mar, 2022",487.29,5.79,0.00,0,5.79,0.30108
2022-4-23 13:48:43,Apr,2022,"Apr, 2022",487.29,3.36,0.00,0.81,4.17,0.21684
2022-5-21 18:47:44,May,2022,"May, 2022",487.29,3.36,0.00,0.81,4.17,0.21684
2022-6-2 17:31:52,Jun,2022,"Jun, 2022",487.29,3.36,0.00,0.81,4.17,0.21684
2022-7-17 14:57:11,Jul,2022,"Jul, 2022",487.29,0.00,0.00,0,0.00,0
2022-8-10 20:24:50,Aug,2022,"Aug, 2022",487.29,0.00,0.00,0,0.00,0
