Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-4 09:33:08,Apr,2018,"Apr, 2018",198.27,1.94,0.00,0,1.94,0.10088
2018-5-5 17:02:17,May,2018,"May, 2018",198.27,1.84,0.00,0,1.84,0.09568
2018-6-16 23:46:53,Jun,2018,"Jun, 2018",198.27,1.42,0.00,0,1.42,0.07384
2018-7-22 18:20:59,Jul,2018,"Jul, 2018",198.27,0.62,0.00,0,0.62,0.03224
2018-8-16 05:47:28,Aug,2018,"Aug, 2018",198.27,1.09,0.00,0,1.09,0.05668
2018-9-5 15:28:56,Sep,2018,"Sep, 2018",198.27,1.58,0.00,0,1.58,0.08216
2018-10-9 00:47:13,Oct,2018,"Oct, 2018",198.27,1.60,0.00,0,1.60,0.0832
2018-11-3 04:23:22,Nov,2018,"Nov, 2018",198.27,1.52,0.00,0,1.52,0.07904
2018-12-3 11:58:29,Dec,2018,"Dec, 2018",198.27,1.49,0.00,0,1.49,0.07748
2019-1-23 08:45:50,Jan,2019,"Jan, 2019",202.66,1.76,0.00,0,1.76,0.09152
2019-2-3 05:00:48,Feb,2019,"Feb, 2019",202.66,1.84,0.00,0,1.84,0.09568
2019-3-9 03:44:46,Mar,2019,"Mar, 2019",202.66,2.24,0.00,0,2.24,0.11648
2019-4-14 14:38:11,Apr,2019,"Apr, 2019",202.66,2.12,0.00,0,2.12,0.11024
2019-5-7 04:12:37,May,2019,"May, 2019",202.66,2.12,0.00,0,2.12,0.11024
2019-6-24 07:26:07,Jun,2019,"Jun, 2019",202.66,1.35,0.00,0,1.35,0.0702
2019-7-3 01:33:08,Jul,2019,"Jul, 2019",202.66,1.39,0.00,0,1.39,0.07228
2019-8-20 04:11:34,Aug,2019,"Aug, 2019",202.66,1.36,0.00,0,1.36,0.07072
2019-9-22 07:50:43,Sep,2019,"Sep, 2019",202.66,1.34,0.00,0,1.34,0.06968
2019-10-18 16:36:43,Oct,2019,"Oct, 2019",202.66,1.91,0.00,0,1.91,0.09932
2019-11-16 06:15:20,Nov,2019,"Nov, 2019",202.66,1.78,0.00,0,1.78,0.09256
2019-12-5 22:37:19,Dec,2019,"Dec, 2019",202.66,2.23,0.00,0,2.23,0.11596
2020-1-25 17:08:06,Jan,2020,"Jan, 2020",208.01,2.01,0.00,0,2.01,0.10452
2020-2-23 15:50:48,Feb,2020,"Feb, 2020",208.01,2.11,0.00,0,2.11,0.10972
2020-3-15 05:06:34,Mar,2020,"Mar, 2020",208.01,2.11,0.00,0,2.11,0.10972
2020-4-12 21:13:37,Apr,2020,"Apr, 2020",208.01,2.57,0.00,0,2.57,0.13364
2020-5-7 14:35:46,May,2020,"May, 2020",208.01,2.24,0.00,0,2.24,0.11648
2020-6-21 05:16:31,Jun,2020,"Jun, 2020",208.01,1.78,0.00,0.26,2.04,0.10608
2020-7-4 01:20:56,Jul,2020,"Jul, 2020",208.01,1.65,0.00,1.32,2.97,0.15444
