Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-3 16:09:10,Apr,2018,"Apr, 2018",2374.16,1.25,0.00,25.35,26.60,1.3832
2018-5-24 01:26:10,May,2018,"May, 2018",2374.16,1.29,0.00,25.54,26.83,1.39516
2018-6-26 11:31:49,Jun,2018,"Jun, 2018",2374.16,1.26,0.00,22.83,24.09,1.25268
2018-7-18 14:20:10,Jul,2018,"Jul, 2018",2374.16,1.12,0.00,20.36,21.48,1.11696
2018-8-18 23:16:34,Aug,2018,"Aug, 2018",2374.16,1.04,0.00,23.72,24.76,1.28752
2018-9-8 23:16:23,Sep,2018,"Sep, 2018",2374.16,0.97,0.00,20.99,21.96,1.14192
2018-10-19 05:35:14,Oct,2018,"Oct, 2018",2374.16,1.02,0.00,24.82,25.84,1.34368
2018-11-20 17:45:45,Nov,2018,"Nov, 2018",2374.16,0.85,0.00,26.02,26.87,1.39724
2018-12-26 12:15:28,Dec,2018,"Dec, 2018",2374.16,0.51,0.00,22.31,22.82,1.18664
2019-1-25 11:22:03,Jan,2019,"Jan, 2019",2430.92,0.48,0.00,21.26,21.74,1.13048
2019-2-1 13:29:50,Feb,2019,"Feb, 2019",2430.92,0.40,0.00,20.69,21.09,1.09668
2019-3-3 22:39:07,Mar,2019,"Mar, 2019",2430.92,0.63,0.00,22.92,23.55,1.2246
2019-4-26 12:29:27,Apr,2019,"Apr, 2019",2430.92,13.34,0.00,26.98,40.32,2.09664
2019-5-25 07:37:18,May,2019,"May, 2019",2430.92,16.22,0.00,24.81,41.03,2.13356
2019-6-8 04:24:48,Jun,2019,"Jun, 2019",2430.92,14.42,0.00,25.18,39.60,2.0592
2019-7-26 04:09:50,Jul,2019,"Jul, 2019",2430.92,11.63,0.00,25.12,36.75,1.911
2019-8-29 00:02:39,Aug,2019,"Aug, 2019",2430.92,12.77,0.00,23.57,36.34,1.88968
2019-9-25 17:38:30,Sep,2019,"Sep, 2019",2430.92,12.74,0.00,25.11,37.85,1.9682
2019-10-5 12:40:16,Oct,2019,"Oct, 2019",2430.92,12.74,0.00,27.61,40.35,2.0982
2019-11-29 20:18:25,Nov,2019,"Nov, 2019",2430.92,8.73,0.00,25.67,34.40,1.7888
2019-12-28 06:11:23,Dec,2019,"Dec, 2019",2430.92,7.09,0.00,22.19,29.28,1.52256
2020-1-15 10:34:18,Jan,2020,"Jan, 2020",2484.41,7.09,0.00,19.63,26.72,1.38944
2020-2-23 13:06:13,Feb,2020,"Feb, 2020",2484.41,11.08,0.00,19.63,30.71,1.59692
2020-3-15 11:57:40,Mar,2020,"Mar, 2020",2484.41,8.46,0.00,21.88,30.34,1.57768
2020-4-18 14:50:51,Apr,2020,"Apr, 2020",2484.41,14.60,0.00,21.88,36.48,1.89696
2020-5-23 20:48:09,May,2020,"May, 2020",2484.41,21.79,0.00,25.21,47.00,2.444
2020-6-12 02:16:48,Jun,2020,"Jun, 2020",2484.41,18.78,0.00,23.32,42.10,2.1892
2020-7-2 18:28:19,Jul,2020,"Jul, 2020",2484.41,17.16,0.00,18.22,35.38,1.83976
2020-8-6 20:32:49,Aug,2020,"Aug, 2020",2484.41,14.53,0.00,24.81,39.34,2.04568
2020-9-8 03:06:54,Sep,2020,"Sep, 2020",2484.41,17.16,0.00,15.96,33.12,1.72224
2020-10-18 21:23:37,Oct,2020,"Oct, 2020",2484.41,17.32,0.00,18.36,35.68,1.85536
2020-11-5 07:43:20,Nov,2020,"Nov, 2020",2484.41,17.32,0.00,16.76,34.08,1.77216
2020-12-10 14:29:53,Dec,2020,"Dec, 2020",2484.41,12.22,0.00,14.51,26.73,1.38996
2021-1-11 18:01:23,Jan,2021,"Jan, 2021",2193.32,12.22,0.00,13.78,26.00,1.352
2021-2-14 10:05:53,Feb,2021,"Feb, 2021",2193.32,11.74,0.00,21.95,33.69,1.75188
2021-3-27 07:56:10,Mar,2021,"Mar, 2021",2193.32,15.16,0.00,21.95,37.11,1.92972
2021-4-29 02:05:47,Apr,2021,"Apr, 2021",2193.32,15.16,0.00,12.96,28.12,1.46224
2021-5-13 17:48:32,May,2021,"May, 2021",2193.32,15.16,0.00,16.31,31.47,1.63644
2021-6-11 00:05:35,Jun,2021,"Jun, 2021",2193.32,15.16,0.00,15.4,30.56,1.58912
2021-7-24 19:23:06,Jul,2021,"Jul, 2021",2193.32,20.04,0.00,16.86,36.90,1.9188
2021-8-20 01:28:05,Aug,2021,"Aug, 2021",2193.32,20.04,0.00,24.67,44.71,2.32492
2021-9-11 16:09:09,Sep,2021,"Sep, 2021",2193.32,20.04,0.00,24.67,44.71,2.32492
2021-10-11 10:08:33,Oct,2021,"Oct, 2021",2193.32,20.04,0.00,23.77,43.81,2.27812
2021-11-22 01:24:40,Nov,2021,"Nov, 2021",2193.32,20.04,0.00,24.27,44.31,2.30412
2021-12-24 19:10:47,Dec,2021,"Dec, 2021",2193.32,20.04,0.00,19.07,39.11,2.03372
2022-1-29 02:31:58,Jan,2022,"Jan, 2022",2370.70,20.04,0.00,19.07,39.11,2.03372
2022-2-6 01:10:20,Feb,2022,"Feb, 2022",2370.70,20.04,0.00,17.25,37.29,1.93908
2022-3-10 02:01:49,Mar,2022,"Mar, 2022",2370.70,20.04,0.00,18.6,38.64,2.00928
2022-4-24 18:54:51,Apr,2022,"Apr, 2022",2370.70,20.04,0.00,21.81,41.85,2.1762
2022-5-10 20:36:33,May,2022,"May, 2022",2370.70,22.64,0.00,21.83,44.47,2.31244
2022-6-15 09:01:07,Jun,2022,"Jun, 2022",2370.70,22.64,0.00,22.52,45.16,2.34832
2022-7-8 05:30:23,Jul,2022,"Jul, 2022",2370.70,22.64,0.00,21.96,44.60,2.3192
2022-8-3 10:51:40,Aug,2022,"Aug, 2022",2370.70,22.64,0.00,22.95,45.59,2.37068
2022-9-5 07:47:02,Sep,2022,"Sep, 2022",2370.70,22.64,0.00,22.23,44.87,2.33324
2022-10-23 17:28:18,Oct,2022,"Oct, 2022",2370.70,17.08,0.00,26.04,43.12,2.24224
2022-11-5 18:31:03,Nov,2022,"Nov, 2022",2370.70,17.08,0.00,20.86,37.94,1.97288
2022-12-15 22:50:36,Dec,2022,"Dec, 2022",2370.70,17.08,0.00,18.23,35.31,1.83612
