Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-10 09:18:39,Apr,2018,"Apr, 2018",11719.91422,47.83,0.00,173.15,220.98,11.49096
2018-5-24 18:57:15,May,2018,"May, 2018",11719.91422,46.48,0.00,177.34,223.82,11.63864
2018-6-22 14:30:54,Jun,2018,"Jun, 2018",11719.91422,23.93,12.28,174.11,210.32,10.93664
2018-7-20 11:56:33,Jul,2018,"Jul, 2018",11719.91422,33.50,0.00,186.71,220.21,11.45092
2018-8-30 04:45:32,Aug,2018,"Aug, 2018",11719.91422,37.39,1.15,176.62,215.16,11.18832
2018-9-21 13:47:47,Sep,2018,"Sep, 2018",11719.91422,42.02,5.70,176.26,223.98,11.64696
2018-10-5 14:50:41,Oct,2018,"Oct, 2018",11719.91422,48.30,3.91,197.02,249.23,12.95996
2018-11-19 17:35:35,Nov,2018,"Nov, 2018",11719.91422,44.36,3.91,167.51,215.78,11.22056
2018-12-13 01:12:26,Dec,2018,"Dec, 2018",11719.91422,40.13,9.29,174.84,224.26,11.66152
2019-1-29 03:44:28,Jan,2019,"Jan, 2019",14087.6768,44.66,9.91,192.97,247.54,12.87208
2019-2-15 10:06:45,Feb,2019,"Feb, 2019",14087.6768,48.75,12.25,62.75,123.75,6.435
2019-3-16 18:19:02,Mar,2019,"Mar, 2019",14087.6768,59.28,12.10,261.63,333.01,17.31652
2019-4-22 14:09:34,Apr,2019,"Apr, 2019",14087.6768,64.70,16.52,167.64,248.86,12.94072
2019-5-21 05:11:00,May,2019,"May, 2019",14087.6768,53.94,18.97,161.91,234.82,12.21064
2019-6-4 17:54:17,Jun,2019,"Jun, 2019",14087.6768,61.13,19.17,170.21,250.51,13.02652
2019-7-12 19:39:41,Jul,2019,"Jul, 2019",14087.6768,48.44,0.00,195.81,244.25,12.701
2019-8-28 21:01:11,Aug,2019,"Aug, 2019",14087.6768,36.04,0.00,197.35,233.39,12.13628
2019-9-16 14:35:23,Sep,2019,"Sep, 2019",14087.6768,38.84,0.00,165.1,203.94,10.60488
2019-10-5 19:40:11,Oct,2019,"Oct, 2019",14087.6768,54.23,0.00,170.7,224.93,11.69636
2019-11-7 01:41:24,Nov,2019,"Nov, 2019",14087.6768,45.78,0.00,151.36,197.14,10.25128
2019-12-19 18:11:16,Dec,2019,"Dec, 2019",14087.6768,43.32,0.00,151.77,195.09,10.14468
2020-1-18 06:28:52,Jan,2020,"Jan, 2020",14960.83214,48.37,0.00,155.49,203.86,10.60072
2020-2-29 09:52:51,Feb,2020,"Feb, 2020",14960.83214,51.97,0.00,181.75,233.72,12.15344
2020-3-7 01:09:28,Mar,2020,"Mar, 2020",14960.83214,68.66,0.00,179.54,248.20,12.9064
2020-4-23 03:46:10,Apr,2020,"Apr, 2020",14960.83214,65.94,0.00,106.71,172.65,8.9778
2020-5-15 01:52:59,May,2020,"May, 2020",14960.83214,70.44,0.00,113.01,183.45,9.5394
2020-6-1 00:42:38,Jun,2020,"Jun, 2020",14960.83214,54.74,0.00,127.02,181.76,9.45152
2020-7-18 07:39:34,Jul,2020,"Jul, 2020",14960.83214,51.98,0.00,199.5,251.48,13.07696
2020-8-29 09:00:06,Aug,2020,"Aug, 2020",14960.83214,42.40,0.00,193.36,235.76,12.25952
2020-9-6 13:15:39,Sep,2020,"Sep, 2020",14960.83214,61.50,0.00,197.72,259.22,13.47944
2020-10-6 07:57:13,Oct,2020,"Oct, 2020",14960.83214,59.60,0.00,212.56,272.16,14.15232
2020-11-12 22:14:20,Nov,2020,"Nov, 2020",14960.83214,59.35,0.00,210.93,270.28,14.05456
2020-12-16 05:12:56,Dec,2020,"Dec, 2020",14960.83214,64.23,0.00,171.75,235.98,12.27096
2021-1-30 01:09:21,Jan,2021,"Jan, 2021",14898.72086,71.45,0.00,161.97,233.42,12.13784
2021-2-7 17:47:13,Feb,2021,"Feb, 2021",14898.72086,69.75,0.00,148.51,218.26,11.34952
2021-3-8 14:48:29,Mar,2021,"Mar, 2021",14898.72086,81.40,0.00,161.19,242.59,12.61468
2021-4-14 11:07:52,Apr,2021,"Apr, 2021",14898.72086,82.29,0.00,162.32,244.61,12.71972
2021-5-4 14:27:53,May,2021,"May, 2021",14898.72086,83.03,0.00,163.55,246.58,12.82216
2021-6-15 19:31:54,Jun,2021,"Jun, 2021",14898.72086,64.65,0.00,172.8,237.45,12.3474
2021-7-14 04:53:48,Jul,2021,"Jul, 2021",14898.72086,62.47,0.00,192.29,254.76,13.24752
2021-8-30 01:41:18,Aug,2021,"Aug, 2021",14898.72086,72.79,0.00,223.08,295.87,15.38524
2021-9-8 01:37:03,Sep,2021,"Sep, 2021",14898.72086,64.59,0.00,220.19,284.78,14.80856
2021-10-11 18:49:03,Oct,2021,"Oct, 2021",14898.72086,77.36,0.00,230.6,307.96,16.01392
2021-11-10 01:36:12,Nov,2021,"Nov, 2021",14898.72086,69.23,0.00,214.19,283.42,14.73784
2021-12-29 13:21:46,Dec,2021,"Dec, 2021",14898.72086,66.88,0.00,197.83,264.71,13.76492
2022-1-15 17:06:10,Jan,2022,"Jan, 2022",13916.786,73.65,0.00,199.06,272.71,14.18092
2022-2-26 14:43:55,Feb,2022,"Feb, 2022",13916.786,88.13,0.00,171.95,260.08,13.52416
2022-3-19 22:39:05,Mar,2022,"Mar, 2022",13916.786,99.68,0.00,189.24,288.92,15.02384
2022-4-24 01:36:43,Apr,2022,"Apr, 2022",13916.786,92.37,0.00,177.73,270.10,14.0452
2022-5-26 22:38:32,May,2022,"May, 2022",13916.786,99.98,0.00,179.35,279.33,14.52516
2022-6-10 18:07:21,Jun,2022,"Jun, 2022",13916.786,78.58,0.00,164.26,242.84,12.62768
2022-7-4 05:26:39,Jul,2022,"Jul, 2022",13916.786,74.34,0.00,216.63,290.97,15.13044
2022-8-13 03:35:40,Aug,2022,"Aug, 2022",13916.786,75.70,0.00,232.48,308.18,16.02536
2022-9-5 12:10:39,Sep,2022,"Sep, 2022",13916.786,76.37,0.00,236.37,312.74,16.26248
2022-10-23 09:43:36,Oct,2022,"Oct, 2022",13916.786,88.36,0.00,251.96,340.32,17.69664
2022-11-21 07:48:44,Nov,2022,"Nov, 2022",13916.786,89.57,0.00,210.9,300.47,15.62444
2022-12-15 23:52:04,Dec,2022,"Dec, 2022",13916.786,85.72,0.00,216.55,302.27,15.71804
