Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2019-10-18 08:06:14,Oct,2019,"Oct, 2019",341.97,0.00,0.00,0,0.00,0
2019-11-27 11:54:52,Nov,2019,"Nov, 2019",341.97,0.14,0.00,0,0.14,0.00728
2019-12-20 15:13:22,Dec,2019,"Dec, 2019",341.97,0.14,0.00,0,0.14,0.00728
2020-1-13 17:57:42,Jan,2020,"Jan, 2020",368.31,0.14,0.00,0,0.14,0.00728
2020-2-15 16:03:42,Feb,2020,"Feb, 2020",368.31,0.15,0.00,0,0.15,0.0078
2020-3-20 23:29:39,Mar,2020,"Mar, 2020",368.31,0.13,0.00,0,0.13,0.00676
2020-4-28 16:23:19,Apr,2020,"Apr, 2020",368.31,0.15,0.00,0,0.15,0.0078
2020-5-17 03:33:55,May,2020,"May, 2020",368.31,0.15,0.00,0,0.15,0.0078
2020-6-18 18:19:15,Jun,2020,"Jun, 2020",368.31,0.09,0.00,0,0.09,0.00468
2020-7-11 14:56:27,Jul,2020,"Jul, 2020",368.31,0.09,0.00,0,0.09,0.00468
2020-8-15 10:12:05,Aug,2020,"Aug, 2020",368.31,0.09,0.00,0,0.09,0.00468
2020-9-23 08:47:01,Sep,2020,"Sep, 2020",368.31,0.10,0.00,0,0.10,0.0052
2020-10-13 15:50:20,Oct,2020,"Oct, 2020",368.31,0.12,0.00,0,0.12,0.00624
2020-11-23 16:02:35,Nov,2020,"Nov, 2020",368.31,0.14,0.00,0,0.14,0.00728
2020-12-11 21:52:12,Dec,2020,"Dec, 2020",368.31,0.14,0.00,0,0.14,0.00728
2021-1-19 02:55:34,Jan,2021,"Jan, 2021",363.53,0.14,0.00,0,0.14,0.00728
2021-2-21 08:08:04,Feb,2021,"Feb, 2021",363.53,0.10,0.00,0,0.10,0.0052
2021-3-9 01:09:57,Mar,2021,"Mar, 2021",363.53,0.00,0.00,0,0.00,0
2021-4-24 12:39:31,Apr,2021,"Apr, 2021",363.53,0.15,0.00,0,0.15,0.0078
2021-5-12 16:37:42,May,2021,"May, 2021",363.53,0.10,0.00,0,0.10,0.0052
2021-6-1 04:20:40,Jun,2021,"Jun, 2021",363.53,0.10,0.00,0,0.10,0.0052
2021-7-9 07:58:41,Jul,2021,"Jul, 2021",363.53,0.08,0.00,0,0.08,0.00416
2021-8-8 13:03:49,Aug,2021,"Aug, 2021",363.53,0.11,0.00,0,0.11,0.00572
2021-9-1 19:31:45,Sep,2021,"Sep, 2021",363.53,0.10,0.00,0,0.10,0.0052
2021-10-10 09:52:13,Oct,2021,"Oct, 2021",363.53,0.10,0.00,0,0.10,0.0052
2021-11-13 12:10:46,Nov,2021,"Nov, 2021",363.53,0.11,0.00,0,0.11,0.00572
2021-12-1 06:12:34,Dec,2021,"Dec, 2021",363.53,1.34,0.00,0.01,1.35,0.0702
2022-1-7 22:41:41,Jan,2022,"Jan, 2022",357.94,1.51,0.00,0.1,1.61,0.08372
2022-2-21 08:48:56,Feb,2022,"Feb, 2022",357.94,1.83,0.00,0.14,1.97,0.10244
2022-3-14 04:55:48,Mar,2022,"Mar, 2022",357.94,2.30,0.00,0.48,2.78,0.14456
2022-4-14 19:35:38,Apr,2022,"Apr, 2022",357.94,0.42,0.00,0.42,0.84,0.04368
2022-5-21 09:19:38,May,2022,"May, 2022",357.94,0.42,0.00,0.42,0.84,0.04368
2022-6-17 01:32:17,Jun,2022,"Jun, 2022",357.94,0.42,0.00,0.42,0.84,0.04368
2022-7-18 08:04:20,Jul,2022,"Jul, 2022",357.94,1.51,0.00,0.42,1.93,0.10036
2022-8-18 00:47:05,Aug,2022,"Aug, 2022",357.94,1.51,0.00,0.42,1.93,0.10036
2022-9-25 01:30:11,Sep,2022,"Sep, 2022",357.94,1.51,0.00,0.42,1.93,0.10036
2022-10-20 16:06:28,Oct,2022,"Oct, 2022",357.94,1.51,0.00,0.42,1.93,0.10036
2022-11-13 19:32:22,Nov,2022,"Nov, 2022",357.94,1.51,0.00,0.42,1.93,0.10036
2022-12-21 10:41:31,Dec,2022,"Dec, 2022",357.94,1.51,0.00,0.42,1.93,0.10036
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
