Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-14 22:50:05,Apr,2018,"Apr, 2018",9796.42,220.50,733.60,11.26,965.36,50.19872
2018-5-28 00:20:52,May,2018,"May, 2018",9796.42,216.23,1190.32,10.94,1417.49,73.70948
2018-6-4 11:46:24,Jun,2018,"Jun, 2018",9796.42,173.97,1664.95,9.8,1848.72,96.13344
2018-7-22 19:33:03,Jul,2018,"Jul, 2018",9796.42,126.27,1686.46,13.45,1826.18,94.96136
2018-8-8 00:39:50,Aug,2018,"Aug, 2018",9796.42,120.47,1506.75,14.06,1641.28,85.34656
2018-9-10 03:00:43,Sep,2018,"Sep, 2018",9796.42,169.68,816.91,14.98,1001.57,52.08164
2018-10-28 12:38:08,Oct,2018,"Oct, 2018",9796.42,200.40,302.71,15.45,518.56,26.96512
2018-11-11 07:29:10,Nov,2018,"Nov, 2018",9796.42,199.86,390.43,9.95,600.24,31.21248
2018-12-3 03:06:33,Dec,2018,"Dec, 2018",9796.42,208.49,786.01,13.04,1007.54,52.39208
2019-1-26 08:19:06,Jan,2019,"Jan, 2019",9180.11,233.43,779.91,12.23,1025.57,53.32964
2019-2-7 08:39:10,Feb,2019,"Feb, 2019",9180.11,236.82,752.51,13.76,1003.09,52.16068
2019-3-16 03:14:36,Mar,2019,"Mar, 2019",9180.11,304.20,789.41,27.64,1121.25,58.305
2019-4-6 22:10:27,Apr,2019,"Apr, 2019",9180.11,308.85,1031.56,29.34,1369.75,71.227
2019-5-22 00:01:40,May,2019,"May, 2019",9180.11,323.61,1369.72,11.3,1704.63,88.64076
2019-6-1 05:34:14,Jun,2019,"Jun, 2019",9180.11,264.17,1487.12,25.46,1776.75,92.391
2019-7-29 14:23:33,Jul,2019,"Jul, 2019",9180.11,285.85,2142.29,22.48,2450.62,127.43224
2019-8-24 12:58:08,Aug,2019,"Aug, 2019",9180.11,185.06,1276.47,24.91,1486.44,77.29488
2019-9-6 21:20:32,Sep,2019,"Sep, 2019",9180.11,188.36,606.45,28.32,823.13,42.80276
2019-10-1 12:14:36,Oct,2019,"Oct, 2019",9180.11,268.09,596.03,30.11,894.23,46.49996
2019-11-30 08:15:27,Nov,2019,"Nov, 2019",9180.11,238.02,849.84,26.52,1114.38,57.94776
2019-12-24 15:38:52,Dec,2019,"Dec, 2019",9180.11,273.99,1438.42,33.68,1746.09,90.79668
2020-1-26 05:47:42,Jan,2020,"Jan, 2020",9529.24,307.31,1143.22,34.28,1484.81,77.21012
2020-2-29 10:34:46,Feb,2020,"Feb, 2020",9529.24,325.90,999.98,32.63,1358.51,70.64252
2020-3-25 10:05:05,Mar,2020,"Mar, 2020",9529.24,356.97,1113.10,37.51,1507.58,78.39416
2020-4-22 09:55:26,Apr,2020,"Apr, 2020",9529.24,362.55,1130.68,31.9,1525.13,79.30676
2020-5-6 20:31:36,May,2020,"May, 2020",9529.24,368.29,1866.18,17.63,2252.10,117.1092
2020-6-11 04:48:14,Jun,2020,"Jun, 2020",9529.24,295.86,1075.92,25.36,1397.14,72.65128
2020-7-12 17:32:56,Jul,2020,"Jul, 2020",9529.24,272.69,1274.96,29.3,1576.95,82.0014
2020-8-14 20:59:13,Aug,2020,"Aug, 2020",9529.24,190.47,1701.78,19.19,1911.44,99.39488
2020-9-25 07:53:28,Sep,2020,"Sep, 2020",9529.24,279.92,573.95,20.54,874.41,45.46932
2020-10-11 01:33:56,Oct,2020,"Oct, 2020",9529.24,332.22,624.09,24.59,980.90,51.0068
2020-11-22 08:26:56,Nov,2020,"Nov, 2020",9529.24,333.39,1115.50,24.42,1473.31,76.61212
2020-12-8 19:13:53,Dec,2020,"Dec, 2020",9529.24,360.08,1148.90,26.23,1535.21,79.83092
2021-1-8 20:44:49,Jan,2021,"Jan, 2021",9436.40,409.29,1262.94,22.39,1694.62,88.12024
2021-2-26 19:51:29,Feb,2021,"Feb, 2021",9436.40,415.30,765.21,21.96,1202.47,62.52844
2021-3-5 08:25:15,Mar,2021,"Mar, 2021",9436.40,492.21,1039.55,21.55,1553.31,80.77212
2021-4-16 09:05:40,Apr,2021,"Apr, 2021",9436.40,480.20,1123.22,16.07,1619.49,84.21348
2021-5-1 12:38:50,May,2021,"May, 2021",9436.40,355.62,2011.25,9.41,2376.28,123.56656
2021-6-10 16:00:29,Jun,2021,"Jun, 2021",9436.40,448.60,2218.49,5.91,2673.00,138.996
2021-7-27 18:09:10,Jul,2021,"Jul, 2021",9436.40,379.49,2861.55,15.02,3256.06,169.31512
2021-8-7 15:07:53,Aug,2021,"Aug, 2021",9436.40,402.99,2019.71,15.16,2437.86,126.76872
2021-9-28 02:48:45,Sep,2021,"Sep, 2021",9436.40,345.25,1141.87,11.37,1498.49,77.92148
2021-10-19 09:04:09,Oct,2021,"Oct, 2021",9436.40,538.46,743.59,18.68,1300.73,67.63796
2021-11-24 04:35:27,Nov,2021,"Nov, 2021",9436.40,541.98,1099.69,22.12,1663.79,86.51708
2021-12-16 18:23:30,Dec,2021,"Dec, 2021",9436.40,537.21,1514.08,24.55,2075.84,107.94368
2022-1-7 08:08:06,Jan,2022,"Jan, 2022",9485.54,608.52,1305.01,25.21,1938.74,100.81448
2022-2-14 22:15:44,Feb,2022,"Feb, 2022",9485.54,629.19,1039.89,22.62,1691.70,87.9684
2022-3-22 02:48:09,Mar,2022,"Mar, 2022",9485.54,627.40,901.76,24.16,1553.32,80.77264
2022-4-26 11:58:45,Apr,2022,"Apr, 2022",9485.54,783.85,1702.29,19.43,2505.57,130.28964
2022-5-19 05:35:53,May,2022,"May, 2022",9485.54,828.48,2941.39,13.16,3783.03,196.71756
2022-6-22 04:12:22,Jun,2022,"Jun, 2022",9485.54,762.02,2265.20,8.16,3035.38,157.83976
2022-7-3 12:02:37,Jul,2022,"Jul, 2022",9485.54,633.18,2216.97,8.16,2858.31,148.63212
2022-8-16 15:48:56,Aug,2022,"Aug, 2022",9485.54,578.32,1698.92,21.79,2299.03,119.54956
2022-9-18 22:48:27,Sep,2022,"Sep, 2022",9485.54,732.69,1199.50,24.03,1956.22,101.72344
2022-10-10 14:41:34,Oct,2022,"Oct, 2022",9485.54,859.95,989.93,21.59,1871.47,97.31644
2022-11-2 06:16:13,Nov,2022,"Nov, 2022",9485.54,817.53,716.29,16.23,1550.05,80.6026
2022-12-2 21:13:24,Dec,2022,"Dec, 2022",9485.54,825.78,1601.23,17.33,2444.34,127.10568
