Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-15 02:08:30,Apr,2018,"Apr, 2018",3458.90,7.11,0.00,38.71,45.82,2.38264
2018-5-17 04:04:03,May,2018,"May, 2018",3458.90,7.14,0.00,26.96,34.10,1.7732
2018-6-10 14:50:10,Jun,2018,"Jun, 2018",3458.90,5.99,0.00,45.45,51.44,2.67488
2018-7-8 00:23:11,Jul,2018,"Jul, 2018",3458.90,5.54,0.00,86.39,91.93,4.78036
2018-8-16 23:24:45,Aug,2018,"Aug, 2018",3458.90,5.79,0.00,47.56,53.35,2.7742
2018-9-5 00:03:10,Sep,2018,"Sep, 2018",3458.90,5.91,0.00,48.71,54.62,2.84024
2018-10-4 12:44:12,Oct,2018,"Oct, 2018",3458.90,6.46,0.00,54.51,60.97,3.17044
2018-11-23 02:52:06,Nov,2018,"Nov, 2018",3458.90,5.29,0.00,24.71,30.00,1.56
2018-12-25 13:59:32,Dec,2018,"Dec, 2018",3458.90,5.59,0.00,56.74,62.33,3.24116
2019-1-25 05:49:59,Jan,2019,"Jan, 2019",3673.11,5.04,0.00,43.28,48.32,2.51264
2019-2-6 21:45:23,Feb,2019,"Feb, 2019",3673.11,5.09,0.00,54.12,59.21,3.07892
2019-3-22 19:15:13,Mar,2019,"Mar, 2019",3673.11,7.55,0.00,62.76,70.31,3.65612
2019-4-29 18:55:26,Apr,2019,"Apr, 2019",3673.11,7.18,0.00,54.92,62.10,3.2292
2019-5-20 10:11:01,May,2019,"May, 2019",3673.11,7.64,0.00,44.34,51.98,2.70296
2019-6-19 14:14:23,Jun,2019,"Jun, 2019",3673.11,6.40,0.00,46.24,52.64,2.73728
2019-7-19 19:05:39,Jul,2019,"Jul, 2019",3673.11,5.57,0.00,44.38,49.95,2.5974
2019-8-9 00:14:53,Aug,2019,"Aug, 2019",3673.11,6.26,0.00,44.47,50.73,2.63796
2019-9-15 03:04:50,Sep,2019,"Sep, 2019",3673.11,17.48,0.00,51.01,68.49,3.56148
2019-10-24 03:44:11,Oct,2019,"Oct, 2019",3673.11,18.04,0.00,52.47,70.51,3.66652
2019-11-6 00:14:43,Nov,2019,"Nov, 2019",3673.11,14.01,0.00,38.38,52.39,2.72428
2019-12-5 14:49:00,Dec,2019,"Dec, 2019",3673.11,14.77,0.00,61.55,76.32,3.96864
2020-1-3 17:32:38,Jan,2020,"Jan, 2020",3895.61,15.85,0.00,55.52,71.37,3.71124
