Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-28 16:34:28,Apr,2018,"Apr, 2018",711.77,0.00,0.00,76.02,76.02,3.95304
2018-5-11 21:44:56,May,2018,"May, 2018",711.77,0.00,0.00,126.64,126.64,6.58528
2018-6-9 07:11:14,Jun,2018,"Jun, 2018",711.77,0.00,0.00,255.56,255.56,13.28912
2018-7-4 13:25:07,Jul,2018,"Jul, 2018",711.77,0.00,0.00,398.09,398.09,20.70068
2018-8-22 07:23:45,Aug,2018,"Aug, 2018",711.77,0.00,0.00,602.59,602.59,31.33468
2018-9-14 07:23:14,Sep,2018,"Sep, 2018",711.77,0.00,0.00,169.26,169.26,8.80152
2018-10-14 03:53:59,Oct,2018,"Oct, 2018",711.77,0.00,0.00,206.97,206.97,10.76244
2018-11-27 08:38:22,Nov,2018,"Nov, 2018",711.77,0.00,0.00,154.13,154.13,8.01476
2018-12-12 11:28:59,Dec,2018,"Dec, 2018",711.77,0.00,0.00,84.99,84.99,4.41948
2019-1-10 15:40:22,Jan,2019,"Jan, 2019",763.69,0.00,0.00,63.51,63.51,3.30252
2019-2-6 05:20:12,Feb,2019,"Feb, 2019",763.69,0.00,0.00,62.21,62.21,3.23492
2019-3-9 14:10:39,Mar,2019,"Mar, 2019",763.69,0.00,0.00,87.95,87.95,4.5734
2019-4-12 19:18:21,Apr,2019,"Apr, 2019",763.69,0.00,0.00,164.62,164.62,8.56024
2019-5-1 07:22:23,May,2019,"May, 2019",763.69,0.00,0.00,229.2,229.20,11.9184
2019-6-10 06:25:55,Jun,2019,"Jun, 2019",763.69,0.00,0.00,233.32,233.32,12.13264
2019-7-8 20:15:03,Jul,2019,"Jul, 2019",763.69,0.00,0.00,230.62,230.62,11.99224
2019-8-28 18:47:35,Aug,2019,"Aug, 2019",763.69,0.00,0.00,267.01,267.01,13.88452
2019-9-1 15:04:39,Sep,2019,"Sep, 2019",763.69,0.00,0.00,276.81,276.81,14.39412
2019-10-19 10:02:54,Oct,2019,"Oct, 2019",763.69,0.00,0.00,208.08,208.08,10.82016
2019-11-28 02:32:29,Nov,2019,"Nov, 2019",763.69,2.81,0.00,128.28,131.09,6.81668
2019-12-29 13:24:07,Dec,2019,"Dec, 2019",763.69,0.00,2.03,84.5,86.53,4.49956
2020-1-26 01:46:02,Jan,2020,"Jan, 2020",770.89,1.92,0.00,77.85,79.77,4.14804
2020-2-7 14:36:57,Feb,2020,"Feb, 2020",770.89,1.98,0.00,81.53,83.51,4.34252
2020-3-21 14:31:38,Mar,2020,"Mar, 2020",770.89,2.92,0.00,173.77,176.69,9.18788
2020-4-28 16:48:42,Apr,2020,"Apr, 2020",770.89,3.33,0.00,237.02,240.35,12.4982
2020-5-7 23:01:48,May,2020,"May, 2020",770.89,3.12,0.00,272.51,275.63,14.33276
2020-6-15 12:25:30,Jun,2020,"Jun, 2020",770.89,3.12,0.00,273.53,276.65,14.3858
2020-7-1 06:51:16,Jul,2020,"Jul, 2020",770.89,3.32,0.00,272.2,275.52,14.32704
2020-8-24 07:56:57,Aug,2020,"Aug, 2020",770.89,2.72,0.00,282.11,284.83,14.81116
2020-9-19 10:44:12,Sep,2020,"Sep, 2020",770.89,2.30,0.00,287.71,290.01,15.08052
2020-10-8 22:04:23,Oct,2020,"Oct, 2020",770.89,3.14,0.00,183.51,186.65,9.7058
2020-11-3 05:03:39,Nov,2020,"Nov, 2020",770.89,3.66,0.00,90.87,94.53,4.91556
2020-12-16 02:57:05,Dec,2020,"Dec, 2020",770.89,3.06,0.00,54.34,57.40,2.9848
2021-1-2 02:52:58,Jan,2021,"Jan, 2021",730.99,2.78,0.00,56.21,58.99,3.06748
2021-2-5 00:08:15,Feb,2021,"Feb, 2021",730.99,2.78,0.00,57.55,60.33,3.13716
2021-3-24 14:23:47,Mar,2021,"Mar, 2021",730.99,3.20,0.00,56.23,59.43,3.09036
2021-4-1 15:50:35,Apr,2021,"Apr, 2021",730.99,3.93,0.00,86.76,90.69,4.71588
2021-5-23 17:56:50,May,2021,"May, 2021",730.99,3.91,0.00,159.01,162.92,8.47184
2021-6-29 13:21:40,Jun,2021,"Jun, 2021",730.99,4.03,0.00,53.88,57.91,3.01132
2021-7-22 11:42:00,Jul,2021,"Jul, 2021",730.99,3.88,0.00,282.37,286.25,14.885
