Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-26 11:36:15,Apr,2018,"Apr, 2018",93618.90476,3178.89,3322.75,1942.15,8443.79,439.07708
2018-5-30 08:02:54,May,2018,"May, 2018",93618.90476,3312.32,4451.49,1492.66,9256.47,481.33644
2018-6-17 01:34:07,Jun,2018,"Jun, 2018",93618.90476,3012.37,8336.94,1477.33,12826.64,666.98528
2018-7-24 02:43:00,Jul,2018,"Jul, 2018",93618.90476,2553.02,11365.26,1768.9,15687.18,815.73336
2018-8-21 15:52:25,Aug,2018,"Aug, 2018",93618.90476,2635.80,11771.65,1967.37,16374.82,851.49064
2018-9-16 18:05:07,Sep,2018,"Sep, 2018",93618.90476,3209.97,6093.34,1434.7,10738.01,558.37652
2018-10-25 04:01:49,Oct,2018,"Oct, 2018",93618.90476,3452.63,2822.77,1539.83,7815.23,406.39196
2018-11-2 13:37:37,Nov,2018,"Nov, 2018",93618.90476,3247.49,2181.03,2474,7902.52,410.93104
2018-12-2 17:53:20,Dec,2018,"Dec, 2018",93618.90476,3182.10,2789.25,3111.94,9083.29,472.33108
2019-1-30 03:27:24,Jan,2019,"Jan, 2019",100830.9694,3534.82,2851.89,3046.5,9433.21,490.52692
2019-2-17 00:06:32,Feb,2019,"Feb, 2019",100830.9694,3630.47,3094.47,2618.01,9342.95,485.8334
2019-3-14 22:11:57,Mar,2019,"Mar, 2019",100830.9694,4308.00,2965.95,2573.92,9847.87,512.08924
2019-4-19 12:27:16,Apr,2019,"Apr, 2019",100830.9694,4181.23,3707.29,1993.22,9881.74,513.85048
2019-5-20 23:45:35,May,2019,"May, 2019",100830.9694,4342.59,6603.94,1483.54,12430.07,646.36364
2019-6-28 01:08:35,Jun,2019,"Jun, 2019",100830.9694,3931.59,8781.15,1219.82,13932.56,724.49312
2019-7-8 12:59:14,Jul,2019,"Jul, 2019",100830.9694,3438.82,11343.60,1394.38,16176.80,841.1936
2019-8-28 14:05:41,Aug,2019,"Aug, 2019",100830.9694,3545.27,9746.21,1630.99,14922.47,775.96844
2019-9-22 11:02:02,Sep,2019,"Sep, 2019",100830.9694,3547.61,5495.48,1753.57,10796.66,561.42632
2019-10-8 07:30:34,Oct,2019,"Oct, 2019",100830.9694,3864.72,2129.07,1640.94,7634.73,397.00596
2019-11-23 22:31:44,Nov,2019,"Nov, 2019",100830.9694,3898.58,2761.64,1933.48,8593.70,446.8724
2019-12-30 23:33:47,Dec,2019,"Dec, 2019",100830.9694,3872.13,4005.05,2827.58,10704.76,556.64752
2020-1-25 10:20:25,Jan,2020,"Jan, 2020",104007.1517,4563.36,3369.34,2766.27,10698.97,556.34644
2020-2-28 18:49:00,Feb,2020,"Feb, 2020",104007.1517,5050.13,3559.39,2637.2,11246.72,584.82944
2020-3-24 13:29:27,Mar,2020,"Mar, 2020",104007.1517,5586.58,3452.33,2278.74,11317.65,588.5178
2020-4-13 23:05:24,Apr,2020,"Apr, 2020",104007.1517,5310.23,3517.08,1885.01,10712.32,557.04064
2020-5-18 23:57:39,May,2020,"May, 2020",104007.1517,5547.09,6309.09,1728.44,13584.62,706.40024
2020-6-30 05:49:13,Jun,2020,"Jun, 2020",104007.1517,4657.93,7941.10,1426.38,14025.41,729.32132
2020-7-27 05:25:23,Jul,2020,"Jul, 2020",104007.1517,4583.63,7022.81,1667,13273.44,690.21888
2020-8-30 08:56:06,Aug,2020,"Aug, 2020",104007.1517,4204.68,9705.58,1854,15764.26,819.74152
2020-9-19 17:02:46,Sep,2020,"Sep, 2020",104007.1517,4527.10,4875.71,1970.46,11373.27,591.41004
2020-10-9 20:16:30,Oct,2020,"Oct, 2020",104007.1517,4852.37,4013.54,1920.9,10786.81,560.91412
2020-11-29 06:25:47,Nov,2020,"Nov, 2020",104007.1517,4552.03,3346.14,2759.71,10657.88,554.20976
2020-12-27 19:20:00,Dec,2020,"Dec, 2020",104007.1517,4700.30,3863.95,3176.08,11740.33,610.49716
2021-1-27 05:05:06,Jan,2021,"Jan, 2021",102517.3321,4818.39,3609.32,3082.72,11510.43,598.54236
2021-2-20 03:44:09,Feb,2021,"Feb, 2021",102517.3321,5412.81,2895.81,2741.57,11050.19,574.60988
2021-3-27 00:34:09,Mar,2021,"Mar, 2021",102517.3321,6714.74,3571.35,2483.06,12769.15,663.9958
2021-4-3 07:12:39,Apr,2021,"Apr, 2021",102517.3321,6078.16,3778.40,1792.37,11648.93,605.74436
2021-5-10 23:23:37,May,2021,"May, 2021",102517.3321,5918.16,7160.02,1437.43,14515.61,754.81172
2021-6-26 09:33:11,Jun,2021,"Jun, 2021",102517.3321,5925.44,9806.22,1358.63,17090.29,888.69508
2021-7-18 07:52:51,Jul,2021,"Jul, 2021",102517.3321,5078.08,11513.23,2377.46,18968.77,986.37604
2021-8-26 15:18:46,Aug,2021,"Aug, 2021",102517.3321,5376.73,9421.70,2107.81,16906.24,879.12448
2021-9-29 08:30:23,Sep,2021,"Sep, 2021",102517.3321,5373.26,7017.09,2098.51,14488.86,753.42072
2021-10-22 19:13:46,Oct,2021,"Oct, 2021",102517.3321,6194.49,3009.32,2045.51,11249.32,584.96464
2021-11-10 23:11:50,Nov,2021,"Nov, 2021",102517.3321,4981.62,3310.72,2866.02,11158.36,580.23472
2021-12-17 02:07:49,Dec,2021,"Dec, 2021",102517.3321,5729.52,3705.53,3319.35,12754.40,663.2288
2022-1-22 04:57:25,Jan,2022,"Jan, 2022",100243.5895,6550.52,3433.98,3140.29,13124.79,682.48908
2022-2-6 12:26:56,Feb,2022,"Feb, 2022",100243.5895,7214.73,3329.12,2946.76,13490.61,701.51172
2022-3-12 04:06:16,Mar,2022,"Mar, 2022",100243.5895,5600.68,3362.91,3298.4,12261.99,637.62348
2022-4-20 05:28:32,Apr,2022,"Apr, 2022",100243.5895,8266.12,4184.03,2656.68,15106.83,785.55516
2022-5-23 16:01:12,May,2022,"May, 2022",100243.5895,8730.85,10271.71,1881.18,20883.74,1085.95448
2022-6-20 09:14:17,Jun,2022,"Jun, 2022",100243.5895,8183.17,9785.27,1528.52,19496.96,1013.84192
2022-7-2 21:57:22,Jul,2022,"Jul, 2022",100243.5895,6965.89,10266.43,1908.22,19140.54,995.30808
2022-8-22 03:44:59,Aug,2022,"Aug, 2022",100243.5895,7358.46,8764.77,2131.46,18254.69,949.24388
2022-9-23 23:46:50,Sep,2022,"Sep, 2022",100243.5895,8100.56,6761.66,2081.07,16943.29,881.05108
2022-10-25 13:09:36,Oct,2022,"Oct, 2022",100243.5895,8696.24,3452.38,2089.95,14238.57,740.40564
2022-11-5 07:12:53,Nov,2022,"Nov, 2022",100243.5895,7972.74,2471.90,2948.79,13393.43,696.45836
2022-12-16 02:17:21,Dec,2022,"Dec, 2022",100243.5895,8157.51,3983.52,3391.77,15532.80,807.7056
