Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-30 22:10:57,Apr,2018,"Apr, 2018",699.91,0.00,0.00,28.46,28.46,1.47992
2018-5-11 01:53:36,May,2018,"May, 2018",699.91,0.00,0.00,37.63,37.63,1.95676
2018-6-26 08:01:56,Jun,2018,"Jun, 2018",699.91,0.00,0.00,33.94,33.94,1.76488
2018-7-28 19:19:45,Jul,2018,"Jul, 2018",699.91,0.00,0.00,36.59,36.59,1.90268
2018-8-23 09:55:22,Aug,2018,"Aug, 2018",699.91,0.00,0.00,31.58,31.58,1.64216
2018-9-12 10:48:59,Sep,2018,"Sep, 2018",699.91,0.00,0.00,25.85,25.85,1.3442
2018-10-5 22:24:07,Oct,2018,"Oct, 2018",699.91,0.00,0.00,25.13,25.13,1.30676
2018-11-2 07:45:49,Nov,2018,"Nov, 2018",699.91,0.00,0.00,22.84,22.84,1.18768
2018-12-9 13:29:40,Dec,2018,"Dec, 2018",699.91,0.00,0.00,18.86,18.86,0.98072
2019-1-2 11:11:09,Jan,2019,"Jan, 2019",803.04,0.00,0.00,15.95,15.95,0.8294
2019-2-12 07:56:32,Feb,2019,"Feb, 2019",803.04,0.00,0.00,14.29,14.29,0.74308
2019-3-25 01:02:53,Mar,2019,"Mar, 2019",803.04,0.00,0.00,21.07,21.07,1.09564
2019-4-20 08:47:00,Apr,2019,"Apr, 2019",803.04,0.00,0.00,40.17,40.17,2.08884
2019-5-5 00:40:26,May,2019,"May, 2019",803.04,0.00,0.00,44.6,44.60,2.3192
2019-6-7 03:18:31,Jun,2019,"Jun, 2019",803.04,0.00,0.00,117.31,117.31,6.10012
2019-7-17 02:44:48,Jul,2019,"Jul, 2019",803.04,0.00,0.00,40.82,40.82,2.12264
2019-8-15 06:15:30,Aug,2019,"Aug, 2019",803.04,0.00,0.00,39.26,39.26,2.04152
2019-9-15 20:25:14,Sep,2019,"Sep, 2019",803.04,0.00,0.00,29.54,29.54,1.53608
2019-10-30 21:15:39,Oct,2019,"Oct, 2019",803.04,0.00,0.00,26.31,26.31,1.36812
2019-11-27 06:08:25,Nov,2019,"Nov, 2019",803.04,0.00,0.00,20.39,20.39,1.06028
2019-12-21 23:08:29,Dec,2019,"Dec, 2019",803.04,0.00,0.00,18.23,18.23,0.94796
2020-1-18 21:44:04,Jan,2020,"Jan, 2020",885.71,0.00,0.00,13.17,13.17,0.68484
2020-2-3 19:56:10,Feb,2020,"Feb, 2020",885.71,0.00,0.00,16.98,16.98,0.88296
2020-3-12 13:52:51,Mar,2020,"Mar, 2020",885.71,0.00,0.00,36.36,36.36,1.89072
2020-4-11 09:18:12,Apr,2020,"Apr, 2020",885.71,0.00,0.00,51.31,51.31,2.66812
2020-5-24 19:51:03,May,2020,"May, 2020",885.71,0.00,0.00,59.1,59.10,3.0732
2020-6-6 00:01:10,Jun,2020,"Jun, 2020",885.71,0.00,0.00,56.9,56.90,2.9588
2020-7-17 22:35:06,Jul,2020,"Jul, 2020",885.71,0.95,0.00,54.6,55.55,2.8886
2020-8-2 21:12:57,Aug,2020,"Aug, 2020",885.71,0.97,0.00,46,46.97,2.44244
2020-9-6 19:56:56,Sep,2020,"Sep, 2020",885.71,1.02,0.00,41.4,42.42,2.20584
2020-10-9 14:32:00,Oct,2020,"Oct, 2020",885.71,0.00,0.00,24.5,24.50,1.274
2020-11-21 10:52:08,Nov,2020,"Nov, 2020",885.71,1.20,0.00,17.2,18.40,0.9568
2020-12-12 00:44:18,Dec,2020,"Dec, 2020",885.71,1.23,0.00,16.9,18.13,0.94276
2021-1-7 19:35:09,Jan,2021,"Jan, 2021",832.13,1.23,0.00,20.4,21.63,1.12476
2021-2-11 04:18:20,Feb,2021,"Feb, 2021",832.13,1.23,0.00,20.4,21.63,1.12476
2021-3-12 12:03:41,Mar,2021,"Mar, 2021",832.13,1.59,0.00,21.17,22.76,1.18352
