Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-22 10:58:36,Apr,2018,"Apr, 2018",2065.73,1.94,0.00,0,1.94,0.10088
2018-5-1 21:55:41,May,2018,"May, 2018",2065.73,1.56,0.00,0,1.56,0.08112
2018-6-13 19:20:38,Jun,2018,"Jun, 2018",2065.73,1.47,0.00,0,1.47,0.07644
2018-7-2 02:16:55,Jul,2018,"Jul, 2018",2065.73,1.24,0.00,0,1.24,0.06448
2018-8-10 05:12:20,Aug,2018,"Aug, 2018",2065.73,1.38,0.00,0,1.38,0.07176
2018-9-10 11:52:30,Sep,2018,"Sep, 2018",2065.73,1.59,0.00,0,1.59,0.08268
2018-10-19 09:35:08,Oct,2018,"Oct, 2018",2065.73,1.79,0.00,0,1.79,0.09308
2018-11-28 12:40:03,Nov,2018,"Nov, 2018",2065.73,1.56,0.00,0,1.56,0.08112
2018-12-24 20:48:31,Dec,2018,"Dec, 2018",2065.73,1.40,0.00,0,1.40,0.0728
2019-1-13 00:15:51,Jan,2019,"Jan, 2019",2234.57,1.56,0.00,0,1.56,0.08112
2019-2-28 20:10:20,Feb,2019,"Feb, 2019",2234.57,1.58,0.00,0,1.58,0.08216
2019-3-24 17:26:18,Mar,2019,"Mar, 2019",2234.57,2.07,0.00,0,2.07,0.10764
2019-4-20 13:03:00,Apr,2019,"Apr, 2019",2234.57,1.85,0.00,0,1.85,0.0962
2019-5-3 05:23:46,May,2019,"May, 2019",2234.57,1.58,0.00,0,1.58,0.08216
2019-6-22 23:36:47,Jun,2019,"Jun, 2019",2234.57,1.51,0.00,0,1.51,0.07852
2019-7-27 21:47:59,Jul,2019,"Jul, 2019",2234.57,1.31,0.00,0,1.31,0.06812
2019-8-22 09:35:47,Aug,2019,"Aug, 2019",2234.57,1.30,0.00,0,1.30,0.0676
2019-9-9 21:46:16,Sep,2019,"Sep, 2019",2234.57,1.04,0.00,0,1.04,0.05408
2019-10-25 09:24:10,Oct,2019,"Oct, 2019",2234.57,1.20,0.00,0,1.20,0.0624
2019-11-29 16:09:53,Nov,2019,"Nov, 2019",2234.57,1.22,0.00,0,1.22,0.06344
2019-12-26 07:35:52,Dec,2019,"Dec, 2019",2234.57,1.22,0.00,0,1.22,0.06344
2020-1-3 18:20:14,Jan,2020,"Jan, 2020",2399.16,1.31,0.00,0,1.31,0.06812
2020-2-9 13:40:37,Feb,2020,"Feb, 2020",2399.16,1.16,0.00,0,1.16,0.06032
2020-3-26 08:26:01,Mar,2020,"Mar, 2020",2399.16,2.78,0.00,0,2.78,0.14456
2020-4-3 07:57:45,Apr,2020,"Apr, 2020",2399.16,1.44,0.00,0,1.44,0.07488
2020-5-20 08:09:47,May,2020,"May, 2020",2399.16,1.41,0.00,0,1.41,0.07332
2020-6-28 03:48:13,Jun,2020,"Jun, 2020",2399.16,1.23,0.00,0,1.23,0.06396
2020-7-28 14:32:06,Jul,2020,"Jul, 2020",2399.16,0.96,0.00,0,0.96,0.04992
2020-8-23 16:50:16,Aug,2020,"Aug, 2020",2399.16,1.28,0.00,0,1.28,0.06656
2020-9-23 00:20:53,Sep,2020,"Sep, 2020",2399.16,1.28,0.00,0,1.28,0.06656
2020-10-18 20:25:23,Oct,2020,"Oct, 2020",2399.16,1.75,0.00,1.04,2.79,0.14508
2020-11-14 16:27:26,Nov,2020,"Nov, 2020",2399.16,1.65,0.00,1.95,3.60,0.1872
2020-12-2 05:01:09,Dec,2020,"Dec, 2020",2399.16,1.36,0.00,2.59,3.95,0.2054
2021-1-15 13:14:48,Jan,2021,"Jan, 2021",2306.10,1.55,0.00,0.6,2.15,0.1118
2021-2-24 04:47:41,Feb,2021,"Feb, 2021",2306.10,1.62,0.00,0.27,1.89,0.09828
2021-3-5 17:24:34,Mar,2021,"Mar, 2021",2306.10,1.62,0.00,0.27,1.89,0.09828
2021-4-15 11:39:21,Apr,2021,"Apr, 2021",2306.10,1.62,0.00,0.27,1.89,0.09828
2021-5-8 20:41:45,May,2021,"May, 2021",2306.10,1.59,0.00,0,1.59,0.08268
2021-6-15 04:09:49,Jun,2021,"Jun, 2021",2306.10,1.59,0.00,0,1.59,0.08268
2021-7-5 07:26:56,Jul,2021,"Jul, 2021",2306.10,1.38,0.00,0,1.38,0.07176
2021-8-20 17:50:46,Aug,2021,"Aug, 2021",2306.10,1.39,0.00,0,1.39,0.07228
2021-9-24 18:55:21,Sep,2021,"Sep, 2021",2306.10,1.34,0.00,0,1.34,0.06968
2021-10-16 01:38:42,Oct,2021,"Oct, 2021",2306.10,1.30,0.00,0,1.30,0.0676
2021-11-10 14:53:47,Nov,2021,"Nov, 2021",2306.10,1.48,0.00,2.56,4.04,0.21008
2021-12-25 01:24:05,Dec,2021,"Dec, 2021",2306.10,1.40,0.00,2.56,3.96,0.20592
2022-1-20 00:16:56,Jan,2022,"Jan, 2022",2251.39,1.40,0.00,2.56,3.96,0.20592
2022-2-17 11:17:33,Feb,2022,"Feb, 2022",2251.39,1.67,0.00,2.56,4.23,0.21996
2022-3-21 16:36:44,Mar,2022,"Mar, 2022",2251.39,2.04,0.00,0,2.04,0.10608
2022-4-9 23:18:08,Apr,2022,"Apr, 2022",2251.39,1.86,0.00,0,1.86,0.09672
2022-5-23 10:50:24,May,2022,"May, 2022",2251.39,1.86,0.00,0,1.86,0.09672
2022-6-8 02:50:27,Jun,2022,"Jun, 2022",2251.39,1.86,0.00,0,1.86,0.09672
2022-7-28 17:26:41,Jul,2022,"Jul, 2022",2251.39,1.86,0.00,0,1.86,0.09672
2022-8-11 02:05:44,Aug,2022,"Aug, 2022",2251.39,1.86,0.00,0,1.86,0.09672
2022-9-27 23:34:55,Sep,2022,"Sep, 2022",2251.39,1.25,0.00,0,1.25,0.065
2022-10-24 11:54:20,Oct,2022,"Oct, 2022",2251.39,1.68,0.00,0,1.68,0.08736
2022-11-23 02:09:30,Nov,2022,"Nov, 2022",2251.39,1.57,0.00,0,1.57,0.08164
2022-12-1 13:04:47,Dec,2022,"Dec, 2022",2251.39,1.47,0.00,0,1.47,0.07644
