Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-16 09:49:14,Apr,2018,"Apr, 2018",5956.25,507.37,385.25,80.21,972.83,50.58716
2018-5-15 16:38:56,May,2018,"May, 2018",5956.25,548.50,613.35,67.59,1229.44,63.93088
2018-6-5 02:59:24,Jun,2018,"Jun, 2018",5956.25,534.43,1260.10,179.64,1974.17,102.65684
2018-7-27 07:53:25,Jul,2018,"Jul, 2018",5956.25,457.42,1895.31,331.22,2683.95,139.5654
2018-8-8 20:09:55,Aug,2018,"Aug, 2018",5956.25,501.15,1878.93,481.16,2861.24,148.78448
2018-9-2 04:05:57,Sep,2018,"Sep, 2018",5956.25,649.92,694.45,363,1707.37,88.78324
2018-10-17 08:39:21,Oct,2018,"Oct, 2018",5956.25,709.95,570.75,319.13,1599.83,83.19116
2018-11-24 18:05:03,Nov,2018,"Nov, 2018",5956.25,673.36,531.82,500.93,1706.11,88.71772
2018-12-3 15:03:03,Dec,2018,"Dec, 2018",5956.25,648.58,476.75,619.65,1744.98,90.73896
2019-1-23 02:44:33,Jan,2019,"Jan, 2019",6275.04,759.16,529.87,598.14,1887.17,98.13284
2019-2-29 22:47:59,Feb,2019,"Feb, 2019",6275.04,745.46,543.97,487.83,1777.26,92.41752
2019-3-24 22:21:40,Mar,2019,"Mar, 2019",6275.04,840.54,397.71,274.97,1513.22,78.68744
2019-4-20 00:22:01,Apr,2019,"Apr, 2019",6275.04,791.54,514.64,142.5,1448.68,75.33136
2019-5-21 14:30:19,May,2019,"May, 2019",6275.04,822.23,887.03,84.74,1794.00,93.288
2019-6-9 01:15:00,Jun,2019,"Jun, 2019",6275.04,667.29,1273.47,53.62,1994.38,103.70776
2019-7-8 00:27:14,Jul,2019,"Jul, 2019",6275.04,592.18,1769.73,218.78,2580.69,134.19588
2019-8-18 21:27:48,Aug,2019,"Aug, 2019",6275.04,810.13,1654.49,368.15,2832.77,147.30404
2019-9-14 11:30:18,Sep,2019,"Sep, 2019",6275.04,820.98,1075.14,451.93,2348.05,122.0986
2019-10-26 20:53:29,Oct,2019,"Oct, 2019",6275.04,896.69,396.13,438.71,1731.53,90.03956
2019-11-9 02:48:53,Nov,2019,"Nov, 2019",6275.04,995.84,474.58,530.99,2001.41,104.07332
2019-12-12 06:18:08,Dec,2019,"Dec, 2019",6275.04,995.77,682.61,670.46,2348.84,122.13968
2020-1-6 10:06:15,Jan,2020,"Jan, 2020",6094.94,1221.55,478.48,602.62,2302.65,119.7378
2020-2-1 04:52:21,Feb,2020,"Feb, 2020",6094.94,1259.99,524.71,455.05,2239.75,116.467
2020-3-4 07:54:03,Mar,2020,"Mar, 2020",6094.94,1347.02,417.65,261.03,2025.70,105.3364
2020-4-19 19:12:56,Apr,2020,"Apr, 2020",6094.94,1226.38,445.10,84.51,1755.99,91.31148
2020-5-15 06:11:42,May,2020,"May, 2020",6094.94,1237.04,752.54,140.01,2129.59,110.73868
2020-6-8 23:57:59,Jun,2020,"Jun, 2020",6094.94,1014.00,1342.06,134.6,2490.66,129.51432
2020-7-12 07:28:11,Jul,2020,"Jul, 2020",6094.94,980.62,1053.56,300.39,2334.57,121.39764
2020-8-6 21:48:14,Aug,2020,"Aug, 2020",6094.94,1008.36,1691.44,473.58,3173.38,165.01576
2020-9-29 20:00:27,Sep,2020,"Sep, 2020",6094.94,1002.65,687.06,528.44,2218.15,115.3438
2020-10-16 20:35:50,Oct,2020,"Oct, 2020",6094.94,1152.07,505.11,551.38,2208.56,114.84512
2020-11-19 03:54:58,Nov,2020,"Nov, 2020",6094.94,1089.43,670.76,715.23,2475.42,128.72184
2020-12-8 16:01:02,Dec,2020,"Dec, 2020",6094.94,1060.67,801.90,667.47,2530.04,131.56208
2021-1-20 09:35:50,Jan,2021,"Jan, 2021",6186.23,1018.71,600.99,608.66,2228.36,115.87472
2021-2-20 20:20:36,Feb,2021,"Feb, 2021",6186.23,1141.88,528.36,477.89,2148.13,111.70276
2021-3-10 12:30:41,Mar,2021,"Mar, 2021",6186.23,1307.15,532.01,318.41,2157.57,112.19364
2021-4-22 01:13:06,Apr,2021,"Apr, 2021",6186.23,1279.47,477.92,101.95,1859.34,96.68568
2021-5-8 16:41:30,May,2021,"May, 2021",6186.23,1145.81,924.06,85.22,2155.09,112.06468
2021-6-6 07:38:48,Jun,2021,"Jun, 2021",6186.23,1170.75,1263.62,192.58,2626.95,136.6014
2021-7-29 09:07:11,Jul,2021,"Jul, 2021",6186.23,933.85,1688.59,907.28,3529.72,183.54544
2021-8-20 17:35:06,Aug,2021,"Aug, 2021",6186.23,940.64,1136.35,480.49,2557.48,132.98896
2021-9-11 07:51:18,Sep,2021,"Sep, 2021",6186.23,1051.03,1270.42,462.16,2783.61,144.74772
2021-10-19 09:45:26,Oct,2021,"Oct, 2021",6186.23,1022.37,366.59,573.32,1962.28,102.03856
2021-11-23 19:56:55,Nov,2021,"Nov, 2021",6186.23,785.91,506.41,709.61,2001.93,104.10036
2021-12-26 23:04:07,Dec,2021,"Dec, 2021",6186.23,1102.02,468.37,724.66,2295.05,119.3426
2022-1-9 02:16:35,Jan,2022,"Jan, 2022",6128.11,1181.30,459.06,623.12,2263.48,117.70096
2022-2-9 22:30:26,Feb,2022,"Feb, 2022",6128.11,1250.99,416.04,549.57,2216.60,115.2632
2022-3-18 08:06:27,Mar,2022,"Mar, 2022",6128.11,879.69,514.19,563.4,1957.28,101.77856
2022-4-5 02:16:49,Apr,2022,"Apr, 2022",6128.11,1229.97,403.01,382.46,2015.44,104.80288
2022-5-24 23:40:17,May,2022,"May, 2022",6128.11,1321.79,1111.42,234.6,2667.81,138.72612
2022-6-24 21:16:46,Jun,2022,"Jun, 2022",6128.11,869.93,1190.49,215.54,2275.96,118.34992
2022-7-29 15:08:31,Jul,2022,"Jul, 2022",6128.11,925.97,1533.69,375.76,2835.42,147.44184
2022-8-19 07:22:50,Aug,2022,"Aug, 2022",6128.11,1347.20,1317.08,461.6,3125.88,162.54576
2022-9-19 19:05:23,Sep,2022,"Sep, 2022",6128.11,1049.36,893.04,417.14,2359.54,122.69608
2022-10-7 18:58:45,Oct,2022,"Oct, 2022",6128.11,1120.73,427.88,502.6,2051.21,106.66292
2022-11-3 06:05:31,Nov,2022,"Nov, 2022",6128.11,1042.55,524.55,609.25,2176.35,113.1702
2022-12-6 11:51:51,Dec,2022,"Dec, 2022",6128.11,1169.35,611.28,642.17,2422.80,125.9856
