Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-3 06:28:20,Apr,2018,"Apr, 2018",1846.95,0.77,4.27,27.57,32.61,1.69572
2018-5-30 04:07:07,May,2018,"May, 2018",1846.95,9.17,6.51,30.9,46.58,2.42216
2018-6-15 23:01:11,Jun,2018,"Jun, 2018",1846.95,6.27,16.51,62.03,84.81,4.41012
2018-7-8 20:50:40,Jul,2018,"Jul, 2018",1846.95,7.86,21.54,76.98,106.38,5.53176
2018-8-24 13:09:03,Aug,2018,"Aug, 2018",1846.95,9.91,19.66,66.22,95.79,4.98108
2018-9-10 21:30:45,Sep,2018,"Sep, 2018",1846.95,10.40,10.83,50.26,71.49,3.71748
2018-10-28 23:35:02,Oct,2018,"Oct, 2018",1846.95,10.01,3.44,59.83,73.28,3.81056
2018-11-3 11:34:38,Nov,2018,"Nov, 2018",1846.95,9.94,4.27,46.52,60.73,3.15796
2018-12-8 11:56:02,Dec,2018,"Dec, 2018",1846.95,10.04,3.97,33.17,47.18,2.45336
2019-1-12 13:57:52,Jan,2019,"Jan, 2019",1856.91,11.98,6.70,27.03,45.71,2.37692
2019-2-5 12:29:54,Feb,2019,"Feb, 2019",1856.91,11.40,5.70,29.48,46.58,2.42216
2019-3-17 03:42:01,Mar,2019,"Mar, 2019",1856.91,13.08,4.54,41.56,59.18,3.07736
2019-4-15 04:11:40,Apr,2019,"Apr, 2019",1856.91,11.75,4.84,32.16,48.75,2.535
2019-5-1 19:07:22,May,2019,"May, 2019",1856.91,11.00,13.80,20.37,45.17,2.34884
2019-6-21 09:26:46,Jun,2019,"Jun, 2019",1856.91,9.18,16.29,21.94,47.41,2.46532
2019-7-25 15:28:17,Jul,2019,"Jul, 2019",1856.91,8.71,16.85,45.41,70.97,3.69044
2019-8-11 03:50:41,Aug,2019,"Aug, 2019",1856.91,9.54,14.66,66.64,90.84,4.72368
2019-9-23 20:00:50,Sep,2019,"Sep, 2019",1856.91,12.60,11.44,80.66,104.70,5.4444
2019-10-2 05:00:33,Oct,2019,"Oct, 2019",1856.91,12.19,5.16,78.94,96.29,5.00708
2019-11-11 06:02:26,Nov,2019,"Nov, 2019",1856.91,12.81,6.64,60.46,79.91,4.15532
2019-12-4 22:31:27,Dec,2019,"Dec, 2019",1856.91,10.69,9.83,46.62,67.14,3.49128
2020-1-24 15:57:32,Jan,2020,"Jan, 2020",2046.00,13.99,7.95,27.9,49.84,2.59168
2020-2-26 17:38:54,Feb,2020,"Feb, 2020",2046.00,14.04,8.16,24.31,46.51,2.41852
