Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-18 05:44:50,Apr,2018,"Apr, 2018",4.04,0.17,0.00,0,0.17,0.00884
2018-5-20 14:55:05,May,2018,"May, 2018",4.04,0.11,0.00,0,0.11,0.00572
2018-6-28 04:49:15,Jun,2018,"Jun, 2018",4.04,0.08,0.00,0,0.08,0.00416
2018-7-28 18:38:52,Jul,2018,"Jul, 2018",4.04,0.09,0.00,0,0.09,0.00468
2018-8-24 03:10:20,Aug,2018,"Aug, 2018",4.04,0.10,0.00,0,0.10,0.0052
2018-9-23 12:30:05,Sep,2018,"Sep, 2018",4.04,0.11,0.00,0,0.11,0.00572
2018-10-5 00:00:41,Oct,2018,"Oct, 2018",4.04,0.09,0.00,0,0.09,0.00468
2018-11-7 03:53:36,Nov,2018,"Nov, 2018",4.04,0.08,0.00,0,0.08,0.00416
2018-12-2 13:07:31,Dec,2018,"Dec, 2018",4.04,0.11,0.00,0,0.11,0.00572
2019-1-4 18:53:53,Jan,2019,"Jan, 2019",4.08,0.08,0.00,0,0.08,0.00416
2019-2-14 08:52:02,Feb,2019,"Feb, 2019",4.08,0.00,0.00,0,0.00,0
2019-3-19 14:37:44,Mar,2019,"Mar, 2019",4.08,0.10,0.00,0,0.10,0.0052
2019-4-18 04:11:55,Apr,2019,"Apr, 2019",4.08,0.06,0.00,0,0.06,0.00312
2019-5-22 19:19:47,May,2019,"May, 2019",4.08,0.07,0.00,0,0.07,0.00364
2019-6-25 01:41:13,Jun,2019,"Jun, 2019",4.08,0.06,0.00,0,0.06,0.00312
2019-7-28 18:28:37,Jul,2019,"Jul, 2019",4.08,0.04,0.00,0,0.04,0.00208
2019-8-14 20:37:07,Aug,2019,"Aug, 2019",4.08,0.04,0.00,0,0.04,0.00208
2019-9-2 16:29:54,Sep,2019,"Sep, 2019",4.08,0.05,0.00,0,0.05,0.0026
2019-10-29 13:57:02,Oct,2019,"Oct, 2019",4.08,0.05,0.00,0,0.05,0.0026
2019-11-26 23:05:19,Nov,2019,"Nov, 2019",4.08,0.05,0.00,0,0.05,0.0026
2019-12-19 21:04:54,Dec,2019,"Dec, 2019",4.08,0.05,0.00,0,0.05,0.0026
2020-1-30 20:09:48,Jan,2020,"Jan, 2020",4.04,0.06,0.00,0,0.06,0.00312
2020-2-22 00:14:17,Feb,2020,"Feb, 2020",4.04,0.06,0.00,0,0.06,0.00312
2020-3-12 08:50:51,Mar,2020,"Mar, 2020",4.04,0.07,0.00,0,0.07,0.00364
2020-4-6 18:22:43,Apr,2020,"Apr, 2020",4.04,0.06,0.00,0,0.06,0.00312
2020-5-22 22:57:12,May,2020,"May, 2020",4.04,0.05,0.00,0,0.05,0.0026
2020-6-15 03:01:59,Jun,2020,"Jun, 2020",4.04,0.03,0.00,0,0.03,0.00156
2020-7-20 19:53:52,Jul,2020,"Jul, 2020",4.04,0.03,0.00,0,0.03,0.00156
2020-8-24 09:12:02,Aug,2020,"Aug, 2020",4.04,0.04,0.00,0,0.04,0.00208
2020-9-21 22:25:15,Sep,2020,"Sep, 2020",4.04,0.03,0.00,0,0.03,0.00156
2020-10-29 05:45:48,Oct,2020,"Oct, 2020",4.04,0.05,0.00,0,0.05,0.0026
2020-11-11 13:41:38,Nov,2020,"Nov, 2020",4.04,0.04,0.00,0,0.04,0.00208
