Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-7 23:11:30,Apr,2018,"Apr, 2018",4740.45,264.33,466.23,28.23,758.79,39.45708
2018-5-26 09:06:05,May,2018,"May, 2018",4740.45,270.47,645.76,11.77,928.00,48.256
2018-6-12 11:53:02,Jun,2018,"Jun, 2018",4740.45,219.06,716.06,10.93,946.05,49.1946
2018-7-1 13:59:10,Jul,2018,"Jul, 2018",4740.45,149.30,622.38,14.21,785.89,40.86628
2018-8-11 09:55:58,Aug,2018,"Aug, 2018",4740.45,149.17,670.18,15.93,835.28,43.43456
2018-9-8 19:09:05,Sep,2018,"Sep, 2018",4740.45,203.76,446.54,21.94,672.24,34.95648
2018-10-21 06:23:14,Oct,2018,"Oct, 2018",4740.45,295.89,164.49,14.1,474.48,24.67296
2018-11-21 02:43:11,Nov,2018,"Nov, 2018",4740.45,254.15,123.20,26.14,403.49,20.98148
2018-12-7 23:21:04,Dec,2018,"Dec, 2018",4740.45,265.71,247.64,42.66,556.01,28.91252
2019-1-6 23:31:46,Jan,2019,"Jan, 2019",5769.51,293.73,229.07,42.88,565.68,29.41536
2019-2-28 07:58:19,Feb,2019,"Feb, 2019",5769.51,289.41,299.97,44.15,633.53,32.94356
2019-3-24 22:10:49,Mar,2019,"Mar, 2019",5769.51,316.90,334.13,36,687.03,35.72556
2019-4-5 09:57:57,Apr,2019,"Apr, 2019",5769.51,324.00,414.14,24.23,762.37,39.64324
2019-5-2 10:49:45,May,2019,"May, 2019",5769.51,339.39,607.59,13.3,960.28,49.93456
2019-6-7 01:06:20,Jun,2019,"Jun, 2019",5769.51,299.11,536.45,7.57,843.13,43.84276
2019-7-4 19:00:37,Jul,2019,"Jul, 2019",5769.51,234.94,657.83,9.16,901.93,46.90036
2019-8-3 20:02:27,Aug,2019,"Aug, 2019",5769.51,214.92,497.17,26.3,738.39,38.39628
2019-9-23 13:16:34,Sep,2019,"Sep, 2019",5769.51,201.34,261.50,39.76,502.60,26.1352
2019-10-13 08:39:02,Oct,2019,"Oct, 2019",5769.51,268.64,158.49,35.19,462.32,24.04064
2019-11-2 18:04:00,Nov,2019,"Nov, 2019",5769.51,277.62,123.08,26.28,426.98,22.20296
2019-12-9 07:30:48,Dec,2019,"Dec, 2019",5769.51,269.85,298.80,53.11,621.76,32.33152
2020-1-26 15:43:15,Jan,2020,"Jan, 2020",6218.66,309.67,260.92,54.76,625.35,32.5182
2020-2-5 01:25:47,Feb,2020,"Feb, 2020",6218.66,362.41,264.81,50.25,677.47,35.22844
2020-3-15 22:43:43,Mar,2020,"Mar, 2020",6218.66,394.37,345.22,35.72,775.31,40.31612
2020-4-5 19:04:49,Apr,2020,"Apr, 2020",6218.66,391.23,347.63,15.19,754.05,39.2106
2020-5-25 23:16:59,May,2020,"May, 2020",6218.66,412.80,605.51,14.61,1032.92,53.71184
2020-6-2 04:34:12,Jun,2020,"Jun, 2020",6218.66,303.74,450.60,16.93,771.27,40.10604
2020-7-16 14:19:29,Jul,2020,"Jul, 2020",6218.66,313.41,331.96,24.87,670.24,34.85248
2020-8-3 22:23:53,Aug,2020,"Aug, 2020",6218.66,242.70,522.09,34.77,799.56,41.57712
2020-9-13 23:03:57,Sep,2020,"Sep, 2020",6218.66,421.31,216.97,44.79,683.07,35.51964
2020-10-17 19:11:22,Oct,2020,"Oct, 2020",6218.66,342.68,215.27,30.71,588.66,30.61032
2020-11-21 17:23:57,Nov,2020,"Nov, 2020",6218.66,324.04,210.74,40.07,574.85,29.8922
2020-12-13 21:17:24,Dec,2020,"Dec, 2020",6218.66,322.23,214.60,54.02,590.85,30.7242
2021-1-9 17:36:58,Jan,2021,"Jan, 2021",5877.87,336.77,263.07,49.6,649.44,33.77088
2021-2-2 08:15:02,Feb,2021,"Feb, 2021",5877.87,376.15,189.81,36.21,602.17,31.31284
2021-3-2 17:54:03,Mar,2021,"Mar, 2021",5877.87,414.97,345.19,40.61,800.77,41.64004
2021-4-14 21:17:46,Apr,2021,"Apr, 2021",5877.87,404.47,364.58,18.49,787.54,40.95208
2021-5-21 14:11:45,May,2021,"May, 2021",5877.87,540.03,505.63,10.08,1055.74,54.89848
2021-6-28 07:37:26,Jun,2021,"Jun, 2021",5877.87,336.52,559.96,16.25,912.73,47.46196
2021-7-17 21:38:24,Jul,2021,"Jul, 2021",5877.87,292.28,622.57,16.28,931.13,48.41876
2021-8-30 14:37:11,Aug,2021,"Aug, 2021",5877.87,256.60,550.43,26.17,833.20,43.3264
2021-9-11 00:25:55,Sep,2021,"Sep, 2021",5877.87,280.36,256.65,35.72,572.73,29.78196
2021-10-9 14:04:26,Oct,2021,"Oct, 2021",5877.87,371.39,144.54,26.13,542.06,28.18712
2021-11-15 23:10:25,Nov,2021,"Nov, 2021",5877.87,211.68,273.69,26.91,512.28,26.63856
2021-12-9 23:42:12,Dec,2021,"Dec, 2021",5877.87,293.65,281.17,46.24,621.06,32.29512
2022-1-10 14:36:01,Jan,2022,"Jan, 2022",5651.62,313.05,233.02,52.05,598.12,31.10224
2022-2-2 00:53:16,Feb,2022,"Feb, 2022",5651.62,388.29,265.34,46.14,699.77,36.38804
2022-3-24 02:07:39,Mar,2022,"Mar, 2022",5651.62,280.66,289.10,42.94,612.70,31.8604
2022-4-30 03:05:57,Apr,2022,"Apr, 2022",5651.62,422.59,481.72,32.53,936.84,48.71568
2022-5-8 02:51:47,May,2022,"May, 2022",5651.62,419.26,722.52,25.26,1167.04,60.68608
2022-6-13 13:15:17,Jun,2022,"Jun, 2022",5651.62,340.79,592.66,8.18,941.63,48.96476
2022-7-13 01:35:12,Jul,2022,"Jul, 2022",5651.62,276.51,424.02,26.6,727.13,37.81076
2022-8-1 06:38:40,Aug,2022,"Aug, 2022",5651.62,155.41,432.07,44.6,632.08,32.86816
2022-9-1 18:02:13,Sep,2022,"Sep, 2022",5651.62,265.67,363.77,56.85,686.29,35.68708
2022-10-9 03:48:28,Oct,2022,"Oct, 2022",5651.62,321.89,236.98,37.27,596.14,30.99928
2022-11-3 23:57:54,Nov,2022,"Nov, 2022",5651.62,309.32,138.72,39.46,487.50,25.35
2022-12-22 13:11:42,Dec,2022,"Dec, 2022",5651.62,264.78,261.42,71.06,597.26,31.05752
