Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-16 05:51:15,Apr,2018,"Apr, 2018",11018.63,165.25,404.44,432.56,1002.25,52.117
2018-5-28 21:53:48,May,2018,"May, 2018",11018.63,203.95,656.24,208.56,1068.75,55.575
2018-6-6 23:07:08,Jun,2018,"Jun, 2018",11018.63,160.48,1080.15,111.42,1352.05,70.3066
2018-7-3 19:50:57,Jul,2018,"Jul, 2018",11018.63,123.00,1702.39,119.4,1944.79,101.12908
2018-8-5 08:18:56,Aug,2018,"Aug, 2018",11018.63,127.68,1553.83,137.51,1819.02,94.58904
2018-9-5 13:52:16,Sep,2018,"Sep, 2018",11018.63,175.46,514.67,94.13,784.26,40.78152
2018-10-19 23:12:46,Oct,2018,"Oct, 2018",11018.63,205.57,277.48,178.17,661.22,34.38344
2018-11-4 07:35:54,Nov,2018,"Nov, 2018",11018.63,193.66,247.19,738.59,1179.44,61.33088
2018-12-14 15:30:57,Dec,2018,"Dec, 2018",11018.63,193.11,299.97,881.53,1374.61,71.47972
2019-1-26 11:43:10,Jan,2019,"Jan, 2019",11623.99,207.47,224.15,886.45,1318.07,68.53964
2019-2-4 17:48:20,Feb,2019,"Feb, 2019",11623.99,205.27,260.66,779.55,1245.48,64.76496
2019-3-1 19:02:22,Mar,2019,"Mar, 2019",11623.99,245.72,353.97,625.26,1224.95,63.6974
2019-4-22 05:49:30,Apr,2019,"Apr, 2019",11623.99,233.28,513.13,394.36,1140.77,59.32004
2019-5-18 09:35:51,May,2019,"May, 2019",11623.99,249.08,772.06,200.35,1221.49,63.51748
2019-6-16 21:11:55,Jun,2019,"Jun, 2019",11623.99,191.49,996.23,85.04,1272.76,66.18352
2019-7-1 05:58:12,Jul,2019,"Jul, 2019",11623.99,155.74,1475.88,71.73,1703.35,88.5742
2019-8-4 22:19:11,Aug,2019,"Aug, 2019",11623.99,162.81,1529.75,128.69,1821.25,94.705
2019-9-2 08:17:39,Sep,2019,"Sep, 2019",11623.99,155.96,880.95,140.5,1177.41,61.22532
2019-10-13 12:04:58,Oct,2019,"Oct, 2019",11623.99,178.62,311.32,115.58,605.52,31.48704
2019-11-20 14:44:39,Nov,2019,"Nov, 2019",11623.99,190.48,243.71,179.23,613.42,31.89784
2019-12-5 18:21:52,Dec,2019,"Dec, 2019",11623.99,174.96,304.39,582.92,1062.27,55.23804
2020-1-26 00:52:09,Jan,2020,"Jan, 2020",11104.24,205.42,269.85,650.15,1125.42,58.52184
2020-2-22 00:08:42,Feb,2020,"Feb, 2020",11104.24,218.02,292.79,610.18,1120.99,58.29148
2020-3-17 15:10:38,Mar,2020,"Mar, 2020",11104.24,256.81,394.21,470.13,1121.15,58.2998
2020-4-2 15:46:30,Apr,2020,"Apr, 2020",11104.24,246.55,418.95,292.37,957.87,49.80924
2020-5-8 07:50:43,May,2020,"May, 2020",11104.24,252.85,695.29,210.83,1158.97,60.26644
2020-6-9 11:38:03,Jun,2020,"Jun, 2020",11104.24,189.68,794.96,116.15,1100.79,57.24108
2020-7-27 19:02:58,Jul,2020,"Jul, 2020",11104.24,188.35,804.00,79.95,1072.30,55.7596
2020-8-19 09:19:54,Aug,2020,"Aug, 2020",11104.24,154.12,1461.14,129.35,1744.61,90.71972
2020-9-5 22:34:44,Sep,2020,"Sep, 2020",11104.24,185.18,364.36,115.56,665.10,34.5852
2020-10-2 16:15:04,Oct,2020,"Oct, 2020",11104.24,194.65,259.95,166.52,621.12,32.29824
2020-11-27 13:20:54,Nov,2020,"Nov, 2020",11104.24,214.00,404.03,634.76,1252.79,65.14508
2020-12-29 17:37:55,Dec,2020,"Dec, 2020",11104.24,224.35,357.38,816.51,1398.24,72.70848
2021-1-2 11:59:27,Jan,2021,"Jan, 2021",11221.94,224.65,210.01,823.43,1258.09,65.42068
2021-2-22 14:46:18,Feb,2021,"Feb, 2021",11221.94,235.71,298.90,718.28,1252.89,65.15028
2021-3-17 22:42:35,Mar,2021,"Mar, 2021",11221.94,779.38,315.61,654.74,1749.73,90.98596
2021-4-4 03:13:41,Apr,2021,"Apr, 2021",11221.94,284.61,424.19,447.85,1156.65,60.1458
2021-5-4 00:56:57,May,2021,"May, 2021",11221.94,258.09,791.23,228.83,1278.15,66.4638
2021-6-4 19:11:25,Jun,2021,"Jun, 2021",11221.94,420.51,1029.30,144.37,1594.18,82.89736
2021-7-5 02:33:04,Jul,2021,"Jul, 2021",11221.94,200.72,1318.13,109.31,1628.16,84.66432
2021-8-20 01:02:31,Aug,2021,"Aug, 2021",11221.94,202.71,856.18,107.28,1166.17,60.64084
2021-9-19 15:47:06,Sep,2021,"Sep, 2021",11221.94,204.64,827.32,131.65,1163.61,60.50772
2021-10-11 23:45:31,Oct,2021,"Oct, 2021",11221.94,279.64,276.16,192.17,747.97,38.89444
2021-11-8 19:51:16,Nov,2021,"Nov, 2021",11221.94,229.25,415.51,701.98,1346.74,70.03048
2021-12-28 18:19:23,Dec,2021,"Dec, 2021",11221.94,222.97,257.16,834.4,1314.53,68.35556
2022-1-28 10:06:50,Jan,2022,"Jan, 2022",11242.20,280.49,309.28,903.84,1493.61,77.66772
2022-2-3 20:40:32,Feb,2022,"Feb, 2022",11242.20,304.47,236.93,819.14,1360.54,70.74808
2022-3-20 22:57:18,Mar,2022,"Mar, 2022",11242.20,299.08,344.59,951.66,1595.33,82.95716
2022-4-3 01:47:20,Apr,2022,"Apr, 2022",11242.20,317.19,387.44,648.62,1353.25,70.369
2022-5-3 12:29:06,May,2022,"May, 2022",11242.20,348.07,1052.63,417.65,1818.35,94.5542
2022-6-29 13:45:13,Jun,2022,"Jun, 2022",11242.20,314.57,854.75,216.67,1385.99,72.07148
2022-7-21 16:54:19,Jul,2022,"Jul, 2022",11242.20,235.43,1301.28,127.22,1663.93,86.52436
