Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-28 21:34:27,Apr,2018,"Apr, 2018",47.00,0.05,0.00,0,0.05,0.0026
2018-5-8 22:23:01,May,2018,"May, 2018",47.00,0.04,0.00,0,0.04,0.00208
2018-6-25 10:23:27,Jun,2018,"Jun, 2018",47.00,0.03,0.00,0,0.03,0.00156
2018-7-13 05:44:48,Jul,2018,"Jul, 2018",47.00,0.05,0.00,0,0.05,0.0026
2018-8-5 16:56:27,Aug,2018,"Aug, 2018",47.00,0.15,0.00,0,0.15,0.0078
2018-9-30 01:39:21,Sep,2018,"Sep, 2018",47.00,0.15,0.00,0,0.15,0.0078
2018-10-14 23:30:02,Oct,2018,"Oct, 2018",47.00,0.13,0.00,0,0.13,0.00676
2018-11-13 01:31:34,Nov,2018,"Nov, 2018",47.00,0.14,0.00,0,0.14,0.00728
2018-12-1 19:35:24,Dec,2018,"Dec, 2018",47.00,0.15,0.00,0,0.15,0.0078
2019-1-9 19:13:25,Jan,2019,"Jan, 2019",51.07,0.16,0.00,0,0.16,0.00832
2019-2-15 01:54:42,Feb,2019,"Feb, 2019",51.07,0.66,0.00,0,0.66,0.03432
2019-3-10 21:36:14,Mar,2019,"Mar, 2019",51.07,0.16,0.00,0,0.16,0.00832
2019-4-7 08:00:41,Apr,2019,"Apr, 2019",51.07,0.16,0.00,0,0.16,0.00832
2019-5-23 17:11:53,May,2019,"May, 2019",51.07,0.19,0.00,0,0.19,0.00988
2019-6-21 23:55:05,Jun,2019,"Jun, 2019",51.07,0.00,0.00,0,0.00,0
2019-7-29 16:29:47,Jul,2019,"Jul, 2019",51.07,0.21,0.00,0,0.21,0.01092
2019-8-30 22:39:35,Aug,2019,"Aug, 2019",51.07,0.21,0.00,0,0.21,0.01092
2019-9-6 09:19:24,Sep,2019,"Sep, 2019",51.07,0.23,0.00,0,0.23,0.01196
2019-10-19 16:01:25,Oct,2019,"Oct, 2019",51.07,0.24,0.00,0,0.24,0.01248
2019-11-8 23:28:46,Nov,2019,"Nov, 2019",51.07,0.22,0.00,0.29,0.51,0.02652
2019-12-3 07:28:31,Dec,2019,"Dec, 2019",51.07,0.24,0.00,1,1.24,0.06448
2020-1-12 22:38:53,Jan,2020,"Jan, 2020",52.60,0.32,0.00,0.28,0.60,0.0312
2020-2-24 05:57:43,Feb,2020,"Feb, 2020",52.60,0.32,0.00,0,0.32,0.01664
2020-3-27 10:38:15,Mar,2020,"Mar, 2020",52.60,0.32,0.00,0,0.32,0.01664
2020-4-2 21:18:06,Apr,2020,"Apr, 2020",52.60,0.43,0.00,0,0.43,0.02236
2020-5-28 14:44:32,May,2020,"May, 2020",52.60,0.43,0.00,0,0.43,0.02236
2020-6-10 06:02:20,Jun,2020,"Jun, 2020",52.60,0.48,0.00,0,0.48,0.02496
2020-7-14 03:31:34,Jul,2020,"Jul, 2020",52.60,0.48,0.00,0,0.48,0.02496
2020-8-1 05:50:03,Aug,2020,"Aug, 2020",52.60,1.13,0.00,0,1.13,0.05876
2020-9-14 03:51:03,Sep,2020,"Sep, 2020",52.60,0.48,0.00,0,0.48,0.02496
2020-10-13 08:41:30,Oct,2020,"Oct, 2020",52.60,0.48,0.00,0,0.48,0.02496
2020-11-21 07:08:53,Nov,2020,"Nov, 2020",52.60,0.97,0.00,0,0.97,0.05044
2020-12-27 13:29:04,Dec,2020,"Dec, 2020",52.60,0.97,0.00,0,0.97,0.05044
2021-1-9 23:56:30,Jan,2021,"Jan, 2021",54.28,0.97,0.00,0,0.97,0.05044
2021-2-28 19:58:26,Feb,2021,"Feb, 2021",54.28,0.42,0.00,0,0.42,0.02184
2021-3-11 08:43:39,Mar,2021,"Mar, 2021",54.28,0.46,0.00,0,0.46,0.02392
2021-4-28 16:36:18,Apr,2021,"Apr, 2021",54.28,0.46,0.00,0,0.46,0.02392
2021-5-11 00:29:26,May,2021,"May, 2021",54.28,0.46,0.00,0,0.46,0.02392
2021-6-2 04:43:23,Jun,2021,"Jun, 2021",54.28,0.46,0.00,0,0.46,0.02392
2021-7-20 06:24:16,Jul,2021,"Jul, 2021",54.28,0.48,0.00,0,0.48,0.02496
2021-8-4 03:54:12,Aug,2021,"Aug, 2021",54.28,1.11,0.00,0,1.11,0.05772
2021-9-3 04:15:07,Sep,2021,"Sep, 2021",54.28,0.46,0.00,0,0.46,0.02392
2021-10-11 12:32:28,Oct,2021,"Oct, 2021",54.28,0.49,0.00,0,0.49,0.02548
2021-11-6 05:58:46,Nov,2021,"Nov, 2021",54.28,0.51,0.00,0,0.51,0.02652
2021-12-15 12:51:18,Dec,2021,"Dec, 2021",54.28,0.52,0.00,0,0.52,0.02704
2022-1-25 14:52:35,Jan,2022,"Jan, 2022",51.23,0.52,0.00,0,0.52,0.02704
2022-2-16 16:35:27,Feb,2022,"Feb, 2022",51.23,0.59,0.00,0,0.59,0.03068
2022-3-6 11:58:18,Mar,2022,"Mar, 2022",51.23,0.68,0.00,0,0.68,0.03536
2022-4-19 01:48:26,Apr,2022,"Apr, 2022",51.23,0.66,0.00,0,0.66,0.03432
2022-5-30 06:19:48,May,2022,"May, 2022",51.23,0.70,0.00,0,0.70,0.0364
2022-6-26 11:21:26,Jun,2022,"Jun, 2022",51.23,0.70,0.00,0,0.70,0.0364
2022-7-28 10:35:38,Jul,2022,"Jul, 2022",51.23,0.69,0.00,0,0.69,0.03588
2022-8-17 18:01:46,Aug,2022,"Aug, 2022",51.23,0.74,0.00,0,0.74,0.03848
2022-9-17 06:22:35,Sep,2022,"Sep, 2022",51.23,0.75,0.00,0,0.75,0.039
2022-10-27 04:38:22,Oct,2022,"Oct, 2022",51.23,0.75,0.00,0,0.75,0.039
2022-11-30 04:06:59,Nov,2022,"Nov, 2022",51.23,0.65,0.00,0,0.65,0.0338
2022-12-23 23:21:30,Dec,2022,"Dec, 2022",51.23,0.66,0.00,0,0.66,0.03432
