Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-9 19:27:58,Apr,2018,"Apr, 2018",107.10,0.00,0.00,6.09,6.09,0.31668
2018-5-12 20:09:22,May,2018,"May, 2018",107.10,0.00,0.00,4.21,4.21,0.21892
2018-6-17 12:04:54,Jun,2018,"Jun, 2018",107.10,0.00,0.00,3.68,3.68,0.19136
2018-7-30 04:18:24,Jul,2018,"Jul, 2018",107.10,0.00,0.00,3.47,3.47,0.18044
2018-8-5 12:08:57,Aug,2018,"Aug, 2018",107.10,0.00,0.00,3.45,3.45,0.1794
2018-9-19 05:19:03,Sep,2018,"Sep, 2018",107.10,0.00,0.00,7.01,7.01,0.36452
2018-10-8 02:47:06,Oct,2018,"Oct, 2018",107.10,0.00,0.00,4.87,4.87,0.25324
2018-11-7 23:31:43,Nov,2018,"Nov, 2018",107.10,0.00,0.00,4.78,4.78,0.24856
2018-12-5 15:38:34,Dec,2018,"Dec, 2018",107.10,0.00,0.00,2.85,2.85,0.1482
2019-1-11 09:02:03,Jan,2019,"Jan, 2019",104.16,0.00,0.00,3.57,3.57,0.18564
2019-2-2 05:24:38,Feb,2019,"Feb, 2019",104.16,0.00,0.00,3.56,3.56,0.18512
2019-3-24 23:10:01,Mar,2019,"Mar, 2019",104.16,0.00,0.00,2.97,2.97,0.15444
2019-4-7 08:13:20,Apr,2019,"Apr, 2019",104.16,0.00,0.00,4.45,4.45,0.2314
2019-5-3 14:28:33,May,2019,"May, 2019",104.16,0.00,0.00,3.44,3.44,0.17888
2019-6-12 09:48:42,Jun,2019,"Jun, 2019",104.16,0.00,0.00,3.11,3.11,0.16172
2019-7-2 12:36:14,Jul,2019,"Jul, 2019",104.16,0.00,0.00,7.01,7.01,0.36452
2019-8-9 03:28:06,Aug,2019,"Aug, 2019",104.16,0.00,0.00,5.88,5.88,0.30576
2019-9-24 14:12:16,Sep,2019,"Sep, 2019",104.16,0.00,0.00,3.64,3.64,0.18928
2019-10-11 08:25:07,Oct,2019,"Oct, 2019",104.16,0.00,0.00,6.96,6.96,0.36192
