Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-26 07:35:48,Apr,2018,"Apr, 2018",32.98,0.00,0.00,1.83,1.83,0.09516
2018-5-23 01:54:09,May,2018,"May, 2018",32.98,0.00,0.00,3.44,3.44,0.17888
2018-6-28 05:32:16,Jun,2018,"Jun, 2018",32.98,0.00,0.00,3.22,3.22,0.16744
2018-7-17 04:00:33,Jul,2018,"Jul, 2018",32.98,0.00,0.00,3.34,3.34,0.17368
2018-8-1 05:20:51,Aug,2018,"Aug, 2018",32.98,0.00,0.00,3.38,3.38,0.17576
2018-9-7 11:55:00,Sep,2018,"Sep, 2018",32.98,0.00,0.00,3.31,3.31,0.17212
2018-10-11 19:34:26,Oct,2018,"Oct, 2018",32.98,0.00,0.00,3.72,3.72,0.19344
2018-11-1 04:06:20,Nov,2018,"Nov, 2018",32.98,0.03,0.00,3,3.03,0.15756
2018-12-17 12:59:40,Dec,2018,"Dec, 2018",32.98,0.02,0.00,2.45,2.47,0.12844
2019-1-22 23:39:31,Jan,2019,"Jan, 2019",33.98,0.00,0.00,4.1,4.10,0.2132
2019-2-27 09:19:02,Feb,2019,"Feb, 2019",33.98,0.04,0.00,3.92,3.96,0.20592
2019-3-12 03:14:35,Mar,2019,"Mar, 2019",33.98,0.03,0.00,4.26,4.29,0.22308
2019-4-8 04:53:28,Apr,2019,"Apr, 2019",33.98,0.04,0.00,3.67,3.71,0.19292
2019-5-27 05:55:02,May,2019,"May, 2019",33.98,0.04,0.00,3.84,3.88,0.20176
2019-6-27 20:08:59,Jun,2019,"Jun, 2019",33.98,0.03,0.00,3.34,3.37,0.17524
2019-7-7 21:43:45,Jul,2019,"Jul, 2019",33.98,0.03,0.00,3.75,3.78,0.19656
2019-8-3 14:37:25,Aug,2019,"Aug, 2019",33.98,0.03,0.00,4.58,4.61,0.23972
2019-9-30 07:19:41,Sep,2019,"Sep, 2019",33.98,0.11,0.00,5.68,5.79,0.30108
2019-10-22 09:44:31,Oct,2019,"Oct, 2019",33.98,0.02,0.00,6.33,6.35,0.3302
2019-11-25 22:15:02,Nov,2019,"Nov, 2019",33.98,0.02,0.00,5.03,5.05,0.2626
2019-12-22 18:40:33,Dec,2019,"Dec, 2019",33.98,0.03,0.00,4.09,4.12,0.21424
2020-1-30 15:00:32,Jan,2020,"Jan, 2020",40.53,0.03,0.00,3.07,3.10,0.1612
2020-2-30 10:52:48,Feb,2020,"Feb, 2020",40.53,0.03,0.00,2.44,2.47,0.12844
2020-3-18 22:18:56,Mar,2020,"Mar, 2020",40.53,0.03,0.00,3.75,3.78,0.19656
2020-4-11 13:48:23,Apr,2020,"Apr, 2020",40.53,0.03,0.00,2.29,2.32,0.12064
2020-5-26 08:31:42,May,2020,"May, 2020",40.53,0.03,0.00,1.17,1.20,0.0624
2020-6-28 20:33:06,Jun,2020,"Jun, 2020",40.53,0.02,0.00,3.35,3.37,0.17524
2020-7-27 16:59:12,Jul,2020,"Jul, 2020",40.53,0.02,0.00,4.26,4.28,0.22256
2020-8-10 17:45:29,Aug,2020,"Aug, 2020",40.53,0.02,0.00,3.72,3.74,0.19448
2020-9-23 12:30:48,Sep,2020,"Sep, 2020",40.53,0.02,0.00,5.11,5.13,0.26676
2020-10-30 12:23:25,Oct,2020,"Oct, 2020",40.53,0.02,0.00,5.04,5.06,0.26312
2020-11-21 08:39:27,Nov,2020,"Nov, 2020",40.53,0.02,0.00,5.04,5.06,0.26312
2020-12-7 21:13:45,Dec,2020,"Dec, 2020",40.53,0.18,0.00,0.42,0.60,0.0312
2021-1-11 05:22:10,Jan,2021,"Jan, 2021",37.79,1.44,0.00,0.29,1.73,0.08996
2021-2-8 18:30:00,Feb,2021,"Feb, 2021",37.79,0.43,0.00,0.37,0.80,0.0416
2021-3-24 03:49:13,Mar,2021,"Mar, 2021",37.79,0.23,0.00,0.01,0.24,0.01248
2021-4-29 04:55:34,Apr,2021,"Apr, 2021",37.79,0.23,0.00,0.01,0.24,0.01248
2021-5-6 14:02:16,May,2021,"May, 2021",37.79,0.25,0.00,0.01,0.26,0.01352
2021-6-3 06:05:37,Jun,2021,"Jun, 2021",37.79,0.25,0.00,0.01,0.26,0.01352
2021-7-16 03:43:58,Jul,2021,"Jul, 2021",37.79,0.18,0.00,2.38,2.56,0.13312
2021-8-19 16:25:05,Aug,2021,"Aug, 2021",37.79,0.18,0.00,2.38,2.56,0.13312
2021-9-4 07:46:16,Sep,2021,"Sep, 2021",37.79,0.09,0.00,3.15,3.24,0.16848
2021-10-1 20:13:51,Oct,2021,"Oct, 2021",37.79,0.09,0.00,3.15,3.24,0.16848
2021-11-12 06:50:29,Nov,2021,"Nov, 2021",37.79,0.09,0.00,3.15,3.24,0.16848
2021-12-9 06:57:28,Dec,2021,"Dec, 2021",37.79,0.09,0.00,3.15,3.24,0.16848
2022-1-13 13:42:38,Jan,2022,"Jan, 2022",36.32,0.09,0.00,3.01,3.10,0.1612
2022-2-29 08:14:45,Feb,2022,"Feb, 2022",36.32,0.09,0.00,3.01,3.10,0.1612
2022-3-18 22:17:03,Mar,2022,"Mar, 2022",36.32,0.09,0.00,3.01,3.10,0.1612
2022-4-3 13:51:50,Apr,2022,"Apr, 2022",36.32,0.33,0.00,0,0.33,0.01716
2022-5-23 22:54:05,May,2022,"May, 2022",36.32,0.33,0.00,0,0.33,0.01716
