Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-13 22:34:32,Apr,2018,"Apr, 2018",55.31,0.00,0.00,0,0.00,0
2018-5-17 18:47:58,May,2018,"May, 2018",55.31,0.00,0.00,6.38,6.38,0.33176
2018-6-12 16:59:54,Jun,2018,"Jun, 2018",55.31,0.00,0.00,8.61,8.61,0.44772
2018-7-3 14:03:57,Jul,2018,"Jul, 2018",55.31,0.00,0.00,12.92,12.92,0.67184
2018-8-23 06:15:23,Aug,2018,"Aug, 2018",55.31,0.00,0.00,14.92,14.92,0.77584
2018-9-8 02:19:15,Sep,2018,"Sep, 2018",55.31,0.00,0.00,14.2,14.20,0.7384
2018-10-15 23:46:08,Oct,2018,"Oct, 2018",55.31,0.00,0.00,11.89,11.89,0.61828
2018-11-11 20:06:25,Nov,2018,"Nov, 2018",55.31,0.00,0.00,6.27,6.27,0.32604
2018-12-21 05:13:58,Dec,2018,"Dec, 2018",55.31,0.00,0.00,3.66,3.66,0.19032
2019-1-25 15:53:22,Jan,2019,"Jan, 2019",56.59,0.00,0.00,3.22,3.22,0.16744
2019-2-14 00:30:12,Feb,2019,"Feb, 2019",56.59,0.00,0.00,2.43,2.43,0.12636
2019-3-6 02:22:22,Mar,2019,"Mar, 2019",56.59,0.00,0.00,2.95,2.95,0.1534
2019-4-21 06:18:04,Apr,2019,"Apr, 2019",56.59,0.00,0.00,0.18,0.18,0.00936
2019-5-4 21:26:29,May,2019,"May, 2019",56.59,0.00,0.00,3.22,3.22,0.16744
2019-6-28 00:52:04,Jun,2019,"Jun, 2019",56.59,0.00,0.00,5.04,5.04,0.26208
2019-7-24 18:13:55,Jul,2019,"Jul, 2019",56.59,0.00,0.00,11.68,11.68,0.60736
2019-8-15 15:29:09,Aug,2019,"Aug, 2019",56.59,0.00,0.00,13.02,13.02,0.67704
2019-9-22 12:14:58,Sep,2019,"Sep, 2019",56.59,0.00,0.00,8.16,8.16,0.42432
2019-10-16 18:58:30,Oct,2019,"Oct, 2019",56.59,0.00,0.00,8.69,8.69,0.45188
2019-11-26 08:03:47,Nov,2019,"Nov, 2019",56.59,0.00,0.00,8.43,8.43,0.43836
2019-12-21 12:52:27,Dec,2019,"Dec, 2019",56.59,0.00,0.00,6.14,6.14,0.31928
2020-1-5 00:05:21,Jan,2020,"Jan, 2020",57.73,0.00,0.00,5.05,5.05,0.2626
2020-2-4 04:02:28,Feb,2020,"Feb, 2020",57.73,0.00,0.00,3.48,3.48,0.18096
2020-3-22 09:05:46,Mar,2020,"Mar, 2020",57.73,0.00,0.00,2.77,2.77,0.14404
2020-4-26 12:58:26,Apr,2020,"Apr, 2020",57.73,0.00,0.00,4.02,4.02,0.20904
2020-5-11 05:16:26,May,2020,"May, 2020",57.73,0.00,0.00,4.89,4.89,0.25428
2020-6-2 12:33:09,Jun,2020,"Jun, 2020",57.73,0.00,0.00,7.17,7.17,0.37284
2020-7-16 12:55:23,Jul,2020,"Jul, 2020",57.73,0.00,0.00,6.98,6.98,0.36296
2020-8-11 05:42:36,Aug,2020,"Aug, 2020",57.73,0.00,0.50,7.36,7.86,0.40872
2020-9-5 07:55:25,Sep,2020,"Sep, 2020",57.73,0.00,0.50,6.35,6.85,0.3562
2020-10-28 02:10:34,Oct,2020,"Oct, 2020",57.73,0.00,0.00,7.23,7.23,0.37596
2020-11-29 05:03:17,Nov,2020,"Nov, 2020",57.73,0.00,0.00,6.73,6.73,0.34996
2020-12-8 08:05:04,Dec,2020,"Dec, 2020",57.73,0.00,0.00,6.18,6.18,0.32136
2021-1-26 13:22:36,Jan,2021,"Jan, 2021",56.88,0.00,0.00,4.86,4.86,0.25272
2021-2-21 14:06:30,Feb,2021,"Feb, 2021",56.88,0.00,0.00,4.86,4.86,0.25272
2021-3-29 06:24:54,Mar,2021,"Mar, 2021",56.88,0.00,0.00,3.15,3.15,0.1638
2021-4-3 18:59:52,Apr,2021,"Apr, 2021",56.88,0.00,0.00,3.15,3.15,0.1638
2021-5-11 07:26:41,May,2021,"May, 2021",56.88,0.00,0.00,0.01,0.01,0.00052
2021-6-21 00:10:39,Jun,2021,"Jun, 2021",56.88,0.00,0.00,0.07,0.07,0.00364
