Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-24 08:55:09,Apr,2018,"Apr, 2018",1031.872788,1.27,0.00,13.36,14.63,0.76076
2018-5-21 22:13:53,May,2018,"May, 2018",1031.872788,1.30,0.00,18.6,19.90,1.0348
2018-6-9 10:21:09,Jun,2018,"Jun, 2018",1031.872788,1.09,0.00,19.44,20.53,1.06756
2018-7-13 04:06:51,Jul,2018,"Jul, 2018",1031.872788,1.16,0.00,34.37,35.53,1.84756
2018-8-23 13:32:58,Aug,2018,"Aug, 2018",1031.872788,1.35,0.00,35.63,36.98,1.92296
2018-9-15 08:49:39,Sep,2018,"Sep, 2018",1031.872788,1.25,0.00,30.25,31.50,1.638
2018-10-10 00:39:51,Oct,2018,"Oct, 2018",1031.872788,1.44,0.00,27.9,29.34,1.52568
2018-11-27 12:47:20,Nov,2018,"Nov, 2018",1031.872788,1.56,0.00,19.58,21.14,1.09928
2018-12-12 12:36:27,Dec,2018,"Dec, 2018",1031.872788,1.46,0.00,14.91,16.37,0.85124
2019-1-13 21:55:00,Jan,2019,"Jan, 2019",1084.122383,1.63,0.00,17.76,19.39,1.00828
2019-2-12 12:41:01,Feb,2019,"Feb, 2019",1084.122383,1.91,0.00,14.71,16.62,0.86424
2019-3-1 02:23:42,Mar,2019,"Mar, 2019",1084.122383,1.58,0.00,13.68,15.26,0.79352
2019-4-4 12:19:44,Apr,2019,"Apr, 2019",1084.122383,1.41,0.00,12.57,13.98,0.72696
2019-5-2 04:15:26,May,2019,"May, 2019",1084.122383,1.37,0.00,15.56,16.93,0.88036
2019-6-9 22:22:36,Jun,2019,"Jun, 2019",1084.122383,1.02,0.00,15.69,16.71,0.86892
2019-7-7 17:42:59,Jul,2019,"Jul, 2019",1084.122383,1.24,0.00,27.1,28.34,1.47368
2019-8-23 05:41:06,Aug,2019,"Aug, 2019",1084.122383,0.97,0.00,28.85,29.82,1.55064
2019-9-12 01:15:18,Sep,2019,"Sep, 2019",1084.122383,0.93,0.00,23.62,24.55,1.2766
2019-10-9 02:30:08,Oct,2019,"Oct, 2019",1084.122383,0.96,0.00,27.47,28.43,1.47836
2019-11-6 19:50:06,Nov,2019,"Nov, 2019",1084.122383,1.08,0.00,30.27,31.35,1.6302
2019-12-24 18:39:46,Dec,2019,"Dec, 2019",1084.122383,1.14,0.00,41.47,42.61,2.21572
2020-1-14 07:27:34,Jan,2020,"Jan, 2020",1070.143724,1.00,0.00,17.55,18.55,0.9646
2020-2-21 07:14:11,Feb,2020,"Feb, 2020",1070.143724,1.54,0.00,13.06,14.60,0.7592
2020-3-13 07:29:41,Mar,2020,"Mar, 2020",1070.143724,1.59,0.00,14.46,16.05,0.8346
2020-4-2 02:42:12,Apr,2020,"Apr, 2020",1070.143724,1.66,0.00,13.71,15.37,0.79924
2020-5-11 22:58:57,May,2020,"May, 2020",1070.143724,1.55,0.00,9.13,10.68,0.55536
2020-6-11 06:34:04,Jun,2020,"Jun, 2020",1070.143724,1.37,0.00,16.97,18.34,0.95368
2020-7-23 06:07:08,Jul,2020,"Jul, 2020",1070.143724,1.47,0.00,18.38,19.85,1.0322
2020-8-17 06:27:40,Aug,2020,"Aug, 2020",1070.143724,2.27,0.50,18.83,21.60,1.1232
2020-9-5 02:49:50,Sep,2020,"Sep, 2020",1070.143724,1.53,0.50,17.42,19.45,1.0114
2020-10-24 12:22:11,Oct,2020,"Oct, 2020",1070.143724,1.52,0.00,25.62,27.14,1.41128
2020-11-29 09:18:38,Nov,2020,"Nov, 2020",1070.143724,2.19,0.00,22.25,24.44,1.27088
2020-12-30 04:35:44,Dec,2020,"Dec, 2020",1070.143724,2.45,0.00,19.35,21.80,1.1336
2021-1-13 18:17:29,Jan,2021,"Jan, 2021",1103.911103,3.64,0.00,17.51,21.15,1.0998
2021-2-27 01:53:34,Feb,2021,"Feb, 2021",1103.911103,5.43,0.00,15.38,20.81,1.08212
2021-3-29 09:47:26,Mar,2021,"Mar, 2021",1103.911103,6.02,0.00,11.37,17.39,0.90428
2021-4-29 10:19:31,Apr,2021,"Apr, 2021",1103.911103,6.55,0.00,10.96,17.51,0.91052
2021-5-3 13:50:41,May,2021,"May, 2021",1103.911103,5.63,0.00,5.51,11.14,0.57928
2021-6-18 01:53:08,Jun,2021,"Jun, 2021",1103.911103,6.50,0.00,7,13.50,0.702
2021-7-24 10:57:20,Jul,2021,"Jul, 2021",1103.911103,6.52,0.00,16.63,23.15,1.2038
2021-8-11 22:38:32,Aug,2021,"Aug, 2021",1103.911103,7.24,0.00,25.22,32.46,1.68792
2021-9-3 07:44:58,Sep,2021,"Sep, 2021",1103.911103,6.67,0.00,19.48,26.15,1.3598
2021-10-18 02:59:43,Oct,2021,"Oct, 2021",1103.911103,8.60,0.00,22.91,31.51,1.63852
2021-11-5 18:11:45,Nov,2021,"Nov, 2021",1103.911103,9.21,0.00,15.79,25.00,1.3
2021-12-11 16:21:32,Dec,2021,"Dec, 2021",1103.911103,8.49,0.00,14.38,22.87,1.18924
2022-1-29 04:18:28,Jan,2022,"Jan, 2022",1072.512499,9.19,0.00,13.56,22.75,1.183
2022-2-30 13:49:10,Feb,2022,"Feb, 2022",1072.512499,10.76,0.00,12.49,23.25,1.209
2022-3-24 02:27:26,Mar,2022,"Mar, 2022",1072.512499,13.17,0.00,12.59,25.76,1.33952
2022-4-18 08:34:42,Apr,2022,"Apr, 2022",1072.512499,15.04,0.00,10.22,25.26,1.31352
2022-5-5 01:39:24,May,2022,"May, 2022",1072.512499,22.55,0.00,17.33,39.88,2.07376
2022-6-12 19:50:53,Jun,2022,"Jun, 2022",1072.512499,17.92,0.00,29.01,46.93,2.44036
2022-7-13 08:33:36,Jul,2022,"Jul, 2022",1072.512499,12.98,0.00,27.63,40.61,2.11172
2022-8-26 23:56:13,Aug,2022,"Aug, 2022",1072.512499,27.07,0.00,35.19,62.26,3.23752
2022-9-9 10:52:01,Sep,2022,"Sep, 2022",1072.512499,25.79,0.00,34.26,60.05,3.1226
2022-10-18 07:09:15,Oct,2022,"Oct, 2022",1072.512499,21.92,0.00,32.94,54.86,2.85272
2022-11-28 03:17:40,Nov,2022,"Nov, 2022",1072.512499,21.85,0.00,32.26,54.11,2.81372
2022-12-3 22:55:15,Dec,2022,"Dec, 2022",1072.512499,22.44,0.00,33.17,55.61,2.89172
