Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-30 13:01:39,Apr,2018,"Apr, 2018",26219.43334,689.99,552.54,947.87,2190.40,113.9008
2018-5-1 10:38:03,May,2018,"May, 2018",26219.43334,698.67,587.60,792.94,2079.21,108.11892
2018-6-4 17:52:37,Jun,2018,"Jun, 2018",26219.43334,677.48,1035.61,707.08,2420.17,125.84884
2018-7-1 10:04:57,Jul,2018,"Jul, 2018",26219.43334,605.90,950.36,803,2359.26,122.68152
2018-8-18 02:19:06,Aug,2018,"Aug, 2018",26219.43334,621.21,910.12,840.05,2371.38,123.31176
2018-9-28 02:09:07,Sep,2018,"Sep, 2018",26219.43334,652.56,600.53,434.89,1687.98,87.77496
2018-10-4 13:16:54,Oct,2018,"Oct, 2018",26219.43334,671.41,209.39,518.34,1399.14,72.75528
2018-11-13 08:15:40,Nov,2018,"Nov, 2018",26219.43334,677.18,184.31,792.75,1654.24,86.02048
2018-12-15 06:09:46,Dec,2018,"Dec, 2018",26219.43334,688.41,283.01,1082.38,2053.80,106.7976
2019-1-4 13:03:17,Jan,2019,"Jan, 2019",27332.02967,668.26,312.56,1044.5,2025.32,105.31664
2019-2-19 03:49:14,Feb,2019,"Feb, 2019",27332.02967,728.09,385.01,951.17,2064.27,107.34204
2019-3-17 13:05:21,Mar,2019,"Mar, 2019",27332.02967,873.28,392.77,1100.87,2366.92,123.07984
2019-4-7 18:19:26,Apr,2019,"Apr, 2019",27332.02967,852.47,414.20,1034.65,2301.32,119.66864
2019-5-12 04:39:11,May,2019,"May, 2019",27332.02967,958.05,602.58,854.18,2414.81,125.57012
2019-6-28 03:59:47,Jun,2019,"Jun, 2019",27332.02967,945.86,738.30,742.09,2426.25,126.165
2019-7-21 18:51:25,Jul,2019,"Jul, 2019",27332.02967,796.44,1152.64,608.34,2557.42,132.98584
2019-8-15 03:23:19,Aug,2019,"Aug, 2019",27332.02967,808.39,622.76,594.11,2025.26,105.31352
2019-9-4 17:40:32,Sep,2019,"Sep, 2019",27332.02967,885.50,350.10,620.86,1856.46,96.53592
2019-10-28 15:32:02,Oct,2019,"Oct, 2019",27332.02967,988.51,210.25,493.24,1692.00,87.984
2019-11-8 09:48:06,Nov,2019,"Nov, 2019",27332.02967,807.47,431.08,730.52,1969.07,102.39164
2019-12-20 11:38:21,Dec,2019,"Dec, 2019",27332.02967,849.36,410.93,1026.31,2286.60,118.9032
2020-1-29 03:50:44,Jan,2020,"Jan, 2020",28421.35116,945.68,399.49,1016.8,2361.97,122.82244
2020-2-15 01:48:42,Feb,2020,"Feb, 2020",28421.35116,1151.86,398.82,1020.15,2570.83,133.68316
2020-3-8 19:33:17,Mar,2020,"Mar, 2020",28421.35116,1218.18,443.60,1065.86,2727.64,141.83728
2020-4-5 06:12:19,Apr,2020,"Apr, 2020",28421.35116,1255.77,467.33,1143.17,2866.27,149.04604
2020-5-14 10:09:19,May,2020,"May, 2020",28421.35116,1332.67,682.14,958.35,2973.16,154.60432
