Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-21 04:57:05,Apr,2018,"Apr, 2018",3826.54,22.27,0.00,22.2,44.47,2.31244
2018-5-5 14:49:28,May,2018,"May, 2018",3826.54,22.55,0.00,27.1,49.65,2.5818
2018-6-15 06:13:29,Jun,2018,"Jun, 2018",3826.54,19.11,0.00,25.71,44.82,2.33064
2018-7-16 15:38:45,Jul,2018,"Jul, 2018",3826.54,17.51,0.00,34.59,52.10,2.7092
2018-8-16 18:54:05,Aug,2018,"Aug, 2018",3826.54,17.33,1.15,36.13,54.61,2.83972
2018-9-30 11:01:36,Sep,2018,"Sep, 2018",3826.54,21.87,5.70,39.67,67.24,3.49648
2018-10-28 09:05:49,Oct,2018,"Oct, 2018",3826.54,24.95,3.91,41.28,70.14,3.64728
2018-11-29 03:54:25,Nov,2018,"Nov, 2018",3826.54,23.00,3.91,21.96,48.87,2.54124
2018-12-28 12:44:27,Dec,2018,"Dec, 2018",3826.54,21.15,9.29,23.31,53.75,2.795
2019-1-9 05:58:38,Jan,2019,"Jan, 2019",5850.39,23.28,9.91,20.76,53.95,2.8054
2019-2-12 06:04:18,Feb,2019,"Feb, 2019",5850.39,23.81,12.25,18.66,54.72,2.84544
2019-3-14 08:17:23,Mar,2019,"Mar, 2019",5850.39,26.21,12.10,20.78,59.09,3.07268
2019-4-17 05:31:55,Apr,2019,"Apr, 2019",5850.39,36.60,16.52,19.12,72.24,3.75648
2019-5-8 07:53:23,May,2019,"May, 2019",5850.39,41.80,18.97,26.77,87.54,4.55208
2019-6-17 22:43:48,Jun,2019,"Jun, 2019",5850.39,35.71,19.17,28.55,83.43,4.33836
2019-7-24 05:16:42,Jul,2019,"Jul, 2019",5850.39,27.48,0.00,37.44,64.92,3.37584
2019-8-28 12:41:56,Aug,2019,"Aug, 2019",5850.39,15.88,0.00,40.38,56.26,2.92552
2019-9-1 02:46:24,Sep,2019,"Sep, 2019",5850.39,18.42,0.00,43.99,62.41,3.24532
2019-10-19 08:58:36,Oct,2019,"Oct, 2019",5850.39,32.98,0.00,41.01,73.99,3.84748
2019-11-22 21:49:27,Nov,2019,"Nov, 2019",5850.39,24.80,0.00,29.49,54.29,2.82308
2019-12-14 06:36:58,Dec,2019,"Dec, 2019",5850.39,25.79,0.00,27.32,53.11,2.76172
2020-1-21 17:23:00,Jan,2020,"Jan, 2020",6041.67,30.32,0.00,24.54,54.86,2.85272
2020-2-12 10:45:05,Feb,2020,"Feb, 2020",6041.67,31.31,0.00,24.88,56.19,2.92188
2020-3-6 20:35:31,Mar,2020,"Mar, 2020",6041.67,41.20,0.00,22.76,63.96,3.32592
2020-4-5 07:32:15,Apr,2020,"Apr, 2020",6041.67,40.53,0.00,23.64,64.17,3.33684
2020-5-7 15:41:23,May,2020,"May, 2020",6041.67,41.59,0.00,29.14,70.73,3.67796
2020-6-30 00:18:17,Jun,2020,"Jun, 2020",6041.67,31.80,0.00,22.33,54.13,2.81476
2020-7-16 05:47:29,Jul,2020,"Jul, 2020",6041.67,33.25,0.00,33.67,66.92,3.47984
2020-8-20 12:34:06,Aug,2020,"Aug, 2020",6041.67,22.49,0.00,52.71,75.20,3.9104
2020-9-25 00:35:00,Sep,2020,"Sep, 2020",6041.67,35.56,0.00,55.44,91.00,4.732
2020-10-11 18:28:29,Oct,2020,"Oct, 2020",6041.67,38.27,0.00,53.94,92.21,4.79492
2020-11-5 22:46:09,Nov,2020,"Nov, 2020",6041.67,38.27,0.00,53.94,92.21,4.79492
2020-12-6 00:31:14,Dec,2020,"Dec, 2020",6041.67,44.27,0.00,17.48,61.75,3.211
2021-1-13 00:40:00,Jan,2021,"Jan, 2021",6141.52,48.76,0.00,17.3,66.06,3.43512
2021-2-15 08:45:30,Feb,2021,"Feb, 2021",6141.52,46.21,0.00,19.26,65.47,3.40444
2021-3-2 07:36:35,Mar,2021,"Mar, 2021",6141.52,55.25,0.00,22.67,77.92,4.05184
2021-4-4 21:25:28,Apr,2021,"Apr, 2021",6141.52,56.47,0.00,18.66,75.13,3.90676
2021-5-8 12:09:17,May,2021,"May, 2021",6141.52,55.76,0.00,26.42,82.18,4.27336
2021-6-7 23:06:56,Jun,2021,"Jun, 2021",6141.52,41.48,0.00,40,81.48,4.23696
2021-7-20 21:41:40,Jul,2021,"Jul, 2021",6141.52,40.06,0.00,54.42,94.48,4.91296
2021-8-18 12:36:27,Aug,2021,"Aug, 2021",6141.52,46.64,0.00,69.56,116.20,6.0424
2021-9-19 08:18:44,Sep,2021,"Sep, 2021",6141.52,41.91,0.00,63.83,105.74,5.49848
2021-10-3 18:13:41,Oct,2021,"Oct, 2021",6141.52,52.52,0.00,63.37,115.89,6.02628
2021-11-9 23:40:25,Nov,2021,"Nov, 2021",6141.52,45.45,0.00,40.38,85.83,4.46316
2021-12-11 16:44:46,Dec,2021,"Dec, 2021",6141.52,44.96,0.00,28.41,73.37,3.81524
2022-1-27 15:56:39,Jan,2022,"Jan, 2022",5465.03,51.58,0.00,25.54,77.12,4.01024
2022-2-3 00:41:19,Feb,2022,"Feb, 2022",5465.03,60.91,0.00,22.26,83.17,4.32484
2022-3-8 01:30:50,Mar,2022,"Mar, 2022",5465.03,65.98,0.00,24.52,90.50,4.706
2022-4-12 21:15:02,Apr,2022,"Apr, 2022",5465.03,61.61,0.00,23.02,84.63,4.40076
2022-5-20 13:49:03,May,2022,"May, 2022",5465.03,67.39,0.00,22.87,90.26,4.69352
2022-6-18 13:16:58,Jun,2022,"Jun, 2022",5465.03,51.50,0.00,12.21,63.71,3.31292
2022-7-25 15:36:11,Jul,2022,"Jul, 2022",5465.03,45.69,0.00,59.22,104.91,5.45532
2022-8-13 16:11:15,Aug,2022,"Aug, 2022",5465.03,47.45,0.00,69.25,116.70,6.0684
2022-9-3 23:57:37,Sep,2022,"Sep, 2022",5465.03,54.08,0.00,73.65,127.73,6.64196
2022-10-14 17:15:02,Oct,2022,"Oct, 2022",5465.03,59.25,0.00,75.82,135.07,7.02364
2022-11-6 08:04:32,Nov,2022,"Nov, 2022",5465.03,61.95,0.00,39.47,101.42,5.27384
2022-12-10 23:20:57,Dec,2022,"Dec, 2022",5465.03,60.28,0.00,28.61,88.89,4.62228
