Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-1 19:38:11,Apr,2018,"Apr, 2018",221.58,0.08,0.00,0,0.08,0.00416
2018-5-23 10:55:32,May,2018,"May, 2018",221.58,0.17,0.00,0,0.17,0.00884
2018-6-25 00:35:13,Jun,2018,"Jun, 2018",221.58,0.27,0.00,0,0.27,0.01404
2018-7-16 09:44:21,Jul,2018,"Jul, 2018",221.58,0.21,0.00,0,0.21,0.01092
2018-8-25 07:15:35,Aug,2018,"Aug, 2018",221.58,0.20,0.00,0,0.20,0.0104
2018-9-27 07:18:14,Sep,2018,"Sep, 2018",221.58,0.27,0.00,0,0.27,0.01404
2018-10-5 22:20:18,Oct,2018,"Oct, 2018",221.58,0.23,0.00,0,0.23,0.01196
2018-11-29 12:48:49,Nov,2018,"Nov, 2018",221.58,0.23,0.00,0,0.23,0.01196
2018-12-23 12:11:33,Dec,2018,"Dec, 2018",221.58,0.22,0.00,0,0.22,0.01144
2019-1-15 14:46:59,Jan,2019,"Jan, 2019",234.68,0.23,0.00,0,0.23,0.01196
2019-2-11 12:43:06,Feb,2019,"Feb, 2019",234.68,0.23,0.00,0,0.23,0.01196
2019-3-18 00:04:05,Mar,2019,"Mar, 2019",234.68,0.24,0.00,0,0.24,0.01248
2019-4-28 06:36:59,Apr,2019,"Apr, 2019",234.68,0.27,0.00,0,0.27,0.01404
2019-5-22 23:12:44,May,2019,"May, 2019",234.68,0.26,0.00,0,0.26,0.01352
2019-6-2 17:24:22,Jun,2019,"Jun, 2019",234.68,0.27,0.00,0,0.27,0.01404
2019-7-15 02:54:24,Jul,2019,"Jul, 2019",234.68,0.37,0.00,0,0.37,0.01924
2019-8-25 13:31:56,Aug,2019,"Aug, 2019",234.68,0.37,0.00,0,0.37,0.01924
