Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-29 21:26:21,Apr,2018,"Apr, 2018",4139.95,149.55,0.00,92.37,241.92,12.57984
2018-5-19 13:36:08,May,2018,"May, 2018",4139.95,135.42,0.00,69.2,204.62,10.64024
2018-6-28 14:57:20,Jun,2018,"Jun, 2018",4139.95,180.25,0.00,64.15,244.40,12.7088
2018-7-22 11:41:58,Jul,2018,"Jul, 2018",4139.95,119.50,0.00,69.66,189.16,9.83632
2018-8-11 06:53:46,Aug,2018,"Aug, 2018",4139.95,130.71,0.00,19.02,149.73,7.78596
2018-9-15 04:41:34,Sep,2018,"Sep, 2018",4139.95,119.88,0.00,46.81,166.69,8.66788
2018-10-5 14:11:10,Oct,2018,"Oct, 2018",4139.95,117.84,0.00,45.71,163.55,8.5046
2018-11-30 18:10:59,Nov,2018,"Nov, 2018",4139.95,96.48,0.00,88.17,184.65,9.6018
2018-12-1 20:55:42,Dec,2018,"Dec, 2018",4139.95,98.04,0.00,112.75,210.79,10.96108
2019-1-7 04:42:44,Jan,2019,"Jan, 2019",4363.67,94.35,0.00,122.22,216.57,11.26164
2019-2-2 06:22:54,Feb,2019,"Feb, 2019",4363.67,104.34,0.00,90.78,195.12,10.14624
2019-3-26 04:41:28,Mar,2019,"Mar, 2019",4363.67,146.54,0.00,131.46,278.00,14.456
2019-4-26 16:42:14,Apr,2019,"Apr, 2019",4363.67,141.73,0.00,87.85,229.58,11.93816
2019-5-26 10:25:36,May,2019,"May, 2019",4363.67,152.20,2.54,130.56,285.30,14.8356
2019-6-3 22:21:33,Jun,2019,"Jun, 2019",4363.67,145.13,14.36,129.23,288.72,15.01344
2019-7-27 17:23:03,Jul,2019,"Jul, 2019",4363.67,118.30,0.00,112.87,231.17,12.02084
2019-8-26 12:34:29,Aug,2019,"Aug, 2019",4363.67,124.46,0.00,106.68,231.14,12.01928
2019-9-1 07:54:22,Sep,2019,"Sep, 2019",4363.67,115.72,0.00,111.76,227.48,11.82896
2019-10-11 18:27:31,Oct,2019,"Oct, 2019",4363.67,109.38,0.00,68.52,177.90,9.2508
2019-11-3 02:12:41,Nov,2019,"Nov, 2019",4363.67,83.77,0.00,70.39,154.16,8.01632
2019-12-11 11:18:50,Dec,2019,"Dec, 2019",4363.67,55.39,0.00,126,181.39,9.43228
2020-1-24 21:11:29,Jan,2020,"Jan, 2020",4312.33,82.46,0.00,143.52,225.98,11.75096
2020-2-2 16:44:23,Feb,2020,"Feb, 2020",4312.33,114.06,0.00,165.42,279.48,14.53296
2020-3-23 20:35:03,Mar,2020,"Mar, 2020",4312.33,115.63,0.00,111.48,227.11,11.80972
2020-4-16 03:30:41,Apr,2020,"Apr, 2020",4312.33,137.98,0.00,85.11,223.09,11.60068
2020-5-14 02:40:25,May,2020,"May, 2020",4312.33,135.24,0.00,126.66,261.90,13.6188
2020-6-29 05:46:35,Jun,2020,"Jun, 2020",4312.33,128.87,0.00,131.97,260.84,13.56368
2020-7-9 04:00:13,Jul,2020,"Jul, 2020",4312.33,130.92,0.00,132.36,263.28,13.69056
2020-8-6 11:53:02,Aug,2020,"Aug, 2020",4312.33,116.86,0.00,136.05,252.91,13.15132
2020-9-29 16:55:22,Sep,2020,"Sep, 2020",4312.33,119.15,0.00,118.24,237.39,12.34428
2020-10-7 13:58:43,Oct,2020,"Oct, 2020",4312.33,122.08,0.00,117.92,240.00,12.48
2020-11-30 09:07:50,Nov,2020,"Nov, 2020",4312.33,78.31,0.00,118.03,196.34,10.20968
2020-12-25 15:38:08,Dec,2020,"Dec, 2020",4312.33,81.52,0.00,160.7,242.22,12.59544
2021-1-2 00:43:42,Jan,2021,"Jan, 2021",4408.80,74.10,0.00,139.65,213.75,11.115
2021-2-30 01:05:42,Feb,2021,"Feb, 2021",4408.80,105.24,0.00,126.75,231.99,12.06348
2021-3-24 13:35:42,Mar,2021,"Mar, 2021",4408.80,126.22,0.00,114.55,240.77,12.52004
2021-4-3 23:45:54,Apr,2021,"Apr, 2021",4408.80,144.27,0.00,77.22,221.49,11.51748
2021-5-26 18:59:29,May,2021,"May, 2021",4408.80,129.36,0.00,99.47,228.83,11.89916
2021-6-15 02:01:34,Jun,2021,"Jun, 2021",4408.80,137.92,0.00,215.05,352.97,18.35444
