Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-24 23:23:18,Apr,2018,"Apr, 2018",5266.05,393.82,552.54,28.68,975.04,50.70208
2018-5-4 18:09:09,May,2018,"May, 2018",5266.05,412.92,587.60,26.19,1026.71,53.38892
2018-6-28 19:36:48,Jun,2018,"Jun, 2018",5266.05,355.74,1035.61,27.7,1419.05,73.7906
2018-7-14 04:40:52,Jul,2018,"Jul, 2018",5266.05,373.24,950.36,23.99,1347.59,70.07468
2018-8-25 21:14:00,Aug,2018,"Aug, 2018",5266.05,380.79,910.12,22.3,1313.21,68.28692
2018-9-17 04:05:35,Sep,2018,"Sep, 2018",5266.05,404.60,600.53,19.98,1025.11,53.30572
2018-10-13 22:37:05,Oct,2018,"Oct, 2018",5266.05,394.54,209.39,32.69,636.62,33.10424
2018-11-23 08:23:44,Nov,2018,"Nov, 2018",5266.05,447.55,184.31,31.39,663.25,34.489
2018-12-6 06:43:18,Dec,2018,"Dec, 2018",5266.05,461.47,283.01,33.34,777.82,40.44664
2019-1-1 05:32:25,Jan,2019,"Jan, 2019",5650.45,448.47,312.56,31.57,792.60,41.2152
2019-2-10 21:46:27,Feb,2019,"Feb, 2019",5650.45,493.06,385.01,34.46,912.53,47.45156
2019-3-1 01:33:07,Mar,2019,"Mar, 2019",5650.45,543.15,392.77,37.99,973.91,50.64332
2019-4-5 18:17:32,Apr,2019,"Apr, 2019",5650.45,527.89,414.20,34.4,976.49,50.77748
2019-5-17 01:30:56,May,2019,"May, 2019",5650.45,609.27,600.04,33.47,1242.78,64.62456
2019-6-4 23:49:07,Jun,2019,"Jun, 2019",5650.45,609.74,723.94,28.6,1362.28,70.83856
2019-7-7 17:15:50,Jul,2019,"Jul, 2019",5650.45,525.37,1152.64,29.22,1707.23,88.77596
2019-8-25 23:22:38,Aug,2019,"Aug, 2019",5650.45,529.64,622.76,27.32,1179.72,61.34544
2019-9-13 20:38:17,Sep,2019,"Sep, 2019",5650.45,617.03,350.10,31.18,998.31,51.91212
2019-10-1 22:41:38,Oct,2019,"Oct, 2019",5650.45,702.47,210.25,29.47,942.19,48.99388
2019-11-5 21:22:57,Nov,2019,"Nov, 2019",5650.45,563.77,431.08,34.86,1029.71,53.54492
2019-12-29 19:47:48,Dec,2019,"Dec, 2019",5650.45,657.74,408.90,37.72,1104.36,57.42672
2020-1-25 15:36:19,Jan,2020,"Jan, 2020",6010.27,701.08,399.49,41.3,1141.87,59.37724
2020-2-27 07:10:41,Feb,2020,"Feb, 2020",6010.27,839.21,398.82,32.38,1270.41,66.06132
2020-3-25 19:53:00,Mar,2020,"Mar, 2020",6010.27,893.35,443.60,39.8,1376.75,71.591
2020-4-19 15:46:38,Apr,2020,"Apr, 2020",6010.27,899.43,467.33,35.21,1401.97,72.90244
2020-5-15 08:25:27,May,2020,"May, 2020",6010.27,962.36,682.14,34.69,1679.19,87.31788
2020-6-19 14:57:35,Jun,2020,"Jun, 2020",6010.27,905.55,842.58,32.37,1780.50,92.586
2020-7-2 15:00:32,Jul,2020,"Jul, 2020",6010.27,887.27,762.89,38.2,1688.36,87.79472
2020-8-17 17:58:44,Aug,2020,"Aug, 2020",6010.27,791.56,593.31,35.51,1420.38,73.85976
2020-9-9 23:44:12,Sep,2020,"Sep, 2020",6010.27,835.37,284.98,32.85,1153.20,59.9664
2020-10-8 01:50:17,Oct,2020,"Oct, 2020",6010.27,886.46,264.17,32.95,1183.58,61.54616
