Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-22 07:46:52,Apr,2018,"Apr, 2018",28.64,0.00,0.00,2.14,2.14,0.11128
2018-5-9 08:43:42,May,2018,"May, 2018",28.64,0.00,0.00,4.68,4.68,0.24336
2018-6-12 00:49:14,Jun,2018,"Jun, 2018",28.64,0.00,0.00,0.93,0.93,0.04836
2018-7-21 04:23:17,Jul,2018,"Jul, 2018",28.64,0.00,0.00,0.79,0.79,0.04108
2018-8-6 07:31:03,Aug,2018,"Aug, 2018",28.64,0.00,0.00,0.73,0.73,0.03796
2018-9-27 12:22:44,Sep,2018,"Sep, 2018",28.64,0.00,0.00,6.14,6.14,0.31928
2018-10-23 20:31:37,Oct,2018,"Oct, 2018",28.64,0.00,0.00,3.64,3.64,0.18928
2018-11-27 12:12:18,Nov,2018,"Nov, 2018",28.64,0.00,0.00,3.29,3.29,0.17108
2018-12-2 16:39:49,Dec,2018,"Dec, 2018",28.64,0.00,0.00,2.3,2.30,0.1196
2019-1-3 19:12:13,Jan,2019,"Jan, 2019",31.73,0.00,0.00,1.41,1.41,0.07332
2019-2-17 13:04:57,Feb,2019,"Feb, 2019",31.73,0.00,0.00,1.01,1.01,0.05252
2019-3-9 06:09:36,Mar,2019,"Mar, 2019",31.73,0.00,0.00,1.04,1.04,0.05408
2019-4-18 03:11:55,Apr,2019,"Apr, 2019",31.73,0.00,0.00,2.32,2.32,0.12064
2019-5-27 13:49:16,May,2019,"May, 2019",31.73,0.00,0.00,3.9,3.90,0.2028
2019-6-16 01:21:12,Jun,2019,"Jun, 2019",31.73,0.00,0.00,5.34,5.34,0.27768
2019-7-20 12:17:17,Jul,2019,"Jul, 2019",31.73,0.00,0.00,6.2,6.20,0.3224
2019-8-19 17:14:58,Aug,2019,"Aug, 2019",31.73,0.00,0.00,6.63,6.63,0.34476
2019-9-16 01:29:12,Sep,2019,"Sep, 2019",31.73,0.00,0.00,5.81,5.81,0.30212
2019-10-27 05:51:35,Oct,2019,"Oct, 2019",31.73,0.00,0.00,6.92,6.92,0.35984
2019-11-7 21:25:20,Nov,2019,"Nov, 2019",31.73,0.00,0.00,6.92,6.92,0.35984
2019-12-6 08:33:30,Dec,2019,"Dec, 2019",31.73,0.00,0.00,6.92,6.92,0.35984
2020-1-25 14:03:58,Jan,2020,"Jan, 2020",34.28,0.00,0.00,6.92,6.92,0.35984
2020-2-4 00:46:01,Feb,2020,"Feb, 2020",34.28,0.00,0.00,1.24,1.24,0.06448
2020-3-26 07:35:04,Mar,2020,"Mar, 2020",34.28,0.00,0.00,1.5,1.50,0.078
2020-4-3 10:27:30,Apr,2020,"Apr, 2020",34.28,0.00,0.00,2.14,2.14,0.11128
2020-5-28 11:45:02,May,2020,"May, 2020",34.28,0.00,0.00,3.72,3.72,0.19344
2020-6-27 04:14:17,Jun,2020,"Jun, 2020",34.28,0.00,0.00,5.8,5.80,0.3016
2020-7-19 20:25:34,Jul,2020,"Jul, 2020",34.28,0.00,0.00,5.41,5.41,0.28132
2020-8-7 00:17:47,Aug,2020,"Aug, 2020",34.28,0.00,0.00,5.41,5.41,0.28132
2020-9-3 20:44:56,Sep,2020,"Sep, 2020",34.28,0.00,0.00,5.41,5.41,0.28132
2020-10-19 18:34:13,Oct,2020,"Oct, 2020",34.28,0.00,0.00,5.41,5.41,0.28132
2020-11-7 06:22:39,Nov,2020,"Nov, 2020",34.28,0.00,0.00,5.41,5.41,0.28132
2020-12-4 17:38:51,Dec,2020,"Dec, 2020",34.28,0.00,0.00,5.41,5.41,0.28132
2021-1-17 02:01:03,Jan,2021,"Jan, 2021",34.56,0.00,0.00,5.41,5.41,0.28132
2021-2-25 12:45:51,Feb,2021,"Feb, 2021",34.56,0.00,0.00,5.41,5.41,0.28132
2021-3-27 07:02:35,Mar,2021,"Mar, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-4-13 12:45:39,Apr,2021,"Apr, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-5-9 16:53:21,May,2021,"May, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-6-5 21:02:39,Jun,2021,"Jun, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-7-23 23:57:03,Jul,2021,"Jul, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-8-23 08:25:58,Aug,2021,"Aug, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-9-4 14:24:11,Sep,2021,"Sep, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-10-25 21:53:25,Oct,2021,"Oct, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-11-12 03:17:24,Nov,2021,"Nov, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2021-12-25 17:43:29,Dec,2021,"Dec, 2021",34.56,0.00,0.00,1.03,1.03,0.05356
2022-1-2 23:14:13,Jan,2022,"Jan, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-2-12 11:29:54,Feb,2022,"Feb, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-3-7 10:27:40,Mar,2022,"Mar, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-4-26 21:51:35,Apr,2022,"Apr, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-5-4 11:41:44,May,2022,"May, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-6-2 18:48:06,Jun,2022,"Jun, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-7-25 10:37:01,Jul,2022,"Jul, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-8-27 01:28:30,Aug,2022,"Aug, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-9-24 01:28:36,Sep,2022,"Sep, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-10-8 06:43:29,Oct,2022,"Oct, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-11-12 07:33:12,Nov,2022,"Nov, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
2022-12-5 02:01:57,Dec,2022,"Dec, 2022",32.30,0.00,0.00,1.03,1.03,0.05356
