Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-10 15:58:04,Apr,2018,"Apr, 2018",25064.6144,1755.45,1165.94,277.47,3198.86,166.34072
2018-5-26 11:59:40,May,2018,"May, 2018",25064.6144,1840.76,1371.57,202.94,3415.27,177.59404
2018-6-15 08:03:27,Jun,2018,"Jun, 2018",25064.6144,1726.31,3827.89,343.26,5897.46,306.66792
2018-7-11 03:53:53,Jul,2018,"Jul, 2018",25064.6144,1493.25,6403.67,537.34,8434.26,438.58152
2018-8-13 19:56:01,Aug,2018,"Aug, 2018",25064.6144,1559.24,7129.62,698.41,9387.27,488.13804
2018-9-5 11:48:03,Sep,2018,"Sep, 2018",25064.6144,1935.97,3708.99,613.86,6258.82,325.45864
2018-10-5 02:46:35,Oct,2018,"Oct, 2018",25064.6144,1994.96,1864.79,554.36,4414.11,229.53372
2018-11-18 04:38:12,Nov,2018,"Nov, 2018",25064.6144,1844.44,1231.99,686.37,3762.80,195.6656
2018-12-12 07:00:44,Dec,2018,"Dec, 2018",25064.6144,1759.76,1163.33,855.83,3778.92,196.50384
2019-1-1 09:43:24,Jan,2019,"Jan, 2019",26973.93872,2053.76,1296.29,819.66,4169.71,216.82492
2019-2-22 12:58:03,Feb,2019,"Feb, 2019",26973.93872,2086.62,1384.07,715.97,4186.66,217.70632
2019-3-27 13:38:38,Mar,2019,"Mar, 2019",26973.93872,2472.62,1083.57,466.3,4022.49,209.16948
2019-4-29 18:38:49,Apr,2019,"Apr, 2019",26973.93872,2358.89,1317.74,278.35,3954.98,205.65896
2019-5-23 10:53:18,May,2019,"May, 2019",26973.93872,2402.74,3233.02,196.84,5832.60,303.2952
2019-6-26 22:55:10,Jun,2019,"Jun, 2019",26973.93872,2136.11,5003.88,149.64,7289.63,379.06076
2019-7-16 13:04:55,Jul,2019,"Jul, 2019",26973.93872,1889.86,5914.96,353.48,8158.30,424.2316
2019-8-20 20:22:16,Aug,2019,"Aug, 2019",26973.93872,2111.37,5820.06,567.15,8498.58,441.92616
2019-9-23 19:53:00,Sep,2019,"Sep, 2019",26973.93872,2054.69,3396.13,672.57,6123.39,318.41628
2019-10-14 07:24:03,Oct,2019,"Oct, 2019",26973.93872,2074.86,852.98,656.95,3584.79,186.40908
2019-11-17 22:13:27,Nov,2019,"Nov, 2019",26973.93872,2305.09,1113.93,730.62,4149.64,215.78128
2019-12-5 09:44:26,Dec,2019,"Dec, 2019",26973.93872,2228.86,1552.51,880.63,4662.00,242.424
2020-1-8 00:18:22,Jan,2020,"Jan, 2020",27660.64222,2712.82,1295.86,787.95,4796.63,249.42476
