Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-27 04:38:52,Apr,2018,"Apr, 2018",7876.26,254.04,391.28,76.66,721.98,37.54296
2018-5-9 03:04:15,May,2018,"May, 2018",7876.26,268.37,332.54,23.79,624.70,32.4844
2018-6-28 07:04:53,Jun,2018,"Jun, 2018",7876.26,312.00,1250.72,22.14,1584.86,82.41272
2018-7-7 22:18:53,Jul,2018,"Jul, 2018",7876.26,272.75,2603.54,53.57,2929.86,152.35272
2018-8-3 08:32:35,Aug,2018,"Aug, 2018",7876.26,281.18,3260.38,66.49,3608.05,187.6186
2018-9-17 14:41:28,Sep,2018,"Sep, 2018",7876.26,316.03,2370.59,113.15,2799.77,145.58804
2018-10-13 07:21:02,Oct,2018,"Oct, 2018",7876.26,259.06,890.35,65.61,1215.02,63.18104
2018-11-5 00:00:14,Nov,2018,"Nov, 2018",7876.26,258.88,286.92,43.92,589.72,30.66544
2018-12-30 20:58:43,Dec,2018,"Dec, 2018",7876.26,301.66,272.05,57.65,631.36,32.83072
2019-1-10 02:52:26,Jan,2019,"Jan, 2019",8188.09,326.80,373.64,62.94,763.38,39.69576
2019-2-26 01:07:07,Feb,2019,"Feb, 2019",8188.09,322.43,336.20,95.24,753.87,39.20124
2019-3-22 00:10:25,Mar,2019,"Mar, 2019",8188.09,381.32,232.63,61.98,675.93,35.14836
2019-4-23 17:40:18,Apr,2019,"Apr, 2019",8188.09,400.11,390.61,53.48,844.20,43.8984
2019-5-14 14:43:31,May,2019,"May, 2019",8188.09,367.71,1638.33,62.53,2068.57,107.56564
2019-6-8 02:45:27,Jun,2019,"Jun, 2019",8188.09,386.05,2555.63,42.56,2984.24,155.18048
2019-7-11 05:16:57,Jul,2019,"Jul, 2019",8188.09,374.75,2615.04,49.44,3039.23,158.03996
2019-8-7 07:06:39,Aug,2019,"Aug, 2019",8188.09,409.20,2568.06,77.16,3054.42,158.82984
2019-9-16 11:15:34,Sep,2019,"Sep, 2019",8188.09,396.85,1570.67,75.9,2043.42,106.25784
2019-10-6 22:13:42,Oct,2019,"Oct, 2019",8188.09,398.71,276.50,62.41,737.62,38.35624
2019-11-16 20:20:47,Nov,2019,"Nov, 2019",8188.09,322.09,348.11,62.93,733.13,38.12276
2019-12-29 12:46:15,Dec,2019,"Dec, 2019",8188.09,374.78,597.59,54.96,1027.33,53.42116
2020-1-10 02:15:12,Jan,2020,"Jan, 2020",8632.03,439.66,572.88,58.91,1071.45,55.7154
2020-2-14 19:55:59,Feb,2020,"Feb, 2020",8632.03,482.24,682.14,60.27,1224.65,63.6818
2020-3-23 00:35:46,Mar,2020,"Mar, 2020",8632.03,594.48,311.36,29.8,935.64,48.65328
2020-4-12 06:50:12,Apr,2020,"Apr, 2020",8632.03,516.29,305.56,17.53,839.38,43.64776
2020-5-24 12:27:39,May,2020,"May, 2020",8632.03,520.17,1128.60,53.54,1702.31,88.52012
2020-6-26 22:34:06,Jun,2020,"Jun, 2020",8632.03,512.30,2500.27,77.52,3090.09,160.68468
2020-7-17 21:31:25,Jul,2020,"Jul, 2020",8632.03,506.61,2047.80,64.35,2618.76,136.17552
2020-8-29 09:45:57,Aug,2020,"Aug, 2020",8632.03,536.89,2500.79,126.87,3164.55,164.5566
2020-9-29 18:26:31,Sep,2020,"Sep, 2020",8632.03,455.70,2127.03,90.34,2673.07,138.99964
2020-10-29 22:06:02,Oct,2020,"Oct, 2020",8632.03,539.90,1747.69,59.85,2347.44,122.06688
2020-11-30 11:06:25,Nov,2020,"Nov, 2020",8632.03,444.85,339.65,47.64,832.14,43.27128
2020-12-7 22:29:29,Dec,2020,"Dec, 2020",8632.03,403.76,478.42,88.52,970.70,50.4764
2021-1-28 10:00:51,Jan,2021,"Jan, 2021",8512.77,437.49,516.37,110.03,1063.89,55.32228
2021-2-15 06:00:04,Feb,2021,"Feb, 2021",8512.77,586.65,489.92,119.66,1196.23,62.20396
2021-3-21 12:21:32,Mar,2021,"Mar, 2021",8512.77,654.88,382.83,122.72,1160.43,60.34236
2021-4-13 05:12:46,Apr,2021,"Apr, 2021",8512.77,591.63,546.22,81.72,1219.57,63.41764
2021-5-14 07:39:27,May,2021,"May, 2021",8512.77,581.75,1507.05,59.01,2147.81,111.68612
2021-6-25 01:35:41,Jun,2021,"Jun, 2021",8512.77,609.73,2497.08,47.83,3154.64,164.04128
2021-7-10 01:05:24,Jul,2021,"Jul, 2021",8512.77,607.24,2851.49,76.87,3535.60,183.8512
2021-8-19 09:44:17,Aug,2021,"Aug, 2021",8512.77,613.10,2767.95,102.63,3483.68,181.15136
2021-9-17 00:58:40,Sep,2021,"Sep, 2021",8512.77,645.21,2197.20,86.09,2928.50,152.282
2021-10-6 14:01:52,Oct,2021,"Oct, 2021",8512.77,542.54,907.26,68.03,1517.83,78.92716
2021-11-17 19:57:29,Nov,2021,"Nov, 2021",8512.77,400.70,449.19,85.71,935.60,48.6512
2021-12-22 07:50:05,Dec,2021,"Dec, 2021",8512.77,596.74,492.82,93.63,1183.19,61.52588
2022-1-12 09:15:51,Jan,2022,"Jan, 2022",8302.29,596.74,518.09,93.63,1208.46,62.83992
