Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-8 16:46:35,Apr,2018,"Apr, 2018",4486.60,558.79,15.37,33.34,607.50,31.59
2018-5-22 07:47:16,May,2018,"May, 2018",4486.60,578.91,14.44,30.34,623.69,32.43188
2018-6-14 10:36:46,Jun,2018,"Jun, 2018",4486.60,494.98,31.09,27.62,553.69,28.79188
2018-7-26 17:55:03,Jul,2018,"Jul, 2018",4486.60,400.38,46.04,26.08,472.50,24.57
2018-8-24 06:39:03,Aug,2018,"Aug, 2018",4486.60,393.87,42.25,22.58,458.70,23.8524
2018-9-16 20:51:51,Sep,2018,"Sep, 2018",4486.60,517.56,14.80,28.7,561.06,29.17512
2018-10-1 20:02:13,Oct,2018,"Oct, 2018",4486.60,584.12,18.09,39.34,641.55,33.3606
2018-11-7 17:06:38,Nov,2018,"Nov, 2018",4486.60,540.23,18.46,35.56,594.25,30.901
2018-12-4 02:46:19,Dec,2018,"Dec, 2018",4486.60,463.07,18.50,61.97,543.54,28.26408
2019-1-29 23:03:47,Jan,2019,"Jan, 2019",5136.67,560.67,18.31,54.42,633.40,32.9368
2019-2-3 19:46:16,Feb,2019,"Feb, 2019",5136.67,575.61,19.71,53.64,648.96,33.74592
2019-3-2 20:10:40,Mar,2019,"Mar, 2019",5136.67,644.09,17.77,45.33,707.19,36.77388
2019-4-6 22:15:41,Apr,2019,"Apr, 2019",5136.67,607.54,6.23,15.66,629.43,32.73036
2019-5-12 06:48:26,May,2019,"May, 2019",5136.67,621.89,11.92,10.97,644.78,33.52856
2019-6-18 04:50:59,Jun,2019,"Jun, 2019",5136.67,540.91,24.95,9.74,575.60,29.9312
2019-7-8 15:38:10,Jul,2019,"Jul, 2019",5136.67,462.41,38.52,19.36,520.29,27.05508
2019-8-1 22:22:02,Aug,2019,"Aug, 2019",5136.67,458.38,36.09,23.41,517.88,26.92976
2019-9-2 17:04:58,Sep,2019,"Sep, 2019",5136.67,420.10,22.26,18.75,461.11,23.97772
2019-10-21 18:28:47,Oct,2019,"Oct, 2019",5136.67,417.72,8.31,19.89,445.92,23.18784
2019-11-27 02:33:04,Nov,2019,"Nov, 2019",5136.67,512.27,14.61,18.92,545.80,28.3816
2019-12-15 04:58:12,Dec,2019,"Dec, 2019",5136.67,471.75,20.46,42.52,534.73,27.80596
2020-1-30 07:35:17,Jan,2020,"Jan, 2020",5178.62,530.77,19.20,43.28,593.25,30.849
2020-2-18 20:19:44,Feb,2020,"Feb, 2020",5178.62,570.24,20.25,40.78,631.27,32.82604
2020-3-18 02:59:12,Mar,2020,"Mar, 2020",5178.62,649.94,15.47,28.81,694.22,36.09944
2020-4-4 15:40:05,Apr,2020,"Apr, 2020",5178.62,590.56,13.93,21.76,626.25,32.565
2020-5-26 13:33:08,May,2020,"May, 2020",5178.62,627.79,14.81,23.31,665.91,34.62732
2020-6-4 22:30:51,Jun,2020,"Jun, 2020",5178.62,502.21,25.34,24.98,552.53,28.73156
2020-7-25 02:22:22,Jul,2020,"Jul, 2020",5178.62,482.00,19.47,28.91,530.38,27.57976
2020-8-29 05:08:36,Aug,2020,"Aug, 2020",5178.62,402.55,35.76,19.66,457.97,23.81444
2020-9-11 17:51:42,Sep,2020,"Sep, 2020",5178.62,441.57,13.29,25.76,480.62,24.99224
2020-10-26 18:07:20,Oct,2020,"Oct, 2020",5178.62,441.57,13.29,25.76,480.62,24.99224
2020-11-19 02:52:34,Nov,2020,"Nov, 2020",5178.62,511.79,21.26,24.39,557.44,28.98688
2020-12-12 08:14:15,Dec,2020,"Dec, 2020",5178.62,585.99,17.67,49.14,652.80,33.9456
2021-1-13 06:45:19,Jan,2021,"Jan, 2021",5075.44,539.21,15.07,46.28,600.56,31.22912
2021-2-20 11:02:29,Feb,2021,"Feb, 2021",5075.44,571.38,14.57,34.44,620.39,32.26028
2021-3-9 01:22:15,Mar,2021,"Mar, 2021",5075.44,654.41,16.20,37.03,707.64,36.79728
2021-4-19 02:22:47,Apr,2021,"Apr, 2021",5075.44,602.24,11.90,31.49,645.63,33.57276
2021-5-11 22:42:21,May,2021,"May, 2021",5075.44,620.61,22.04,33.76,676.41,35.17332
2021-6-23 05:14:46,Jun,2021,"Jun, 2021",5075.44,522.44,36.41,35.95,594.80,30.9296
2021-7-16 11:55:09,Jul,2021,"Jul, 2021",5075.44,438.12,41.15,37.77,517.04,26.88608
2021-8-24 20:36:02,Aug,2021,"Aug, 2021",5075.44,478.74,26.74,42.63,548.11,28.50172
2021-9-5 13:04:08,Sep,2021,"Sep, 2021",5075.44,478.74,26.74,42.63,548.11,28.50172
2021-10-29 21:03:31,Oct,2021,"Oct, 2021",5075.44,570.74,12.00,50.12,632.86,32.90872
2021-11-16 04:55:34,Nov,2021,"Nov, 2021",5075.44,429.20,22.60,34.25,486.05,25.2746
2021-12-4 00:50:15,Dec,2021,"Dec, 2021",5075.44,538.87,18.19,60.1,617.16,32.09232
2022-1-20 20:23:44,Jan,2022,"Jan, 2022",4969.34,568.90,20.33,57.89,647.12,33.65024
2022-2-8 00:24:21,Feb,2022,"Feb, 2022",4969.34,616.66,20.18,53.77,690.61,35.91172
2022-3-10 03:36:24,Mar,2022,"Mar, 2022",4969.34,671.68,17.40,52.93,742.01,38.58452
2022-4-24 04:45:14,Apr,2022,"Apr, 2022",4969.34,601.94,15.97,31.7,649.61,33.77972
2022-5-10 03:29:22,May,2022,"May, 2022",4969.34,628.04,25.13,19.88,673.05,34.9986
2022-6-9 03:52:24,Jun,2022,"Jun, 2022",4969.34,559.28,29.01,20.34,608.63,31.64876
2022-7-27 15:33:27,Jul,2022,"Jul, 2022",4969.34,412.77,44.30,23.67,480.74,24.99848
2022-8-19 04:45:12,Aug,2022,"Aug, 2022",4969.34,500.50,34.54,27.8,562.84,29.26768
2022-9-4 14:08:51,Sep,2022,"Sep, 2022",4969.34,478.56,21.65,25.39,525.60,27.3312
2022-10-21 10:49:38,Oct,2022,"Oct, 2022",4969.34,540.86,14.71,37.29,592.86,30.82872
2022-11-28 07:41:40,Nov,2022,"Nov, 2022",4969.34,555.29,18.18,41.51,614.98,31.97896
2022-12-7 16:59:08,Dec,2022,"Dec, 2022",4969.34,525.48,20.07,54.96,600.51,31.22652
