Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-24 19:21:24,Apr,2018,"Apr, 2018",77.33,0.60,0.00,4.34,4.94,0.25688
2018-5-16 11:35:54,May,2018,"May, 2018",77.33,0.60,0.00,3.98,4.58,0.23816
2018-6-5 04:58:31,Jun,2018,"Jun, 2018",77.33,0.50,0.00,2.89,3.39,0.17628
2018-7-23 12:02:37,Jul,2018,"Jul, 2018",77.33,0.55,0.00,13.01,13.56,0.70512
2018-8-10 13:19:12,Aug,2018,"Aug, 2018",77.33,0.57,0.00,12.15,12.72,0.66144
2018-9-29 08:26:41,Sep,2018,"Sep, 2018",77.33,0.54,0.00,3.68,4.22,0.21944
2018-10-19 14:45:19,Oct,2018,"Oct, 2018",77.33,0.56,0.00,6.31,6.87,0.35724
2018-11-25 00:43:35,Nov,2018,"Nov, 2018",77.33,0.68,0.00,3.73,4.41,0.22932
2018-12-9 00:27:46,Dec,2018,"Dec, 2018",77.33,0.56,0.00,4.29,4.85,0.2522
2019-1-29 12:12:48,Jan,2019,"Jan, 2019",79.64,0.69,0.00,5.77,6.46,0.33592
2019-2-13 07:10:51,Feb,2019,"Feb, 2019",79.64,0.60,0.00,4.05,4.65,0.2418
2019-3-29 06:32:00,Mar,2019,"Mar, 2019",79.64,0.69,0.00,2.79,3.48,0.18096
2019-4-16 16:39:51,Apr,2019,"Apr, 2019",79.64,0.61,0.00,2.69,3.30,0.1716
2019-5-5 19:00:53,May,2019,"May, 2019",79.64,0.67,0.00,2.41,3.08,0.16016
2019-6-9 21:15:30,Jun,2019,"Jun, 2019",79.64,0.54,0.00,0.85,1.39,0.07228
2019-7-2 03:28:00,Jul,2019,"Jul, 2019",79.64,0.51,0.00,0.85,1.36,0.07072
2019-8-17 01:40:34,Aug,2019,"Aug, 2019",79.64,0.00,0.00,1.5,1.50,0.078
2019-9-22 13:23:08,Sep,2019,"Sep, 2019",79.64,0.00,0.00,1.77,1.77,0.09204
2019-10-27 10:52:11,Oct,2019,"Oct, 2019",79.64,0.02,0.00,1.61,1.63,0.08476
2019-11-4 17:35:08,Nov,2019,"Nov, 2019",79.64,0.01,0.00,2.72,2.73,0.14196
2019-12-18 17:29:31,Dec,2019,"Dec, 2019",79.64,0.01,0.00,2.72,2.73,0.14196
2020-1-24 22:49:35,Jan,2020,"Jan, 2020",76.18,0.01,0.00,2.72,2.73,0.14196
2020-2-27 05:27:47,Feb,2020,"Feb, 2020",76.18,0.52,0.00,2.72,3.24,0.16848
2020-3-19 18:54:01,Mar,2020,"Mar, 2020",76.18,0.52,0.00,2.11,2.63,0.13676
2020-4-8 05:38:22,Apr,2020,"Apr, 2020",76.18,0.47,0.00,1.94,2.41,0.12532
2020-5-2 13:46:18,May,2020,"May, 2020",76.18,0.78,0.00,0,0.78,0.04056
2020-6-7 09:58:31,Jun,2020,"Jun, 2020",76.18,0.32,0.00,0,0.32,0.01664
2020-7-18 18:50:40,Jul,2020,"Jul, 2020",76.18,0.49,0.00,0,0.49,0.02548
2020-8-30 10:05:58,Aug,2020,"Aug, 2020",76.18,0.50,0.00,0,0.50,0.026
2020-9-27 16:55:08,Sep,2020,"Sep, 2020",76.18,0.49,0.00,0,0.49,0.02548
2020-10-9 11:07:13,Oct,2020,"Oct, 2020",76.18,0.34,0.00,0,0.34,0.01768
2020-11-18 16:15:44,Nov,2020,"Nov, 2020",76.18,0.49,0.00,1.54,2.03,0.10556
2020-12-26 18:52:20,Dec,2020,"Dec, 2020",76.18,0.61,0.00,1.54,2.15,0.1118
2021-1-3 15:59:32,Jan,2021,"Jan, 2021",81.86,0.54,0.00,1.67,2.21,0.11492
2021-2-16 13:26:13,Feb,2021,"Feb, 2021",81.86,0.47,0.00,1.44,1.91,0.09932
2021-3-15 08:23:17,Mar,2021,"Mar, 2021",81.86,0.53,0.00,1.44,1.97,0.10244
2021-4-4 17:55:42,Apr,2021,"Apr, 2021",81.86,0.52,0.00,1.44,1.96,0.10192
2021-5-21 12:58:07,May,2021,"May, 2021",81.86,0.57,0.00,0,0.57,0.02964
2021-6-28 10:56:32,Jun,2021,"Jun, 2021",81.86,0.57,0.00,0,0.57,0.02964
2021-7-1 02:41:10,Jul,2021,"Jul, 2021",81.86,0.37,0.00,0,0.37,0.01924
2021-8-25 06:15:25,Aug,2021,"Aug, 2021",81.86,0.34,0.00,0,0.34,0.01768
2021-9-7 23:10:33,Sep,2021,"Sep, 2021",81.86,0.51,0.00,0,0.51,0.02652
2021-10-13 08:08:55,Oct,2021,"Oct, 2021",81.86,0.46,0.00,0,0.46,0.02392
2021-11-14 22:07:13,Nov,2021,"Nov, 2021",81.86,0.57,0.00,0,0.57,0.02964
2021-12-20 20:21:21,Dec,2021,"Dec, 2021",81.86,0.57,0.00,0,0.57,0.02964
2022-1-2 11:39:22,Jan,2022,"Jan, 2022",78.76,0.57,0.00,0,0.57,0.02964
2022-2-26 10:53:03,Feb,2022,"Feb, 2022",78.76,0.57,0.00,0,0.57,0.02964
2022-3-18 01:25:45,Mar,2022,"Mar, 2022",78.76,0.57,0.00,0,0.57,0.02964
2022-4-23 05:06:36,Apr,2022,"Apr, 2022",78.76,0.59,0.00,0,0.59,0.03068
2022-5-18 14:10:20,May,2022,"May, 2022",78.76,0.53,0.00,0,0.53,0.02756
2022-6-9 02:43:55,Jun,2022,"Jun, 2022",78.76,0.37,0.00,0,0.37,0.01924
2022-7-23 12:28:27,Jul,2022,"Jul, 2022",78.76,0.54,0.00,0,0.54,0.02808
2022-8-29 21:05:59,Aug,2022,"Aug, 2022",78.76,0.56,0.00,0,0.56,0.02912
2022-9-29 14:13:36,Sep,2022,"Sep, 2022",78.76,0.51,0.00,0,0.51,0.02652
2022-10-7 09:08:53,Oct,2022,"Oct, 2022",78.76,0.64,0.00,0,0.64,0.03328
2022-11-1 20:10:17,Nov,2022,"Nov, 2022",78.76,0.64,0.00,0,0.64,0.03328
2022-12-10 13:10:41,Dec,2022,"Dec, 2022",78.76,0.55,0.00,0,0.55,0.0286
