Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-21 04:55:01,Apr,2018,"Apr, 2018",8391.85,106.05,0.00,602.62,708.67,36.85084
2018-5-27 10:40:39,May,2018,"May, 2018",8391.85,111.73,0.00,420.78,532.51,27.69052
2018-6-26 02:08:24,Jun,2018,"Jun, 2018",8391.85,99.58,0.00,184.59,284.17,14.77684
2018-7-28 23:46:12,Jul,2018,"Jul, 2018",8391.85,80.50,0.00,89.67,170.17,8.84884
2018-8-12 04:25:12,Aug,2018,"Aug, 2018",8391.85,78.68,0.00,15.85,94.53,4.91556
2018-9-12 07:08:09,Sep,2018,"Sep, 2018",8391.85,97.84,0.00,26.29,124.13,6.45476
2018-10-8 04:13:37,Oct,2018,"Oct, 2018",8391.85,119.83,0.00,64.82,184.65,9.6018
2018-11-6 21:47:35,Nov,2018,"Nov, 2018",8391.85,101.17,0.00,393.7,494.87,25.73324
2018-12-25 07:41:38,Dec,2018,"Dec, 2018",8391.85,102.38,0.00,694,796.38,41.41176
2019-1-2 06:11:44,Jan,2019,"Jan, 2019",8477.94,96.61,0.00,687.28,783.89,40.76228
2019-2-21 00:26:24,Feb,2019,"Feb, 2019",8477.94,103.44,0.00,615.85,719.29,37.40308
2019-3-8 06:24:09,Mar,2019,"Mar, 2019",8477.94,137.26,0.00,664.31,801.57,41.68164
2019-4-22 04:11:28,Apr,2019,"Apr, 2019",8477.94,123.89,0.00,544.18,668.07,34.73964
2019-5-21 17:58:55,May,2019,"May, 2019",8477.94,145.87,0.00,276.46,422.33,21.96116
2019-6-18 17:49:50,Jun,2019,"Jun, 2019",8477.94,131.06,0.00,93.79,224.85,11.6922
2019-7-30 19:05:44,Jul,2019,"Jul, 2019",8477.94,107.48,0.00,34.34,141.82,7.37464
2019-8-30 08:54:46,Aug,2019,"Aug, 2019",8477.94,107.02,0.00,11.08,118.10,6.1412
2019-9-14 16:35:28,Sep,2019,"Sep, 2019",8477.94,93.17,0.00,10.77,103.94,5.40488
2019-10-26 15:41:06,Oct,2019,"Oct, 2019",8477.94,115.22,0.00,23.11,138.33,7.19316
2019-11-15 20:13:54,Nov,2019,"Nov, 2019",8477.94,108.90,0.00,351.61,460.51,23.94652
2019-12-3 09:21:12,Dec,2019,"Dec, 2019",8477.94,93.35,0.00,613.2,706.55,36.7406
2020-1-26 22:12:04,Jan,2020,"Jan, 2020",8854.53,118.16,0.00,600.58,718.74,37.37448
2020-2-17 08:54:18,Feb,2020,"Feb, 2020",8854.53,149.27,0.00,580.24,729.51,37.93452
2020-3-9 13:47:41,Mar,2020,"Mar, 2020",8854.53,153.66,0.00,556.81,710.47,36.94444
2020-4-5 18:27:36,Apr,2020,"Apr, 2020",8854.53,154.69,0.00,554.79,709.48,36.89296
2020-5-23 22:47:43,May,2020,"May, 2020",8854.53,169.45,0.00,298.85,468.30,24.3516
2020-6-25 10:15:30,Jun,2020,"Jun, 2020",8854.53,127.57,0.00,54.52,182.09,9.46868
2020-7-5 20:18:38,Jul,2020,"Jul, 2020",8854.53,130.02,0.00,58.73,188.75,9.815
2020-8-15 12:37:24,Aug,2020,"Aug, 2020",8854.53,123.35,0.00,30.13,153.48,7.98096
2020-9-22 19:18:15,Sep,2020,"Sep, 2020",8854.53,134.65,0.00,50.26,184.91,9.61532
2020-10-10 16:07:06,Oct,2020,"Oct, 2020",8854.53,148.13,0.00,70.83,218.96,11.38592
2020-11-18 20:38:09,Nov,2020,"Nov, 2020",8854.53,134.61,0.00,400.9,535.51,27.84652
2020-12-10 04:58:33,Dec,2020,"Dec, 2020",8854.53,128.05,0.00,618.56,746.61,38.82372
2021-1-14 14:14:25,Jan,2021,"Jan, 2021",8804.34,133.05,0.00,613.25,746.30,38.8076
2021-2-7 01:39:46,Feb,2021,"Feb, 2021",8804.34,214.80,0.00,584.67,799.47,41.57244
2021-3-25 22:15:37,Mar,2021,"Mar, 2021",8804.34,257.81,0.00,556.14,813.95,42.3254
2021-4-28 13:42:26,Apr,2021,"Apr, 2021",8804.34,267.46,0.00,401.35,668.81,34.77812
2021-5-28 01:50:55,May,2021,"May, 2021",8804.34,259.50,0.00,177.38,436.88,22.71776
2021-6-10 02:29:27,Jun,2021,"Jun, 2021",8804.34,195.61,0.00,27.23,222.84,11.58768
2021-7-15 16:08:00,Jul,2021,"Jul, 2021",8804.34,217.26,0.00,25.22,242.48,12.60896
2021-8-7 07:10:22,Aug,2021,"Aug, 2021",8804.34,216.69,0.00,31.65,248.34,12.91368
2021-9-18 21:38:34,Sep,2021,"Sep, 2021",8804.34,232.72,0.00,38.85,271.57,14.12164
2021-10-28 17:15:27,Oct,2021,"Oct, 2021",8804.34,276.35,0.00,31.35,307.70,16.0004
2021-11-5 00:51:41,Nov,2021,"Nov, 2021",8804.34,215.16,0.00,360.47,575.63,29.93276
2021-12-19 06:35:58,Dec,2021,"Dec, 2021",8804.34,202.55,0.00,682.5,885.05,46.0226
2022-1-23 07:47:33,Jan,2022,"Jan, 2022",8632.17,190.88,0.00,571.91,762.79,39.66508
2022-2-3 17:49:15,Feb,2022,"Feb, 2022",8632.17,277.87,0.00,500.79,778.66,40.49032
2022-3-12 03:47:54,Mar,2022,"Mar, 2022",8632.17,341.05,0.00,579.84,920.89,47.88628
2022-4-4 10:14:25,Apr,2022,"Apr, 2022",8632.17,332.97,0.00,421.23,754.20,39.2184
2022-5-6 01:38:55,May,2022,"May, 2022",8632.17,331.02,0.00,175.66,506.68,26.34736
2022-6-8 06:44:01,Jun,2022,"Jun, 2022",8632.17,307.57,0.00,34.7,342.27,17.79804
2022-7-29 22:38:34,Jul,2022,"Jul, 2022",8632.17,293.09,0.00,41.7,334.79,17.40908
2022-8-23 13:40:12,Aug,2022,"Aug, 2022",8632.17,276.98,0.00,56.98,333.96,17.36592
2022-9-2 14:40:14,Sep,2022,"Sep, 2022",8632.17,273.12,0.00,40.64,313.76,16.31552
2022-10-5 10:41:59,Oct,2022,"Oct, 2022",8632.17,305.79,0.00,41.79,347.58,18.07416
2022-11-11 16:38:25,Nov,2022,"Nov, 2022",8632.17,291.58,0.00,400.9,692.48,36.00896
2022-12-11 15:58:10,Dec,2022,"Dec, 2022",8632.17,285.47,0.00,588.31,873.78,45.43656
