Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-29 20:04:26,Apr,2018,"Apr, 2018",1045.57,30.52,0.00,55.66,86.18,4.48136
2018-5-22 22:53:52,May,2018,"May, 2018",1045.57,29.90,0.00,60,89.90,4.6748
2018-6-29 20:45:27,Jun,2018,"Jun, 2018",1045.57,31.61,0.00,72.86,104.47,5.43244
2018-7-1 07:25:30,Jul,2018,"Jul, 2018",1045.57,25.74,0.00,78.25,103.99,5.40748
2018-8-18 20:06:31,Aug,2018,"Aug, 2018",1045.57,20.71,0.00,77.43,98.14,5.10328
2018-9-1 21:19:03,Sep,2018,"Sep, 2018",1045.57,23.10,0.00,77,100.10,5.2052
2018-10-15 13:03:27,Oct,2018,"Oct, 2018",1045.57,31.25,0.00,63.69,94.94,4.93688
2018-11-16 07:29:52,Nov,2018,"Nov, 2018",1045.57,25.18,0.00,51.79,76.97,4.00244
2018-12-4 15:21:57,Dec,2018,"Dec, 2018",1045.57,19.01,0.00,59.39,78.40,4.0768
2019-1-4 15:58:20,Jan,2019,"Jan, 2019",1041.24,23.08,0.00,59.43,82.51,4.29052
2019-2-2 12:50:07,Feb,2019,"Feb, 2019",1041.24,20.30,0.00,58.77,79.07,4.11164
2019-3-29 20:23:33,Mar,2019,"Mar, 2019",1041.24,37.89,0.00,72.41,110.30,5.7356
2019-4-4 19:28:55,Apr,2019,"Apr, 2019",1041.24,36.12,0.00,81.53,117.65,6.1178
2019-5-4 01:35:35,May,2019,"May, 2019",1041.24,26.51,0.00,70.74,97.25,5.057
2019-6-9 03:22:33,Jun,2019,"Jun, 2019",1041.24,36.90,0.00,68.42,105.32,5.47664
2019-7-4 16:44:15,Jul,2019,"Jul, 2019",1041.24,27.86,0.00,90.97,118.83,6.17916
2019-8-2 03:06:35,Aug,2019,"Aug, 2019",1041.24,26.76,0.00,74.72,101.48,5.27696
2019-9-20 16:31:28,Sep,2019,"Sep, 2019",1041.24,29.20,0.00,84.68,113.88,5.92176
2019-10-29 20:44:04,Oct,2019,"Oct, 2019",1041.24,29.38,0.00,57.67,87.05,4.5266
2019-11-13 10:08:12,Nov,2019,"Nov, 2019",1041.24,25.24,0.00,60.94,86.18,4.48136
2019-12-17 20:30:11,Dec,2019,"Dec, 2019",1041.24,19.24,0.00,62.92,82.16,4.27232
2020-1-22 10:39:20,Jan,2020,"Jan, 2020",1073.79,18.94,0.00,65.23,84.17,4.37684
2020-2-6 23:04:19,Feb,2020,"Feb, 2020",1073.79,29.12,0.00,68.05,97.17,5.05284
2020-3-19 21:46:25,Mar,2020,"Mar, 2020",1073.79,36.24,0.00,66.58,102.82,5.34664
2020-4-26 09:45:59,Apr,2020,"Apr, 2020",1073.79,36.63,0.00,86.94,123.57,6.42564
2020-5-13 22:26:53,May,2020,"May, 2020",1073.79,34.73,0.00,89.33,124.06,6.45112
2020-6-9 15:45:39,Jun,2020,"Jun, 2020",1073.79,34.03,0.00,82.49,116.52,6.05904
2020-7-17 20:15:50,Jul,2020,"Jul, 2020",1073.79,29.74,0.00,84.21,113.95,5.9254
2020-8-21 03:37:57,Aug,2020,"Aug, 2020",1073.79,25.63,0.00,84.22,109.85,5.7122
2020-9-17 05:31:13,Sep,2020,"Sep, 2020",1073.79,25.63,0.00,84.22,109.85,5.7122
2020-10-26 20:23:10,Oct,2020,"Oct, 2020",1073.79,25.63,0.00,84.22,109.85,5.7122
2020-11-3 10:21:48,Nov,2020,"Nov, 2020",1073.79,25.63,0.00,84.22,109.85,5.7122
2020-12-19 08:57:00,Dec,2020,"Dec, 2020",1073.79,25.63,0.00,84.22,109.85,5.7122
2021-1-18 03:13:51,Jan,2021,"Jan, 2021",1007.75,17.10,0.00,49.06,66.16,3.44032
2021-2-2 02:51:55,Feb,2021,"Feb, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-3-22 18:01:59,Mar,2021,"Mar, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-4-20 15:55:56,Apr,2021,"Apr, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-5-4 18:08:26,May,2021,"May, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-6-25 21:34:40,Jun,2021,"Jun, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-7-6 12:57:28,Jul,2021,"Jul, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-8-1 14:10:41,Aug,2021,"Aug, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-9-15 18:28:24,Sep,2021,"Sep, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-10-20 06:00:26,Oct,2021,"Oct, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-11-15 14:18:58,Nov,2021,"Nov, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2021-12-3 23:49:27,Dec,2021,"Dec, 2021",1007.75,24.63,0.00,47.04,71.67,3.72684
2022-1-8 12:01:46,Jan,2022,"Jan, 2022",1042.09,24.63,0.00,47.04,71.67,3.72684
2022-2-22 10:57:16,Feb,2022,"Feb, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-3-5 05:49:30,Mar,2022,"Mar, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-4-21 10:23:16,Apr,2022,"Apr, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-5-20 07:06:10,May,2022,"May, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-6-30 20:29:10,Jun,2022,"Jun, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-7-25 07:29:21,Jul,2022,"Jul, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-8-5 21:21:05,Aug,2022,"Aug, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-9-1 15:39:35,Sep,2022,"Sep, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
2022-10-20 20:48:57,Oct,2022,"Oct, 2022",1042.09,27.65,0.00,50.16,77.81,4.04612
