Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-1 02:37:01,Apr,2018,"Apr, 2018",4189.09,3.17,0.00,122.36,125.53,6.52756
2018-5-27 13:40:30,May,2018,"May, 2018",4189.09,3.49,0.00,127.59,131.08,6.81616
2018-6-15 15:06:57,Jun,2018,"Jun, 2018",4189.09,2.75,0.00,129.12,131.87,6.85724
2018-7-10 01:28:41,Jul,2018,"Jul, 2018",4189.09,2.40,0.00,140.09,142.49,7.40948
2018-8-2 13:20:40,Aug,2018,"Aug, 2018",4189.09,3.78,0.00,135.47,139.25,7.241
2018-9-25 14:16:50,Sep,2018,"Sep, 2018",4189.09,1.85,0.00,127.25,129.10,6.7132
2018-10-22 14:12:32,Oct,2018,"Oct, 2018",4189.09,3.14,0.00,150.02,153.16,7.96432
2018-11-27 22:36:01,Nov,2018,"Nov, 2018",4189.09,2.57,0.00,138.31,140.88,7.32576
2018-12-12 21:39:36,Dec,2018,"Dec, 2018",4189.09,2.65,0.00,113.22,115.87,6.02524
2019-1-29 08:38:14,Jan,2019,"Jan, 2019",4183.28,2.96,0.00,127.61,130.57,6.78964
2019-2-30 13:55:10,Feb,2019,"Feb, 2019",4183.28,5.34,0.00,2.45,7.79,0.40508
2019-3-26 22:02:00,Mar,2019,"Mar, 2019",4183.28,6.52,0.00,132.05,138.57,7.20564
2019-4-11 23:26:29,Apr,2019,"Apr, 2019",4183.28,6.44,0.00,116.86,123.30,6.4116
2019-5-18 18:40:36,May,2019,"May, 2019",4183.28,6.17,0.00,127.87,134.04,6.97008
2019-6-19 21:05:20,Jun,2019,"Jun, 2019",4183.28,5.38,0.00,132.49,137.87,7.16924
2019-7-18 21:51:07,Jul,2019,"Jul, 2019",4183.28,4.53,0.00,146.41,150.94,7.84888
2019-8-28 20:12:49,Aug,2019,"Aug, 2019",4183.28,4.28,0.00,144.58,148.86,7.74072
2019-9-2 08:29:47,Sep,2019,"Sep, 2019",4183.28,5.01,0.00,113.16,118.17,6.14484
2019-10-12 12:47:43,Oct,2019,"Oct, 2019",4183.28,5.46,0.00,119.51,124.97,6.49844
2019-11-1 17:54:37,Nov,2019,"Nov, 2019",4183.28,4.64,0.00,101.07,105.71,5.49692
2019-12-18 15:19:14,Dec,2019,"Dec, 2019",4183.28,4.76,0.00,81.71,86.47,4.49644
2020-1-12 12:22:00,Jan,2020,"Jan, 2020",4531.92,5.04,0.00,87.24,92.28,4.79856
