Datetime,Month,Year,Date,Consumption,Solar,Wind,"Others (Biomass, Bagasse, Small Hydel, Etc.)",Total RE Generated (Energy Saved),Cost Saved (IN Crores)
2018-4-30 18:52:34,Apr,2018,"Apr, 2018",29583.07002,684.35,1604.27,530.3,2818.92,146.58384
2018-5-3 13:28:01,May,2018,"May, 2018",29583.07002,725.11,2492.32,300.84,3518.27,182.95004
2018-6-10 03:05:49,Jun,2018,"Jun, 2018",29583.07002,583.56,3461.16,233.44,4278.16,222.46432
2018-7-15 04:26:50,Jul,2018,"Jul, 2018",29583.07002,419.21,4011.23,207.48,4637.92,241.17184
2018-8-22 23:01:00,Aug,2018,"Aug, 2018",29583.07002,416.61,3730.76,216.66,4364.03,226.92956
2018-9-5 21:35:30,Sep,2018,"Sep, 2018",29583.07002,578.17,1778.12,179.44,2535.73,131.85796
2018-10-19 06:31:44,Oct,2018,"Oct, 2018",29583.07002,736.52,744.68,242.21,1723.41,89.61732
2018-11-25 01:06:34,Nov,2018,"Nov, 2018",29583.07002,679.95,760.82,807.79,2248.56,116.92512
2018-12-7 03:44:42,Dec,2018,"Dec, 2018",29583.07002,692.34,1333.62,983.98,3009.94,156.51688
2019-1-9 06:36:00,Jan,2019,"Jan, 2019",31353.20184,766.51,1233.13,971.61,2971.25,154.505
2019-2-11 12:02:15,Feb,2019,"Feb, 2019",31353.20184,765.10,1313.14,873.41,2951.65,153.4858
2019-3-19 11:30:42,Mar,2019,"Mar, 2019",31353.20184,901.24,1477.51,731.44,3110.19,161.72988
2019-4-19 08:55:06,Apr,2019,"Apr, 2019",31353.20184,903.76,1958.83,500.01,3362.60,174.8552
2019-5-11 07:55:32,May,2019,"May, 2019",31353.20184,926.49,2749.37,255.05,3930.91,204.40732
2019-6-15 05:36:35,Jun,2019,"Jun, 2019",31353.20184,787.47,3019.80,142.19,3949.46,205.37192
2019-7-20 13:36:43,Jul,2019,"Jul, 2019",31353.20184,702.84,4276.00,209.65,5188.49,269.80148
2019-8-15 20:06:33,Aug,2019,"Aug, 2019",31353.20184,588.50,3303.39,243.53,4135.42,215.04184
2019-9-23 19:29:39,Sep,2019,"Sep, 2019",31353.20184,567.65,1749.25,271.42,2588.32,134.59264
2019-10-7 14:22:12,Oct,2019,"Oct, 2019",31353.20184,746.16,1065.84,292.58,2104.58,109.43816
2019-11-5 10:26:12,Nov,2019,"Nov, 2019",31353.20184,739.16,1216.63,290.71,2246.50,116.818
2019-12-30 21:37:10,Dec,2019,"Dec, 2019",31353.20184,749.45,2041.61,727.4,3518.46,182.95992
2020-1-6 13:50:18,Jan,2020,"Jan, 2020",31894.1825,855.49,1673.99,788.48,3317.96,172.53392
2020-2-20 16:26:30,Feb,2020,"Feb, 2020",31894.1825,938.59,1557.58,780.89,3277.06,170.40712
